,column,pandas_dtype,auto_detected_type,final_corrected_type,missing_values,missing_percentage,unique_values,unique_percentage
0,Id,int64,numeric,id_like,0,0.0,1460,100.0
1,MSSubClass,int64,numeric,categorical,0,0.0,15,1.03
2,MSZoning,object,categorical,object_dtype_columns,0,0.0,5,0.34
3,LotFrontage,float64,numeric,numeric,259,17.74,110,7.53
4,LotArea,int64,numeric,numeric,0,0.0,1073,73.49
5,Street,object,categorical,object_dtype_columns,0,0.0,2,0.14
6,Alley,object,categorical,object_dtype_columns,1369,93.77,2,0.14
7,LotShape,object,categorical,object_dtype_columns,0,0.0,4,0.27
8,LandContour,object,categorical,object_dtype_columns,0,0.0,4,0.27
9,Utilities,object,categorical,object_dtype_columns,0,0.0,2,0.14
10,LotConfig,object,categorical,object_dtype_columns,0,0.0,5,0.34
11,LandSlope,object,categorical,object_dtype_columns,0,0.0,3,0.21
12,Neighborhood,object,categorical,object_dtype_columns,0,0.0,25,1.71
13,Condition1,object,categorical,object_dtype_columns,0,0.0,9,0.62
14,Condition2,object,categorical,object_dtype_columns,0,0.0,8,0.55
15,BldgType,object,categorical,object_dtype_columns,0,0.0,5,0.34
16,HouseStyle,object,categorical,object_dtype_columns,0,0.0,8,0.55
17,OverallQual,int64,numeric,categorical,0,0.0,10,0.68
18,OverallCond,int64,numeric,categorical,0,0.0,9,0.62
19,YearBuilt,int64,numeric,year_like,0,0.0,112,7.67
20,YearRemodAdd,int64,numeric,year_like,0,0.0,61,4.18
21,RoofStyle,object,categorical,object_dtype_columns,0,0.0,6,0.41
22,RoofMatl,object,categorical,object_dtype_columns,0,0.0,8,0.55
23,Exterior1st,object,categorical,object_dtype_columns,0,0.0,15,1.03
24,Exterior2nd,object,categorical,object_dtype_columns,0,0.0,16,1.1
25,MasVnrType,object,categorical,object_dtype_columns,872,59.73,3,0.21
26,MasVnrArea,float64,numeric,numeric,8,0.55,327,22.4
27,ExterQual,object,categorical,object_dtype_columns,0,0.0,4,0.27
28,ExterCond,object,categorical,object_dtype_columns,0,0.0,5,0.34
29,Foundation,object,categorical,object_dtype_columns,0,0.0,6,0.41
30,BsmtQual,object,categorical,object_dtype_columns,37,2.53,4,0.27
31,BsmtCond,object,categorical,object_dtype_columns,37,2.53,4,0.27
32,BsmtExposure,object,categorical,object_dtype_columns,38,2.6,4,0.27
33,BsmtFinType1,object,categorical,object_dtype_columns,37,2.53,6,0.41
34,BsmtFinSF1,int64,numeric,numeric,0,0.0,637,43.63
35,BsmtFinType2,object,categorical,object_dtype_columns,38,2.6,6,0.41
36,BsmtFinSF2,int64,numeric,numeric,0,0.0,144,9.86
37,BsmtUnfSF,int64,numeric,numeric,0,0.0,780,53.42
38,TotalBsmtSF,int64,numeric,numeric,0,0.0,721,49.38
39,Heating,object,categorical,object_dtype_columns,0,0.0,6,0.41
40,HeatingQC,object,categorical,object_dtype_columns,0,0.0,5,0.34
41,CentralAir,object,categorical,object_dtype_columns,0,0.0,2,0.14
42,Electrical,object,categorical,object_dtype_columns,1,0.07,5,0.34
43,1stFlrSF,int64,numeric,numeric,0,0.0,753,51.58
44,2ndFlrSF,int64,numeric,numeric,0,0.0,417,28.56
45,LowQualFinSF,int64,numeric,numeric,0,0.0,24,1.64
46,GrLivArea,int64,numeric,numeric,0,0.0,861,58.97
47,BsmtFullBath,int64,numeric,numeric,0,0.0,4,0.27
48,BsmtHalfBath,int64,numeric,numeric,0,0.0,3,0.21
