LotShape,LotShape_score,count,mean,median,std,min,max,feature_name,LandSlope,LandSlope_score,OverallQual,OverallQual_score,OverallCond,OverallCond_score,ExterQual,ExterQual_score,ExterCond,ExterCond_score,BsmtQual,BsmtQual_score,BsmtCond,BsmtCond_score,BsmtExposure,BsmtExposure_score,BsmtFinType1,BsmtFinType1_score,BsmtFinType2,BsmtFinType2_score,HeatingQC,HeatingQC_score,KitchenQual,KitchenQual_score,Functional,Functional_score,FireplaceQu,FireplaceQu_score,GarageFinish,GarageFinish_score,GarageQual,GarageQual_score,GarageCond,GarageCond_score,PavedDrive,PavedDrive_score,PoolQC,PoolQC_score,Fence,Fence_score
IR3,1.0,10,216036.5,203570.0,82540.33,73000,375000,LotShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR2,2.0,41,239833.37,221000.0,99669.43,110000,538000,LotShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR1,3.0,484,206101.67,189000.0,85858.49,52000,755000,LotShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reg,4.0,925,164754.82,146000.0,69673.43,34900,582933,LotShape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,204379.23,185000.0,86729.92,61000,375000,LandSlope,Sev,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,196734.14,186700.0,92375.36,39300,538000,LandSlope,Mod,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1382,179956.8,161875.0,78669.37,34900,755000,LandSlope,Gtl,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,50150.0,50150.0,15344.22,39300,61000,OverallQual,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,51770.33,60000.0,14254.2,35311,60000,OverallQual,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,87473.75,86250.0,24688.57,37900,139600,OverallQual,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,116,108420.66,108000.0,29022.0,34900,256000,OverallQual,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
