category,count,mean,median,std,min,max,feature_name
120,87,200779.08,192000.0,58221.49,99500,392500,MSSubClass
160,63,138647.38,146000.0,34587.54,75000,239000,MSSubClass
180,10,102300.0,88500.0,29474.28,75500,148000,MSSubClass
190,30,129613.33,128250.0,35439.1,55000,228950,MSSubClass
20,536,185224.81,159250.0,78782.19,35311,611657,MSSubClass
30,69,95829.72,99900.0,24857.11,34900,163500,MSSubClass
40,4,156125.0,142500.0,75747.8,79500,260000,MSSubClass
45,12,108591.67,107500.0,20231.72,76000,139400,MSSubClass
50,144,143302.97,132000.0,54851.98,37900,410000,MSSubClass
60,299,239948.5,215200.0,86579.91,129000,755000,MSSubClass
70,60,166772.42,156000.0,58206.55,40000,359100,MSSubClass
75,16,192437.5,163500.0,100556.76,101000,475000,MSSubClass
80,58,169736.55,166500.0,38197.81,107000,345000,MSSubClass
85,20,147810.0,140750.0,19629.94,123000,198500,MSSubClass
90,52,133541.08,135980.0,27833.25,82000,206300,MSSubClass
C (all),10,74528.0,74700.0,33791.09,34900,133900,MSZoning
FV,65,214014.06,205950.0,52369.66,144152,370878,MSZoning
RH,16,131558.38,136500.0,35714.12,76000,200000,MSZoning
RL,1151,191004.99,174000.0,80766.34,39300,755000,MSZoning
RM,218,126316.83,120500.0,48521.69,37900,475000,MSZoning
Grvl,6,130190.5,114250.0,65446.25,55993,228950,Street
Pave,1454,181130.54,163000.0,79446.6,34900,755000,Street
Grvl,50,122219.08,119500.0,34780.78,52500,256000,Alley
Missing,1369,183452.13,165000.0,80667.15,34900,755000,Alley
Pave,41,168000.59,172500.0,38370.38,40000,265979,Alley
Bnk,63,143104.08,139400.0,49361.24,52500,315000,LandContour
HLS,50,231533.94,222250.0,101790.14,82500,538000,LandContour
Low,36,203661.11,190000.0,83935.35,39300,385000,LandContour
Lvl,1311,180183.75,162900.0,78463.57,34900,755000,LandContour
AllPub,1459,180950.96,163000.0,79461.6,34900,755000,Utilities
NoSeWa,1,137500.0,137500.0,,137500,137500,Utilities
Corner,263,181623.43,160000.0,84466.04,52500,755000,LotConfig
CulDSac,94,223854.62,199262.0,93117.55,84000,625000,LotConfig
FR2,47,177934.57,165000.0,62788.93,81000,394617,LotConfig
FR3,4,208475.0,195450.0,78379.22,128000,315000,LotConfig
Inside,1052,176938.05,159697.5,76426.81,34900,611657,LotConfig
