feature_name,absent_count,present_count,absent_median_saleprice,present_median_saleprice,median_gap_present_minus_absent,median_gap_percentage,mean_gap_percentage,signal_strength
PoolArea,1453,7,162900.0,235000.0,72100.0,44.23,59.55,strong
GarageArea,81,1379,100000.0,167500.0,67500.0,41.41,45.41,strong
TotalBsmtSF,37,1423,101800.0,165000.0,63200.0,38.77,42.68,moderate
Fireplaces,690,770,135000.0,191000.0,56000.0,34.36,41.49,moderate
OpenPorchSF,656,804,136700.0,192000.0,55300.0,33.93,36.44,moderate
MasVnrArea,869,591,143250.0,192000.0,48750.0,29.91,32.26,moderate
WoodDeckSF,761,699,144152.0,187000.0,42848.0,26.29,26.16,moderate
EnclosedPorch,1252,208,170000.0,133350.0,-36650.0,-22.48,-23.03,moderate
LowQualFinSF,1434,26,163945.0,131500.0,-32445.0,-19.9,-15.91,weak
2ndFlrSF,829,631,150000.0,177000.0,27000.0,16.56,12.2,weak
3SsnPorch,1436,24,162000.0,187500.0,25500.0,15.64,15.88,weak
MiscVal,1408,52,164000.0,148000.0,-16000.0,-9.82,-16.19,very weak
ScreenPorch,1344,116,160000.0,175000.0,15000.0,9.2,14.14,very weak
BsmtFinSF1,467,993,153900.0,165500.0,11600.0,7.12,12.52,very weak
BsmtFinSF2,1293,167,165000.0,154000.0,-11000.0,-6.75,-7.3,very weak
