Id,outlier_feature,feature_value,p99_threshold,SalePrice,GrLivArea,LotArea,TotalBsmtSF,1stFlrSF,GarageArea,OverallQual,Neighborhood
1338,LotFrontage,153.0,141.0,52500,693,4118,693,693,0,4,OldTown
1062,GarageArea,1248.0,1002.7900000000016,81000,894,18000,894,894,1248,3,IDOTRR
496,OpenPorchSF,523.0,285.82000000000016,34900,720,7879,720,720,0,4,IDOTRR
714,OpenPorchSF,288.0,285.82000000000016,129000,960,9873,960,960,576,4,BrkSide
785,OpenPorchSF,291.0,285.82000000000016,128000,1484,6300,742,742,0,6,OldTown
1293,OpenPorchSF,287.0,285.82000000000016,107500,2372,6600,994,1378,432,5,OldTown
631,EnclosedPorch,293.0,261.0500000000004,124000,1750,9000,636,1089,240,5,OldTown
1267,EnclosedPorch,264.0,261.0500000000004,122000,1889,10120,925,964,308,7,OldTown
1327,EnclosedPorch,286.0,261.0500000000004,79000,774,4270,544,774,0,3,Edwards
313,ScreenPorch,271.0,268.0500000000004,119900,1118,7800,793,793,410,5,OldTown
9,PoolArea,0.0,0.0,129900,1774,6120,952,1022,468,7,OldTown
10,PoolArea,0.0,0.0,118000,1077,7420,991,1077,205,5,BrkSide
11,PoolArea,0.0,0.0,129500,1040,11200,1040,1040,384,5,Sawyer
18,PoolArea,0.0,0.0,90000,1296,10791,0,1296,516,4,Sawyer
24,PoolArea,0.0,0.0,129900,1060,4224,1040,1060,572,5,MeadowV
30,PoolArea,0.0,0.0,68500,520,6324,520,520,240,4,BrkSide
31,PoolArea,0.0,0.0,40000,1317,8500,649,649,250,4,IDOTRR
39,PoolArea,0.0,0.0,109000,1057,7922,1057,1057,246,5,NAmes
40,PoolArea,0.0,0.0,82000,1152,6040,0,1152,0,4,Edwards
49,PoolArea,0.0,0.0,113000,1452,4456,736,736,0,4,OldTown
50,PoolArea,0.0,0.0,127000,955,7742,955,955,386,5,Sawyer
52,PoolArea,0.0,0.0,114500,1176,6240,816,816,528,6,BrkSide
53,PoolArea,0.0,0.0,110000,816,8472,816,816,516,5,IDOTRR
60,PoolArea,0.0,0.0,124900,780,7200,780,780,352,5,CollgCr
62,PoolArea,0.0,0.0,101000,1111,7200,530,581,288,5,IDOTRR
69,PoolArea,0.0,0.0,80000,747,4608,747,747,220,4,OldTown
72,PoolArea,0.0,0.0,129500,845,7599,845,845,360,4,Mitchel
75,PoolArea,0.0,0.0,107400,1605,5790,840,840,379,3,OldTown
76,PoolArea,0.0,0.0,91000,988,1596,462,526,297,4,MeadowV
78,PoolArea,0.0,0.0,127000,1285,8635,672,1072,240,5,BrkSide
80,PoolArea,0.0,0.0,110000,1230,10440,440,682,440,5,OldTown
84,PoolArea,0.0,0.0,126500,1065,8892,1065,1065,461,5,NAmes
89,PoolArea,0.0,0.0,85000,1526,8470,1013,1013,0,3,IDOTRR
90,PoolArea,0.0,0.0,123600,990,8070,990,990,0,4,CollgCr
91,PoolArea,0.0,0.0,109900,1040,7200,0,1040,420,4,NAmes
92,PoolArea,0.0,0.0,98600,1235,8500,1235,1235,480,5,NAmes
98,PoolArea,0.0,0.0,94750,960,10921,960,960,432,4,Edwards
99,PoolArea,0.0,0.0,83000,835,10625,458,835,366,5,Edwards
100,PoolArea,0.0,0.0,128950,1225,9320,950,1225,0,4,NAmes
103,PoolArea,0.0,0.0,118964,1535,7018,0,1535,410,5,SawyerW
107,PoolArea,0.0,0.0,100000,1047,10800,641,1047,273,4,OldTown
108,PoolArea,0.0,0.0,115000,789,6000,789,789,250,5,OldTown
109,PoolArea,0.0,0.0,115000,1517,8500,793,997,0,5,IDOTRR
122,PoolArea,0.0,0.0,100000,1123,6060,732,772,264,4,IDOTRR
126,PoolArea,0.0,0.0,84500,754,6780,520,520,0,6,IDOTRR
127,PoolArea,0.0,0.0,128000,958,4928,1078,958,440,6,NPkVill
128,PoolArea,0.0,0.0,87000,840,4388,672,840,0,5,OldTown
141,PoolArea,0.0,0.0,115000,864,10500,864,864,0,4,NAmes
145,PoolArea,0.0,0.0,125000,1728,9100,1728,1728,504,5,Sawyer
147,PoolArea,0.0,0.0,105000,875,6120,715,875,180,5,BrkSide
150,PoolArea,0.0,0.0,115000,1344,6240,896,896,240,5,BrkSide
151,PoolArea,0.0,0.0,122000,969,10356,969,969,440,5,CollgCr
155,PoolArea,0.0,0.0,125000,1200,11340,1200,1200,312,6,OldTown
156,PoolArea,0.0,0.0,79000,1096,9600,572,572,0,6,Edwards
157,PoolArea,0.0,0.0,109500,1040,7200,0,1040,625,5,NAmes
164,PoolArea,0.0,0.0,103200,882,5500,882,882,0,4,OldTown
166,PoolArea,0.0,0.0,127500,1355,10106,644,808,0,5,Edwards
171,PoolArea,0.0,0.0,128500,1382,12358,720,854,660,5,OldTown
180,PoolArea,0.0,0.0,100000,968,8520,968,968,480,5,OldTown
183,PoolArea,0.0,0.0,120000,1340,9060,0,1340,252,5,Edwards
185,PoolArea,0.0,0.0,127000,1252,7438,504,936,576,5,BrkSide
195,PoolArea,0.0,0.0,127000,864,7180,864,864,352,5,CollgCr
199,PoolArea,0.0,0.0,104000,2229,5520,755,929,0,6,OldTown
203,PoolArea,0.0,0.0,112000,1310,7000,617,865,398,6,OldTown
205,PoolArea,0.0,0.0,110000,1284,3500,720,720,240,5,OldTown
211,PoolArea,0.0,0.0,98000,864,5604,864,864,0,5,Edwards
218,PoolArea,0.0,0.0,107000,1328,9906,686,810,210,4,OldTown
224,PoolArea,0.0,0.0,97000,864,10500,864,864,576,4,NAmes
226,PoolArea,0.0,0.0,112000,1302,1680,630,630,280,5,BrDale
228,PoolArea,0.0,0.0,106000,987,1869,483,483,280,6,BrDale
229,PoolArea,0.0,0.0,125000,912,8521,912,912,336,5,Sawyer
233,PoolArea,0.0,0.0,94500,987,1680,483,483,288,6,BrDale
234,PoolArea,0.0,0.0,128200,894,10650,894,894,308,5,CollgCr
236,PoolArea,0.0,0.0,89500,987,1680,483,483,264,6,BrDale
240,PoolArea,0.0,0.0,113000,1487,8741,735,798,220,6,Edwards
242,PoolArea,0.0,0.0,110500,866,3880,686,866,0,5,OldTown
243,PoolArea,0.0,0.0,79000,1440,5000,540,889,352,5,OldTown
244,PoolArea,0.0,0.0,120000,1217,10762,626,626,288,6,SawyerW
251,PoolArea,0.0,0.0,76500,1306,5350,728,1306,0,3,BrkSide
260,PoolArea,0.0,0.0,97000,882,12702,0,882,308,5,OldTown
