feature_name,max_abs_corr_with_other_feature,most_correlated_feature,actual_corr_with_most_correlated,high_corr_pair_count,multicollinearity_risk
BsmtFinSF1,0.6742,BsmtFullBath,0.6742,0,low
BsmtFullBath,0.6742,BsmtFinSF1,0.6742,0,low
BedroomAbvGr,0.6678,TotRmsAbvGrd,0.6678,0,low
FullBath,0.6584,GrLivArea,0.6584,0,low
LotFrontage,0.6496,LotArea,0.6496,0,low
LotArea,0.6496,LotFrontage,0.6496,0,low
2ndFlrSF,0.6429,GrLivArea,0.6429,0,low
HalfBath,0.6253,2ndFlrSF,0.6253,0,low
BsmtUnfSF,0.5736,BsmtFinSF1,-0.5736,0,low
Fireplaces,0.4808,GrLivArea,0.4808,0,low
MasVnrArea,0.4016,GarageCars,0.4016,0,low
OpenPorchSF,0.3983,GrLivArea,0.3983,0,low
BsmtFinSF2,0.271,BsmtUnfSF,-0.271,0,low
WoodDeckSF,0.2556,GarageCars,0.2556,0,low
KitchenAbvGr,0.2219,TotRmsAbvGrd,0.2219,0,low
EnclosedPorch,0.2114,GarageCars,-0.2114,0,low
ScreenPorch,0.1792,Fireplaces,0.1792,0,low
BsmtHalfBath,0.1506,BsmtFullBath,-0.1506,0,low
LowQualFinSF,0.107,MasVnrArea,-0.107,0,low
PoolArea,0.0845,LotFrontage,0.0845,0,low
3SsnPorch,0.064,LotFrontage,0.064,0,low
MiscVal,0.0612,TotalBsmtSF,-0.0612,0,low
GarageCars,0.8533,GarageArea,0.8533,1,high
GarageArea,0.8533,GarageCars,0.8533,1,high
TotalBsmtSF,0.8293,1stFlrSF,0.8293,1,high
1stFlrSF,0.8293,TotalBsmtSF,0.8293,1,high
GrLivArea,0.8279,TotRmsAbvGrd,0.8279,1,high
TotRmsAbvGrd,0.8279,GrLivArea,0.8279,1,high
