feature_name,pearson_corr,spearman_corr,abs_spearman_corr
QualityTotalSFInteraction,0.8561,0.8939,0.8939
QualityAreaInteraction,0.8321,0.8529,0.8529
TotalSF,0.7823,0.8197,0.8197
OverallQual,0.791,0.8098,0.8098
GrLivArea,0.7086,0.7313,0.7313
TotalBath,0.6317,0.7037,0.7037
GarageCars,0.6404,0.6907,0.6907
GarageScore,0.6522,0.6683,0.6683
GarageArea,0.6234,0.6494,0.6494
FullBath,0.5607,0.636,0.636
TotalBsmtSF,0.6136,0.6027,0.6027
1stFlrSF,0.6059,0.5754,0.5754
OpenPorchSF,0.3159,0.4776,0.4776
OutdoorSF,0.391,0.4252,0.4252
WoodDeckSF,0.3244,0.3538,0.3538
HalfBath,0.2841,0.343,0.343
2ndFlrSF,0.3193,0.2936,0.2936
TotalPorchSF,0.1957,0.2727,0.2727
BsmtFullBath,0.2271,0.2251,0.2251
EnclosedPorch,-0.1286,-0.2184,0.2184
ScreenPorch,0.1114,0.1001,0.1001
3SsnPorch,0.0446,0.0654,0.0654
BsmtHalfBath,-0.0168,-0.0122,0.0122
