feature_name,max_cramers_v_with_other_feature,most_associated_feature,high_association_pair_count,categorical_redundancy_risk
GarageQual,0.7042,GarageCond,1,moderate
GarageCond,0.7042,GarageQual,1,moderate
GarageFinish,0.6849,GarageType,1,moderate
GarageType,0.6849,GarageFinish,1,moderate
MSZoning,0.6406,Neighborhood,1,moderate
Neighborhood,0.6406,MSZoning,1,moderate
OverallQual,0.6143,ExterQual,1,moderate
ExterQual,0.6143,OverallQual,1,moderate
BsmtQual,0.5766,BsmtFinType1,0,low
BsmtFinType1,0.5766,BsmtQual,0,low
KitchenQual,0.546,ExterQual,0,low
Foundation,0.5314,BsmtQual,0,low
BsmtCond,0.5268,BsmtQual,0,low
BsmtExposure,0.5216,BsmtFinType1,0,low
BsmtFinType2,0.5,BsmtQual,0,low
SaleType,0.4708,SaleCondition,0,low
SaleCondition,0.4708,SaleType,0,low
Heating,0.4608,CentralAir,0,low
CentralAir,0.4608,Heating,0,low
RoofStyle,0.458,RoofMatl,0,low
RoofMatl,0.458,RoofStyle,0,low
LandSlope,0.4572,LandContour,0,low
LandContour,0.4572,LandSlope,0,low
Alley,0.4285,Neighborhood,0,low
Electrical,0.4204,CentralAir,0,low
OverallCond,0.4151,BsmtCond,0,low
PoolQC,0.4052,MiscFeature,0,low
MiscFeature,0.4052,PoolQC,0,low
MasVnrType,0.3802,Neighborhood,0,low
ExterCond,0.3793,OverallCond,0,low
HeatingQC,0.3787,CentralAir,0,low
Condition2,0.3479,MiscFeature,0,low
PavedDrive,0.3356,CentralAir,0,low
Street,0.3211,ExterQual,0,low
FireplaceQu,0.3041,Neighborhood,0,low
LotShape,0.244,Neighborhood,0,low
LotConfig,0.221,LotShape,0,low
Utilities,0.2189,GarageType,0,low
Condition1,0.2101,Condition2,0,low
Functional,0.2024,BsmtCond,0,low
Fence,0.1752,Neighborhood,0,low
MSSubClass,0.8914,BldgType,2,high
BldgType,0.8914,MSSubClass,1,high
HouseStyle,0.848,MSSubClass,1,high
Exterior1st,0.7589,Exterior2nd,1,high
Exterior2nd,0.7589,Exterior1st,1,high
