,LotShape,LandSlope,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MSSubClass,MSZoning,Street,Alley,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,MiscFeature,SaleType,SaleCondition
LotShape,1.0,0.11889586446186468,0.11611942898934136,0.05968336141196455,0.11198269074509835,0.0,0.14016248515033214,0.05840968118144689,0.10544624753729805,0.06355812271993731,0.06510879454300673,0.05285004146692893,0.09233736939762292,0.0,0.122451372104269,0.14134819383878314,0.07588889268237509,0.05117005321422095,0.07549597904259396,0.09431606164172283,0.030194645585138725,0.16431853989868886,0.15219083428138855,0.033769799685579464,0.0798014734926191,0.12653446949738376,0.0,0.2209560253364347,0.24402472013760626,0.10462393133815873,0.0,0.0844911223899377,0.0732569360259096,0.035358248540714204,0.1856560887705245,0.08153385773443167,0.09326140438300039,0.06845808301359707,0.11655586044478126,0.025131688849695688,0.10763834997820222,0.10991621996618935,0.14284319005768634,0.0,0.0,0.0019230202704833786
LandSlope,0.11889586446186468,1.0,0.15211305312752674,0.18816349607927252,0.0937057686323836,0.0,0.0,0.13330303956092898,0.22154402432941123,0.04164301009178109,0.07566028855466987,0.050022070460171465,0.04470227640876068,0.07463183297575703,0.03205585608941751,0.0,0.0,0.0,0.0,0.0,0.0,0.08681400159946576,0.0717931296033105,0.1762211299570561,0.0,0.4572486381153496,0.0,0.07913733795191834,0.3151284535203141,0.0,0.0,0.026347976493151216,0.0,0.25629094725727175,0.31280995092775726,0.13357549102321534,0.11641364436205076,0.046894179035748745,0.049531621953552867,0.0,0.0,0.0,0.1088511489387366,0.0,0.0,0.03762807517290267
OverallQual,0.11611942898934136,0.15211305312752674,1.0,0.32804174957795884,0.6142565154995242,0.19459941285457838,0.458801946475195,0.3082544303386761,0.2110950588679215,0.2403884686848804,0.13659267804315467,0.25902326903103934,0.5403083952470915,0.11476108179884671,0.26845007870993437,0.37282071840209435,0.15911400730269373,0.16399131018087215,0.17546276589704024,0.10434129161747839,0.13121676175746635,0.20221125657890612,0.19025460220565635,0.07258381732768936,0.10196531350063473,0.16088940433909277,0.0,0.016812982636896526,0.3210072495425273,0.061306840770606226,0.15300363787593874,0.13055016669184646,0.14352676488848012,0.11731703597220339,0.09903559590545892,0.20003642108761197,0.19345387970817027,0.27804736835738675,0.2905883259407537,0.16707107676712726,0.37393776581068566,0.14007500509846507,0.22372568554514924,0.0,0.16191443174642267,0.15183132468976618
OverallCond,0.059683361411964564,0.18816349607927252,0.32804174957795884,1.0,0.3187346343118569,0.37928497459622246,0.28320461736716174,0.41505297551708664,0.10340974958919588,0.16308239153817022,0.07444857380434936,0.177548222145165,0.24651416629419165,0.16660624623616432,0.08643330460595992,0.22964252418533465,0.16294092008408814,0.13529478813285753,0.18640480397328243,0.0,0.11697143617563632,0.18969314351208974,0.16094758371607806,0.06809021328408973,0.11735466005714609,0.10090804988689706,0.0,0.0,0.2224250466662493,0.05129019528138197,0.09914946114683973,0.12756963286600886,0.12235886195739158,0.04361044590464618,0.0,0.1893845590186176,0.16928717470508792,0.1660580461768824,0.25566335501375015,0.09156778842121824,0.31469190387867385,0.2395329916724054,0.16631922741807184,0.017233710242568003,0.10421709512989019,0.11578666533047177
ExterQual,0.11198269074509834,0.09370576863238361,0.6142565154995243,0.3187346343118569,1.0,0.18168326924434705,0.46436241341562035,0.1684426279689714,0.16841780690971853,0.2976022734372402,0.1131366565366205,0.32366591988358123,0.5460381182350255,0.10206010481573884,0.24021765248132412,0.3389235179714586,0.15094853627175736,0.15331474142960122,0.19267143968685813,0.030656347873256377,0.1549529654526051,0.2851000275573197,0.23943635167080896,0.32114698684244225,0.10929245941362295,0.13386721786565128,0.0,0.014222413572669313,0.48524028014929604,0.12495899320864515,0.13714002738410153,0.17560659847030252,0.17632255415275339,0.1460147089591716,0.06596102420758704,0.3506278409783113,0.35524866269448563,0.24445738907951725,0.3711313653544065,0.04244413475039537,0.2783332476248463,0.136462810818714,0.28847829697896676,0.11164989859512839,0.26014983833680133,0.23567872558127434
ExterCond,0.0,0.0,0.19459941285457838,0.37928497459622246,0.18168326924434705,1.0,0.10459892992015994,0.18693810170735853,0.04166402681349661,0.07601743081946356,0.009027373445942436,0.06194696188990606,0.17757054438183362,0.16074894425822805,0.011380565608867249,0.14343186999705568,0.16392775658066286,0.12945362334758687,0.15433119957199729,0.0,0.08348371003153535,0.16723947976385212,0.07899890129581402,0.0,0.04275244164216563,0.0,0.0,0.0,0.15296918283985605,0.019137066523918098,0.2840134792607489,0.10988118343111378,0.10311352772651315,0.0922446613332232,0.0,0.09499693719607571,0.06734675664441664,0.06312233903063692,0.12293833444038285,0.046196124395779276,0.19981886783759284,0.12579022704423584,0.11296830431489761,0.08510425902296175,0.09026113558020625,0.0513784320375651
BsmtQual,0.14016248515033214,0.0,0.4588019464751949,0.28320461736716174,0.46436241341562035,0.10459892992015994,1.0,0.526750825869468,0.5208730246041549,0.5766121591560469,0.500016170995371,0.24142902854211423,0.4224179700758773,0.11270366970923054,0.24185556970704591,0.34070804766533497,0.16477425031355478,0.15095482208022998,0.19425857528742793,0.0,0.13328823497426262,0.333971185879984,0.16465735440255364,0.0,0.13119007236520153,0.09259040223068811,0.0,0.06985163934013015,0.465576547702457,0.13107194881324816,0.08914020585336811,0.20426430748941798,0.18443658835924565,0.14076046937135334,0.02066014961201556,0.2974565125951604,0.28370358853609423,0.2521353733259467,0.5313786533585608,0.17865004755048128,0.2836891730459028,0.1984603337505896,0.24224759933280104,0.052940158252744195,0.21103766315288153,0.22481107680952025
BsmtCond,0.05840968118144689,0.13330303956092898,0.3082544303386761,0.41505297551708664,0.16844262796897141,0.18693810170735853,0.526750825869468,1.0,0.4950259691282052,0.5069676256292898,0.4944480391251153,0.10277225915162808,0.13845501726505172,0.20244816758117282,0.04576185594369187,0.1240234716969339,0.21374784213521258,0.17729033172316502,0.16910017184129794,0.0,0.0,0.19947251502374394,0.07889490785848349,0.0,0.07599309713668485,0.06089059004109954,0.0,0.0034296430004656844,0.12724683324127536,0.03993409042631834,0.0,0.15331573988156882,0.07810867599723494,0.03931032767351516,0.021682592867777604,0.13550004359856632,0.1068854907800629,0.05879373270206351,0.41734616277159503,0.1872277272198543,0.3152680135406095,0.3775144411115113,0.11298538744519843,0.024249301040809332,0.0724236070219772,0.09361757848970101
BsmtExposure,0.10544624753729803,0.22154402432941123,0.21109505886792154,0.10340974958919588,0.16841780690971853,0.04166402681349661,0.5208730246041549,0.4950259691282052,1.0,0.5215740165405435,0.49060180927893665,0.09489539525620341,0.15102033980120588,0.06316816418721001,0.08835468112626217,0.15831511179627064,0.06036536613605074,0.06469861462909852,0.11181862977949611,0.011612460535463493,0.0,0.2615719991476392,0.06449640781022711,0.0870741940189017,0.08260954824733427,0.1924326718421599,0.0,0.05298091806561633,0.24312065242792164,0.06400707203313058,0.0,0.15898319395991478,0.19878669642104538,0.11287667545372344,0.12228730854878175,0.15012123358636376,0.1462999551835321,0.12600469255936944,0.40970826686928,0.17406732360084967,0.21100612181582898,0.10631712845188415,0.13862572852955068,0.04150143547966065,0.09142104620211372,0.11140256067460867
BsmtFinType1,0.06355812271993731,0.04164301009178107,0.2403884686848804,0.1630823915381702,0.2976022734372402,0.07601743081946356,0.5766121591560469,0.5069676256292898,0.5215740165405435,1.0,0.44652550247220996,0.21015890351634386,0.2821815892176715,0.09927337452524021,0.12353960468033513,0.22324281531681162,0.08279746853589008,0.08069679504328656,0.191319619200188,0.0,0.1148471151666517,0.23251038452376652,0.13436770574298812,0.0,0.11221284040164943,0.086504974185904,0.0,0.05311575633672561,0.28958756130004687,0.04630830855386986,0.0,0.17873722521371005,0.1474204211424103,0.050780214790193526,0.03677143634415718,0.21293815829394047,0.2111319968684352,0.19809386029977605,0.4544695320278278,0.16450872542725967,0.25933028941929354,0.12064099309535936,0.15553020574948934,0.06886440817934401,0.09373848010589006,0.12069646929522686
