categorical_feature,numeric_feature,category,row_count,numeric_target_spearman_within_category,numeric_target_pearson_within_category,median_saleprice,median_numeric_value
BsmtQual,TotalBsmtSF,Ex,121,0.5528,0.3247,318000.0,1684.0
BsmtQual,TotalBsmtSF,Gd,618,0.5362,0.5559,192070.0,1092.0
BsmtQual,TotalBsmtSF,TA,649,0.4458,0.4206,135500.0,912.0
BsmtQual,TotalBsmtSF,Fa,35,-0.1604,-0.0453,112000.0,691.0
BsmtQual,TotalBsmtSF,Missing,37,,,101800.0,0.0
ExterQual,GrLivArea,Gd,488,0.7102,0.7388,220000.0,1668.0
ExterQual,GrLivArea,TA,906,0.6159,0.6525,139450.0,1285.0
ExterQual,GrLivArea,Ex,52,0.5132,0.2516,364606.5,2059.0
Foundation,TotalBsmtSF,PConc,647,0.6658,0.6017,205000.0,1151.0
Foundation,TotalBsmtSF,CBlock,634,0.4875,0.4963,141500.0,954.5
Foundation,TotalBsmtSF,BrkTil,146,0.3365,0.4216,125250.0,793.0
GarageFinish,GarageArea,Fin,352,0.6828,0.6123,215000.0,533.5
GarageFinish,GarageArea,RFn,422,0.6665,0.6039,190000.0,528.0
GarageFinish,GarageArea,Unf,605,0.3581,0.3919,135000.0,406.0
GarageFinish,GarageArea,Missing,81,,,100000.0,0.0
GarageType,GarageArea,BuiltIn,88,0.8037,0.7693,227500.0,553.0
GarageType,GarageArea,Attchd,870,0.7084,0.6552,185000.0,500.0
GarageType,GarageArea,Detchd,387,0.308,0.302,129500.0,400.0
GarageType,GarageArea,Missing,81,,,100000.0,0.0
HouseStyle,GrLivArea,1Story,726,0.8091,0.7826,154750.0,1266.0
HouseStyle,GrLivArea,2Story,445,0.7612,0.7268,190000.0,1797.0
HouseStyle,GrLivArea,SFoyer,37,0.7543,0.7689,135960.0,936.0
HouseStyle,GrLivArea,1.5Fin,154,0.7282,0.7791,132000.0,1474.5
HouseStyle,GrLivArea,SLvl,65,0.5308,0.6927,164500.0,1344.0
KitchenQual,GrLivArea,Gd,586,0.7302,0.7299,201400.0,1616.0
KitchenQual,GrLivArea,Fa,39,0.7039,0.7372,115000.0,1152.0
KitchenQual,GrLivArea,Ex,100,0.6097,0.5101,316750.0,1956.0
KitchenQual,GrLivArea,TA,735,0.5953,0.6172,137000.0,1252.0
MSSubClass,GrLivArea,20,536,0.8533,0.8018,159250.0,1290.5
MSSubClass,GrLivArea,120,87,0.8408,0.8048,192000.0,1358.0
MSSubClass,GrLivArea,60,299,0.7957,0.7044,215200.0,1935.0
MSSubClass,GrLivArea,50,144,0.7147,0.7987,132000.0,1471.0
MSSubClass,GrLivArea,Other,62,0.6854,0.7604,134700.0,1023.5
MSSubClass,GrLivArea,160,63,0.6681,0.602,146000.0,1322.0
MSSubClass,GrLivArea,70,60,0.5772,0.6739,156000.0,1673.0
MSSubClass,GrLivArea,90,52,0.4851,0.4904,135980.0,1660.0
MSSubClass,GrLivArea,80,58,0.4838,0.6788,166500.0,1354.5
MSSubClass,GrLivArea,190,30,0.4221,0.4792,128250.0,1419.5
MSSubClass,GrLivArea,30,69,0.4183,0.4617,99900.0,866.0
MSZoning,GrLivArea,FV,65,0.7762,0.7703,205950.0,1512.0
MSZoning,GrLivArea,RL,1151,0.7691,0.7226,174000.0,1498.0
MSZoning,GrLivArea,RM,218,0.5226,0.6037,120500.0,1224.0
Neighborhood,GrLivArea,CollgCr,150,0.8482,0.8645,197200.0,1500.0
Neighborhood,GrLivArea,SawyerW,59,0.8047,0.8189,179900.0,1603.0
Neighborhood,GrLivArea,Other,424,0.793,0.7931,167500.0,1504.5
Neighborhood,GrLivArea,NridgHt,77,0.7884,0.7498,315000.0,1850.0
Neighborhood,GrLivArea,Somerst,86,0.7145,0.6923,225500.0,1564.5
Neighborhood,GrLivArea,NWAmes,73,0.691,0.7652,182900.0,1664.0
Neighborhood,GrLivArea,Gilbert,79,0.6339,0.5809,181000.0,1593.0
Neighborhood,GrLivArea,NAmes,225,0.6224,0.679,140000.0,1200.0
Neighborhood,GrLivArea,OldTown,113,0.5725,0.6952,119000.0,1374.0
Neighborhood,GrLivArea,Edwards,100,0.5711,0.4511,121750.0,1200.0
Neighborhood,GrLivArea,Sawyer,74,0.498,0.5299,135000.0,1106.0
OverallQual,GrLivArea,9,43,0.6578,0.654,345000.0,1922.0
OverallQual,GrLivArea,6,374,0.6037,0.6124,160000.0,1440.5
OverallQual,GrLivArea,7,319,0.5994,0.6061,200141.0,1656.0
OverallQual,GrLivArea,8,168,0.5905,0.5813,269750.0,1813.5
OverallQual,GrLivArea,4,116,0.4618,0.45,108000.0,1051.5
OverallQual,GrLivArea,5,397,0.4387,0.4493,133000.0,1144.0
