categorical_feature,numeric_feature,cat_eta_squared,numeric_bin_eta_squared,interaction_eta_squared,best_single_eta_squared,interaction_gain,interaction_strength,interaction_group_count,min_interaction_group_size,median_interaction_group_size,action_hint
MSSubClass,1stFlrSF,0.2386,0.328,0.63,0.328,0.3021,strong,54,1,14.0,strong interaction candidate
MSSubClass,TotalBsmtSF,0.2386,0.3666,0.6329,0.3666,0.2663,strong,53,1,14.0,strong interaction candidate
Neighborhood,1stFlrSF,0.2918,0.328,0.5703,0.328,0.2424,strong,54,2,20.0,strong interaction candidate
MSSubClass,TotRmsAbvGrd,0.2386,0.2837,0.5198,0.2837,0.2362,strong,48,1,14.0,strong interaction candidate
Neighborhood,TotRmsAbvGrd,0.2918,0.2837,0.5263,0.2918,0.2344,strong,55,1,19.0,strong interaction candidate
Neighborhood,LotArea,0.2918,0.21,0.5159,0.2918,0.2241,strong,53,1,18.0,strong interaction candidate
BsmtQual,GrLivArea,0.465,0.4372,0.6831,0.465,0.2181,strong,24,3,28.0,strong interaction candidate
HouseStyle,1stFlrSF,0.0863,0.328,0.5453,0.328,0.2173,strong,37,1,11.0,strong interaction candidate
HouseStyle,TotalBsmtSF,0.0863,0.3666,0.5815,0.3666,0.2149,strong,35,1,11.0,strong interaction candidate
Neighborhood,TotalBsmtSF,0.2918,0.3666,0.5756,0.3666,0.209,strong,54,3,19.5,strong interaction candidate
KitchenQual,GrLivArea,0.4566,0.4372,0.6622,0.4566,0.2056,strong,20,2,51.0,strong interaction candidate
GarageFinish,TotRmsAbvGrd,0.3059,0.2837,0.5064,0.3059,0.2006,strong,20,7,57.5,strong interaction candidate
Foundation,TotRmsAbvGrd,0.2564,0.2837,0.4802,0.2837,0.1965,strong,26,1,25.5,strong interaction candidate
Foundation,LotArea,0.2564,0.21,0.4517,0.2564,0.1953,strong,26,1,24.0,strong interaction candidate
Neighborhood,GrLivArea,0.2918,0.4372,0.6289,0.4372,0.1917,strong,53,1,21.0,strong interaction candidate
GarageType,TotRmsAbvGrd,0.2492,0.2837,0.4727,0.2837,0.189,strong,33,1,9.0,strong interaction candidate
ExterQual,GrLivArea,0.4774,0.4372,0.6643,0.4774,0.1869,strong,18,1,49.0,strong interaction candidate
Neighborhood,FullBath,0.2918,0.3364,0.5231,0.3364,0.1867,strong,35,1,14.0,strong interaction candidate
Exterior2nd,LotArea,0.1426,0.21,0.3858,0.21,0.1758,strong,55,1,14.0,strong interaction candidate
MSSubClass,GrLivArea,0.2386,0.4372,0.612,0.4372,0.1748,strong,50,1,15.5,strong interaction candidate
Foundation,1stFlrSF,0.2564,0.328,0.502,0.328,0.174,strong,25,1,34.0,strong interaction candidate
MSSubClass,FullBath,0.2386,0.3364,0.5048,0.3364,0.1684,strong,35,1,19.0,strong interaction candidate
Exterior1st,LotArea,0.1471,0.21,0.3766,0.21,0.1666,strong,52,1,15.0,strong interaction candidate
GarageFinish,1stFlrSF,0.3059,0.328,0.4926,0.328,0.1646,strong,20,4,62.5,strong interaction candidate
Neighborhood,GarageArea,0.2918,0.3813,0.5438,0.3813,0.1626,strong,50,1,21.0,strong interaction candidate
MSSubClass,LotArea,0.2386,0.21,0.3984,0.2386,0.1598,strong,52,1,13.0,strong interaction candidate
GarageType,1stFlrSF,0.2492,0.328,0.4856,0.328,0.1577,strong,31,1,13.0,strong interaction candidate
KitchenQual,GarageCars,0.4566,0.4912,0.6484,0.4912,0.1572,strong,17,1,17.0,strong interaction candidate
KitchenQual,GarageArea,0.4566,0.3813,0.6122,0.4566,0.1556,strong,20,1,48.5,strong interaction candidate
GarageType,GarageArea,0.2492,0.3813,0.536,0.3813,0.1548,strong,26,1,19.5,strong interaction candidate
Exterior2nd,2ndFlrSF,0.1426,0.1375,0.2957,0.1426,0.1531,strong,33,1,19.0,strong interaction candidate
Foundation,MasVnrArea,0.2562,0.1859,0.4085,0.2562,0.1523,strong,13,1,119.0,strong interaction candidate
BsmtQual,TotRmsAbvGrd,0.465,0.2837,0.6157,0.465,0.1507,strong,25,3,22.0,strong interaction candidate
GarageType,TotalBsmtSF,0.2492,0.3666,0.5163,0.3666,0.1497,strong,32,1,13.5,strong interaction candidate
Exterior1st,MasVnrArea,0.1467,0.1859,0.3344,0.1859,0.1486,strong,29,1,24.0,strong interaction candidate
KitchenQual,TotRmsAbvGrd,0.4566,0.2837,0.6047,0.4566,0.1481,strong,20,2,39.5,strong interaction candidate
GarageFinish,GarageArea,0.3059,0.3813,0.5286,0.3813,0.1473,strong,16,6,91.0,strong interaction candidate
GarageFinish,FullBath,0.3059,0.3364,0.4834,0.3364,0.147,strong,15,1,22.0,strong interaction candidate
GarageFinish,TotalBsmtSF,0.3059,0.3666,0.5118,0.3666,0.1452,strong,20,5,62.5,strong interaction candidate
ExterQual,GarageCars,0.4774,0.4912,0.635,0.4912,0.1437,strong,17,1,13.0,strong interaction candidate
MSSubClass,GarageArea,0.2386,0.3813,0.5243,0.3813,0.143,strong,55,1,14.0,strong interaction candidate
GarageFinish,GrLivArea,0.3059,0.4372,0.5783,0.4372,0.1412,strong,20,6,80.0,strong interaction candidate
Exterior2nd,MasVnrArea,0.1419,0.1859,0.3261,0.1859,0.1402,strong,30,1,25.0,strong interaction candidate
BsmtQual,GarageArea,0.465,0.3813,0.6042,0.465,0.1392,strong,24,2,12.0,strong interaction candidate
KitchenQual,TotalBsmtSF,0.4566,0.3666,0.5954,0.4566,0.1388,strong,20,1,64.0,strong interaction candidate
KitchenQual,FullBath,0.4566,0.3364,0.5946,0.4566,0.138,strong,14,1,17.5,strong interaction candidate
Neighborhood,2ndFlrSF,0.2918,0.1375,0.4283,0.2918,0.1365,strong,33,1,26.0,strong interaction candidate
ExterQual,GarageArea,0.4774,0.3813,0.6135,0.4774,0.1362,strong,20,1,26.0,strong interaction candidate
Exterior2nd,TotRmsAbvGrd,0.1426,0.2837,0.4194,0.2837,0.1358,strong,55,1,11.0,strong interaction candidate
MSSubClass,MasVnrArea,0.2402,0.1859,0.3751,0.2402,0.1349,strong,31,1,23.0,strong interaction candidate
Foundation,GrLivArea,0.2564,0.4372,0.5712,0.4372,0.1341,strong,26,1,27.5,strong interaction candidate
BsmtQual,GarageCars,0.465,0.4912,0.6252,0.4912,0.1339,strong,19,1,17.0,strong interaction candidate
GarageFinish,LotArea,0.3059,0.21,0.4393,0.3059,0.1334,strong,20,3,81.0,strong interaction candidate
SaleCondition,2ndFlrSF,0.1355,0.1375,0.2691,0.1375,0.1316,strong,17,1,13.0,strong interaction candidate
KitchenQual,1stFlrSF,0.4566,0.328,0.5881,0.4566,0.1315,strong,19,3,73.0,strong interaction candidate
BsmtQual,1stFlrSF,0.465,0.328,0.5958,0.465,0.1308,strong,24,3,18.0,strong interaction candidate
Exterior1st,TotRmsAbvGrd,0.1471,0.2837,0.4138,0.2837,0.1301,strong,54,1,13.0,strong interaction candidate
Exterior1st,2ndFlrSF,0.1471,0.1375,0.2764,0.1471,0.1293,strong,32,1,17.0,strong interaction candidate
Foundation,TotalBsmtSF,0.2564,0.3666,0.4931,0.3666,0.1265,strong,23,1,42.0,strong interaction candidate
Exterior2nd,OpenPorchSF,0.1426,0.1662,0.2925,0.1662,0.1263,strong,33,1,24.0,strong interaction candidate
ExterQual,TotRmsAbvGrd,0.4774,0.2837,0.603,0.4774,0.1256,strong,19,1,61.0,strong interaction candidate
ExterQual,1stFlrSF,0.4774,0.328,0.6026,0.4774,0.1252,strong,19,1,57.0,strong interaction candidate
ExterQual,LotArea,0.4774,0.21,0.6008,0.4774,0.1234,strong,20,1,49.0,strong interaction candidate
Exterior2nd,1stFlrSF,0.1426,0.328,0.4511,0.328,0.1232,strong,55,1,10.0,strong interaction candidate
Foundation,FullBath,0.2564,0.3364,0.4588,0.3364,0.1223,strong,19,1,9.0,strong interaction candidate
Foundation,GarageArea,0.2564,0.3813,0.5033,0.3813,0.122,strong,25,1,18.0,strong interaction candidate
GarageType,LotArea,0.2492,0.21,0.3708,0.2492,0.1216,strong,33,1,11.0,strong interaction candidate
KitchenQual,LotArea,0.4566,0.21,0.5781,0.4566,0.1215,strong,20,1,73.5,strong interaction candidate
BsmtQual,LotArea,0.465,0.21,0.5863,0.465,0.1213,strong,25,1,20.0,strong interaction candidate
GarageType,FullBath,0.2492,0.3364,0.4567,0.3364,0.1202,strong,23,1,8.0,strong interaction candidate
