component_group,feature_count,avg_signal_score,max_signal_score,strong_feature_count,moderate_feature_count,weak_or_lower_count,component_priority,component_signal_decision,recommended_feature_action
quality_condition,15,0.5103,0.8939,7,2,6,high priority,core predictive component,create quality scores and quality-area interactions
area_size,9,0.482,0.8197,3,3,3,high priority,core predictive component,create TotalSF and keep core area features
location_zoning,6,0.2754,0.7386,1,0,5,high priority,core predictive component,rare-group location categories; review location-aware area features
bath_room_count,8,0.3565,0.7037,2,1,5,medium priority,core predictive component,create TotalBath and keep original bath counts for validation
exterior_material,6,0.412,0.6909,1,2,3,medium priority,core predictive component,rare-group exterior categories; create ExteriorMatched
garage,9,0.5286,0.6907,3,4,2,high priority,core predictive component,"create HasGarage, GarageScore, garage quality/finish features"
basement,11,0.2995,0.6819,2,1,8,high priority,core predictive component,"create HasBasement, BasementQualityScore, basement size-quality interaction"
time_age,8,0.4595,0.6527,2,4,2,medium priority,core predictive component,prefer age features over raw year features
luxury_sparse,6,0.2354,0.5422,0,2,4,review priority,useful supporting component,keep sparse luxury indicators; do not drop only due to rarity
building_structure,6,0.2351,0.5063,0,1,5,medium priority,useful supporting component,keep as categorical; review MSSubClass/HouseStyle interactions
outdoor_porch,8,0.2627,0.4776,0,2,6,review priority,useful supporting component,create selected Has... indicators; keep OpenPorchSF and OutdoorSF for validation
sale_transaction,2,0.3693,0.3705,0,0,2,review priority,weak but possible interaction component,keep but check prediction-time availability
utilities_access,8,0.147,0.2513,0,0,8,review priority,weak but possible interaction component,keep for now; review dominated/near-constant features later
