component_group,feature_name,feature_dtype,metric_name,raw_metric_value,component_signal_score,signal_strength,unique_count
area_size,TotalSF,int64,abs_spearman_corr,0.8197,0.8197,strong,963
area_size,GrLivArea,int64,abs_spearman_corr,0.7313,0.7313,strong,861
area_size,TotalBsmtSF,int64,abs_spearman_corr,0.6027,0.6027,strong,721
area_size,1stFlrSF,int64,abs_spearman_corr,0.5754,0.5754,moderate,753
area_size,LotArea,int64,abs_spearman_corr,0.4565,0.4565,moderate,1073
area_size,MasVnrArea,float64,abs_spearman_corr,0.4159,0.4159,moderate,327
area_size,LotFrontage,float64,abs_spearman_corr,0.3756,0.3756,weak,110
area_size,2ndFlrSF,int64,abs_spearman_corr,0.2936,0.2936,weak,417
area_size,LowQualFinSF,int64,abs_spearman_corr,-0.0677,0.0677,very weak,24
basement,BsmtQual,object,sqrt_eta_squared,0.465,0.6819,strong,4
basement,TotalBsmtSF,int64,abs_spearman_corr,0.6027,0.6027,strong,721
basement,BsmtFinType1,object,sqrt_eta_squared,0.2108,0.4591,moderate,6
basement,BsmtExposure,object,sqrt_eta_squared,0.1495,0.3867,weak,4
basement,BsmtFinSF1,int64,abs_spearman_corr,0.3019,0.3019,weak,637
basement,BsmtCond,object,sqrt_eta_squared,0.0514,0.2267,weak,4
basement,BsmtFullBath,int64,abs_spearman_corr,0.2251,0.2251,weak,4
basement,BsmtUnfSF,int64,abs_spearman_corr,0.1852,0.1852,very weak,780
basement,BsmtFinType2,object,sqrt_eta_squared,0.0303,0.1741,very weak,6
basement,BsmtFinSF2,int64,abs_spearman_corr,-0.0388,0.0388,very weak,144
basement,BsmtHalfBath,int64,abs_spearman_corr,-0.0122,0.0122,very weak,3
bath_room_count,TotalBath,float64,abs_spearman_corr,0.7037,0.7037,strong,10
bath_room_count,FullBath,int64,abs_spearman_corr,0.636,0.636,strong,4
bath_room_count,TotRmsAbvGrd,int64,abs_spearman_corr,0.5326,0.5326,moderate,12
bath_room_count,HalfBath,int64,abs_spearman_corr,0.343,0.343,weak,3
bath_room_count,BedroomAbvGr,int64,abs_spearman_corr,0.2349,0.2349,weak,8
bath_room_count,BsmtFullBath,int64,abs_spearman_corr,0.2251,0.2251,weak,4
bath_room_count,KitchenAbvGr,int64,abs_spearman_corr,-0.1648,0.1648,very weak,4
bath_room_count,BsmtHalfBath,int64,abs_spearman_corr,-0.0122,0.0122,very weak,3
building_structure,Foundation,object,sqrt_eta_squared,0.2564,0.5063,moderate,6
building_structure,HouseStyle,object,sqrt_eta_squared,0.0863,0.2938,weak,8
building_structure,RoofStyle,object,sqrt_eta_squared,0.0577,0.2402,weak,6
building_structure,BldgType,object,sqrt_eta_squared,0.0345,0.1858,very weak,5
building_structure,RoofMatl,object,sqrt_eta_squared,0.0314,0.1772,very weak,8
building_structure,MSSubClass,int64,abs_spearman_corr,0.0072,0.0072,very weak,15
exterior_material,ExterQual,object,sqrt_eta_squared,0.4774,0.6909,strong,4
exterior_material,MasVnrType,object,sqrt_eta_squared,0.1833,0.4281,moderate,3
exterior_material,MasVnrArea,float64,abs_spearman_corr,0.4159,0.4159,moderate,327
exterior_material,Exterior2nd,object,sqrt_eta_squared,0.1538,0.3922,weak,16
exterior_material,Exterior1st,object,sqrt_eta_squared,0.1528,0.3909,weak,15
exterior_material,ExterCond,object,sqrt_eta_squared,0.0236,0.1537,very weak,5
garage,GarageCars,int64,abs_spearman_corr,0.6907,0.6907,strong,5
garage,GarageScore,float64,abs_spearman_corr,0.6683,0.6683,strong,493
garage,GarageArea,int64,abs_spearman_corr,0.6494,0.6494,strong,441
garage,GarageYrBlt,float64,abs_spearman_corr,0.5633,0.5633,moderate,97
garage,GarageAge,float64,abs_spearman_corr,-0.5625,0.5625,moderate,101
