column_name,pandas_dtype,final_corrected_type,categorical_family,basic_type,is_object_categorical,is_numeric_categorical,is_ordinal,is_nominal,is_absence_related,unique_count,unique_ratio,missing_count,missing_percentage,sample_values,missing_pandas_dtype,missing_missing_count,missing_missing_percentage,missing_status,missing_is_absence_related,missing_type,imputation_hint,missing_review,cardinality_categorical_family,cardinality_is_ordinal,cardinality_is_nominal,cardinality_is_absence_related,cardinality_unique_count,cardinality_unique_ratio,cardinality_level,ohe_column_estimate,recommended_encoding,alternative_encoding,encoding_risk,encoding_reason,one_hot_safe,rare_grouping_needed,frequency_encoding_candidate,binary_encoding_candidate,target_encoding_candidate_later,dominance_categorical_family,dominance_is_ordinal,dominance_is_nominal,dominance_is_absence_related,dominance_unique_count,top_category,top_count,top_percentage,second_category,second_count,second_percentage,dominance_level,dominance_action,rare_categorical_family,rare_is_ordinal,rare_is_nominal,rare_is_absence_related,rare_unique_count,rare_threshold_percentage,rare_category_count,rare_row_count,rare_row_percentage,rare_categories,rare_level,rare_action,train_test_categorical_family,train_test_is_ordinal,train_test_is_nominal,train_test_is_absence_related,train_unique_count,test_unique_count,common_category_count,train_only_category_count,test_only_category_count,test_only_row_count,test_only_row_percentage,category_match_ratio,train_only_categories,test_only_categories,consistency_status,encoding_safety_action,ordinal_unique_count,unique_values,ordinal_missing_count,ordinal_missing_percentage,ordinal_is_absence_related,mapping_available,mapped_category_count,unmapped_category_count,unmapped_categories,mapping_status,missing_handling,encoding_hint,nominal_pandas_dtype,nominal_is_absence_related,nominal_unique_count,nominal_unique_ratio,nominal_cardinality_level,nominal_missing_count,nominal_missing_percentage,nominal_top_category,nominal_top_percentage,nominal_rare_category_count,nominal_rare_row_percentage,nominal_rare_action,nominal_dominance_level,nominal_dominance_action,nominal_consistency_status,nominal_encoding_safety_action,nominal_encoding_hint,nominal_encoding_risk,final_nominal_action,drop_review_categorical_family,drop_review_is_ordinal,drop_review_is_nominal,drop_review_is_absence_related,drop_review_unique_count,drop_review_unique_ratio,drop_review_missing_percentage,drop_review_missing_type,drop_review_top_percentage,drop_review_dominance_level,drop_review_cardinality_level,drop_review_encoding_risk,drop_review_rare_row_percentage,drop_review_rare_level,drop_review_test_only_category_count,drop_review_consistency_status,is_constant,is_near_constant,is_id_like,is_high_missing,has_unseen_test_category,has_rare_grouping_risk,possible_availability_review,risk_score,review_reason,drop_review_action,final_categorical_family,final_is_ordinal,final_is_nominal,final_is_absence_related,final_cardinality_level,final_missing_percentage,final_missing_type,final_missing_handling,final_rare_level,rare_decision,final_dominance_level,final_top_percentage,final_consistency_status,final_test_only_category_count,ordinal_mapping_status,recommended_encoding_from_cardinality,final_encoding_method,unknown_handling,encoder_safety,final_encoding_risk,final_drop_review_action,final_review_reason,final_categorical_action
MSSubClass,int64,categorical,nominal,medium_cardinality,False,True,False,True,False,15,0.0103,0,0.0,"60, 20, 70, 50, 190",int64,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,15,0.0103,medium,15,one-hot encoding after rare grouping,frequency/count encoding,medium,"Medium-cardinality nominal feature may create several columns, so rare grouping should be checked before OHE.",False,True,True,False,False,nominal,False,True,False,15,20,536,36.71,60,299,20.48,balanced,keep,nominal,False,True,False,15,1.0,3,26,1.78,"45, 180, 40",low rare impact,rare grouping optional,nominal,False,True,False,15,16,15,0,1,1,0.07,0.9375,,150,minor unseen test category,use handle_unknown or unknown category,,,,,,,,,,,,,int64,False,15.0,0.0103,medium,0.0,0.0,20,36.71,3.0,1.78,rare grouping optional,balanced,keep,minor unseen test category,use handle_unknown or unknown category,rare grouping + one-hot encoding,medium,rare grouping before encoding,nominal,False,True,False,15,0.0103,0.0,none,36.71,balanced,medium,medium,1.78,low rare impact,1,minor unseen test category,False,False,False,False,True,False,False,1,test-only unseen category exists,safe encoding needed,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,36.71,minor unseen test category,1,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,safe encoding needed,test-only unseen category exists,keep + safe unknown handling
MSZoning,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,5,0.0034,0,0.0,"RL, RM, C (all), FV, RH",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,5,0.0034,low,5,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,5,RL,1151,78.84,RM,218,14.93,moderately dominated,keep but monitor,nominal,False,True,False,5,1.0,1,10,0.68,C (all),low rare impact,rare grouping optional,nominal,False,True,False,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,5.0,0.0034,low,0.0,0.0,RL,78.84,1.0,0.68,rare grouping optional,moderately dominated,keep but monitor,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,5,0.0034,0.0,none,78.84,moderately dominated,low,low,0.68,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,78.84,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
Street,object,object_dtype_columns,nominal,binary,True,False,False,True,False,2,0.0014,0,0.0,"Pave, Grvl",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,2,0.0014,binary,2,binary encoding / one-hot,label encoding only if model-safe,low,Binary nominal feature can be encoded as 0/1 or one-hot encoded.,True,False,False,False,False,nominal,False,True,False,2,Pave,1454,99.59,Grvl,6,0.41,near-constant,review/drop candidate,nominal,False,True,False,2,1.0,1,6,0.41,Grvl,low rare impact,rare grouping optional,nominal,False,True,False,2,2,2,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,2.0,0.0014,binary,0.0,0.0,Pave,99.59,1.0,0.41,rare grouping optional,near-constant,review/drop candidate,perfect match,safe for encoding,binary 0/1 encoding or one-hot,low,encode directly,nominal,False,True,False,2,0.0014,0.0,none,99.59,near-constant,binary,low,0.41,low rare impact,0,perfect match,False,True,False,False,False,False,False,3,near-constant and not clearly absence-related,review before keeping,nominal,False,True,False,binary,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,99.59,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
Alley,object,object_dtype_columns,nominal,binary,True,False,False,True,True,2,0.0014,1369,93.77,"Grvl, Pave",object,1369,93.77,very high,True,absence-related,fill with 'None',missing likely means feature absence,nominal,False,True,True,2,0.0014,binary,2,binary encoding / one-hot,label encoding only if model-safe,low,Binary nominal feature can be encoded as 0/1 or one-hot encoded.,True,False,False,False,False,nominal,False,True,True,2,,1369,93.77,Grvl,50,3.42,highly dominated,review usefulness,nominal,False,True,True,2,1.0,0,0,0.0,,no rare category,no rare grouping needed,nominal,False,True,True,2,2,2,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,True,2.0,0.0014,binary,1369.0,93.77,,93.77,0.0,0.0,no rare grouping needed,highly dominated,review usefulness,perfect match,safe for encoding,binary 0/1 encoding or one-hot,low,encode directly,nominal,False,True,True,2,0.0014,93.77,absence-related,93.77,highly dominated,binary,low,0.0,no rare category,0,perfect match,False,False,False,True,False,False,False,2,no major univariate drop risk,keep,nominal,False,True,True,binary,93.77,absence-related,fill with None,no rare category,no rare grouping needed,highly dominated,93.77,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,keep,no major univariate drop risk,keep + encode
LotShape,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,4,0.0027,0,0.0,"Reg, IR1, IR2, IR3",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,4,Reg,925,63.36,IR1,484,33.15,moderately dominated,keep but monitor,ordinal,True,False,False,4,1.0,1,10,0.68,IR3,low rare impact,rare grouping optional,ordinal,True,False,False,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"IR1, IR2, IR3, Reg",0.0,0.0,False,True,4.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,4,0.0027,0.0,none,63.36,moderately dominated,low,low,0.68,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,63.36,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
LandContour,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,4,0.0027,0,0.0,"Lvl, Bnk, Low, HLS",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,4,0.0027,low,4,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,4,Lvl,1311,89.79,Bnk,63,4.32,highly dominated,review usefulness,nominal,False,True,False,4,1.0,0,0,0.0,,no rare category,no rare grouping needed,nominal,False,True,False,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,4.0,0.0027,low,0.0,0.0,Lvl,89.79,0.0,0.0,no rare grouping needed,highly dominated,review usefulness,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,4,0.0027,0.0,none,89.79,highly dominated,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,89.79,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
Utilities,object,object_dtype_columns,nominal,binary,True,False,False,True,False,2,0.0014,0,0.0,"AllPub, NoSeWa",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,2,0.0014,binary,2,binary encoding / one-hot,label encoding only if model-safe,low,Binary nominal feature can be encoded as 0/1 or one-hot encoded.,True,False,False,False,False,nominal,False,True,False,2,AllPub,1459,99.93,NoSeWa,1,0.07,near-constant,review/drop candidate,nominal,False,True,False,2,1.0,1,1,0.07,NoSeWa,low rare impact,rare grouping optional,nominal,False,True,False,2,1,1,1,0,0,0.0,0.5,NoSeWa,,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,2.0,0.0014,binary,0.0,0.0,AllPub,99.93,1.0,0.07,rare grouping optional,near-constant,review/drop candidate,no unseen test category,safe; train-only categories are not an issue,binary 0/1 encoding or one-hot,low,encode directly,nominal,False,True,False,2,0.0014,0.0,none,99.93,near-constant,binary,low,0.07,low rare impact,0,no unseen test category,False,True,False,False,False,False,False,3,near-constant and not clearly absence-related,review before keeping,nominal,False,True,False,binary,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,99.93,no unseen test category,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
LotConfig,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,5,0.0034,0,0.0,"Inside, FR2, Corner, CulDSac, FR3",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,5,0.0034,low,5,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,5,Inside,1052,72.05,Corner,263,18.01,moderately dominated,keep but monitor,nominal,False,True,False,5,1.0,1,4,0.27,FR3,low rare impact,rare grouping optional,nominal,False,True,False,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,5.0,0.0034,low,0.0,0.0,Inside,72.05,1.0,0.27,rare grouping optional,moderately dominated,keep but monitor,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,5,0.0034,0.0,none,72.05,moderately dominated,low,low,0.27,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,72.05,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
LandSlope,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,3,0.0021,0,0.0,"Gtl, Mod, Sev",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,3,0.0021,low,3,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,3,Gtl,1382,94.66,Mod,65,4.45,highly dominated,review usefulness,ordinal,True,False,False,3,1.0,1,13,0.89,Sev,low rare impact,rare grouping optional,ordinal,True,False,False,3,3,3,0,0,0,0.0,1.0,,,perfect match,safe for encoding,3.0,"Gtl, Mod, Sev",0.0,0.0,False,True,3.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,3,0.0021,0.0,none,94.66,highly dominated,low,low,0.89,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,94.66,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Neighborhood,object,object_dtype_columns,nominal,medium_cardinality,True,False,False,True,False,25,0.0171,0,0.0,"CollgCr, Veenker, Crawfor, NoRidge, Mitchel",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,25,0.0171,medium,25,one-hot encoding after rare grouping,frequency/count encoding,medium,"Medium-cardinality nominal feature may create several columns, so rare grouping should be checked before OHE.",False,True,True,False,False,nominal,False,True,False,25,NAmes,225,15.41,CollgCr,150,10.27,balanced,keep,nominal,False,True,False,25,1.0,3,22,1.51,"Veenker, NPkVill, Blueste",low rare impact,rare grouping optional,nominal,False,True,False,25,25,25,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,25.0,0.0171,medium,0.0,0.0,NAmes,15.41,3.0,1.51,rare grouping optional,balanced,keep,perfect match,safe for encoding,rare grouping + one-hot encoding,medium,rare grouping before encoding,nominal,False,True,False,25,0.0171,0.0,none,15.41,balanced,medium,medium,1.51,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,15.41,perfect match,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
