column_name,dtype,missing_count,missing_percentage,missing_status,zero_count,zero_percentage,skewness,target_median_when_missing,target_median_when_not_missing,target_gap_percentage,imputation_hint,mean,median,mode,mode_percentage,q1,q3,iqr,mean_median_gap,mean_median_gap_percentage,gap_to_iqr_percentage,center_stability,imputation_candidate,min,max,range,variance,std,lower_iqr_bound,upper_iqr_bound,mad,robust_mad,iqr_to_range_ratio,spread_level,P01,P05,P25,P50,P75,P95,P99,upper_tail_gap,upper_tail_gap_percentage,lower_tail_gap,lower_tail_gap_percentage,P95_P99_gap,P01_P05_gap,upper_tail_label,lower_tail_label,percentile_review,unique_count,distribution_zero_percentage,kurtosis,distribution_shape,tail_behavior,zero_behavior,transformation_candidate,distribution_review,test_skewness,test_zero_percentage,train_test_distribution,transform_zero_percentage,special_missing_count,special_missing_percentage,special_zero_count,special_zero_percentage,special_zero_status,negative_count,negative_percentage,sentinel_count,sentinel_values_found,absence_like_zero,non_zero_count,non_zero_percentage,non_zero_min,non_zero_median,non_zero_mean,non_zero_max,special_value_action,final_zero_percentage,is_missing_feature,needs_center_review,needs_percentile_review,needs_distribution_review,needs_special_value_review,is_zero_heavy_feature,has_negative_or_sentinel_flag
LotFrontage,float64,259,17.74,moderate,0,0.0,2.164,172400.0,159500.0,8.09,Median imputation + missing indicator,70.05,69.0,60.0,11.91,59.0,80.0,21.0,1.05,1.52,5.0,stable,mean or median,21.0,313.0,292.0,589.75,24.28,27.5,111.5,11.0,16.31,0.0719,moderate spread,21.0,34.0,59.0,69.0,80.0,107.0,141.0,172.0,58.9,0.0,0.0,34.0,13.0,extreme upper tail,normal lower tail,review needed,110,0.0,17.453,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,0.662,0.0,possible mismatch,0.0,259,17.74,0,0.0,no zero,0,0.0,0,,False,1201,100.0,21.0,69.0,70.05,313.0,keep,0.0,True,False,True,True,False,False,False
MasVnrArea,float64,8,0.55,low,861,59.3,2.669,203287.0,162700.0,24.95,Fill 0 + create HasMasVnr indicator,103.69,0.0,0.0,59.3,0.0,166.0,166.0,103.69,,62.46,shifted,median / transformation check,0.0,1600.0,1600.0,32784.97,181.07,-249.0,415.0,0.0,0.0,0.1038,moderate spread,0.0,0.0,0.0,0.0,166.0,456.0,791.92,808.08,50.5,0.0,0.0,335.92,0.0,extreme upper tail,normal lower tail,review needed,327,59.3,10.082,highly right-skewed,extreme heavy tail,moderately zero-heavy,log1p + binary indicator,review needed,2.533,60.73,similar,59.3,8,0.55,861,59.3,zero-heavy,0,0.0,0,,True,591,40.7,1.0,203.0,254.74,1600.0,create binary indicator + keep raw/log1p,59.3,True,True,True,True,True,True,False
LotArea,int64,0,0.0,no missing,0,0.0,12.208,,,,No imputation needed,10516.83,9478.5,7200.0,1.71,7553.5,11601.5,4048.0,1038.33,10.95,25.65,slightly shifted,median preferred,1300.0,215245.0,213945.0,99625649.65,9981.26,1481.5,17673.5,1998.0,2962.23,0.0189,low spread,1680.0,3311.7,7553.5,9478.5,11601.5,17401.15,37567.64,177677.36,83.05,380.0,0.18,20166.49,1631.7,extreme upper tail,normal lower tail,review needed,1073,0.0,203.243,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,3.115,0.0,possible mismatch,0.0,0,0.0,0,0.0,no zero,0,0.0,0,,False,1460,100.0,1300.0,9478.5,10516.83,215245.0,keep,0.0,False,False,True,True,False,False,False
BsmtFinSF1,int64,0,0.0,no missing,467,31.99,1.686,,,,No imputation needed,443.64,383.5,0.0,31.99,0.0,712.25,712.25,60.14,15.68,8.44,slightly shifted,median preferred,0.0,5644.0,5644.0,208025.47,456.1,-1068.38,1780.62,383.5,568.58,0.1262,moderate spread,0.0,0.0,0.0,383.5,712.25,1274.0,1572.41,4071.59,72.14,0.0,0.0,298.41,0.0,extreme upper tail,normal lower tail,review needed,637,31.99,11.118,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,1.166,31.69,possible mismatch,31.99,0,0.0,467,31.99,moderate zero,0,0.0,0,,False,993,68.01,2.0,604.0,652.28,5644.0,keep,31.99,False,False,True,True,False,False,False
BsmtFinSF2,int64,0,0.0,no missing,1293,88.56,4.255,,,,No imputation needed,46.55,0.0,0.0,88.56,0.0,0.0,0.0,46.55,,,zero-dominated,zero/indicator check,0.0,1474.0,1474.0,26023.91,161.32,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,396.2,830.38,643.62,43.66,0.0,0.0,434.18,0.0,extreme upper tail,normal lower tail,review needed,144,88.56,20.113,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,4.041,87.65,similar,88.56,0,0.0,1293,88.56,zero-dominated,0,0.0,0,,True,167,11.44,28.0,354.0,406.96,1474.0,create binary indicator + keep raw/log1p,88.56,False,True,True,True,True,True,False
BsmtUnfSF,int64,0,0.0,no missing,118,8.08,0.92,,,,No imputation needed,567.24,477.5,0.0,8.08,223.0,808.0,585.0,89.74,18.79,15.34,slightly shifted,median preferred,0.0,2336.0,2336.0,195246.41,441.87,-654.5,1685.5,288.0,426.99,0.2504,wide spread,0.0,0.0,223.0,477.5,808.0,1468.0,1797.05,538.95,23.07,0.0,0.0,329.05,0.0,moderate upper tail,normal lower tail,optional review,780,8.08,0.475,moderately right-skewed,near-normal tail,not zero-heavy,sqrt or log1p,optional review,0.92,8.44,similar,8.08,0,0.0,118,8.08,low zero,0,0.0,0,,False,1342,91.92,14.0,536.0,617.12,2336.0,keep,8.08,False,False,True,True,False,False,False
TotalBsmtSF,int64,0,0.0,no missing,37,2.53,1.524,,,,No imputation needed,1057.43,991.5,0.0,2.53,795.75,1298.25,502.5,65.93,6.65,13.12,slightly shifted,median preferred,0.0,6110.0,6110.0,192462.36,438.71,42.0,2052.0,234.5,347.67,0.0822,moderate spread,0.0,519.3,795.75,991.5,1298.25,1753.0,2155.05,3954.95,64.73,0.0,0.0,402.05,519.3,extreme upper tail,normal lower tail,review needed,721,2.53,13.25,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,0.814,2.81,possible mismatch,2.53,0,0.0,37,2.53,low zero,0,0.0,0,,False,1423,97.47,105.0,1004.0,1084.92,6110.0,keep,2.53,False,False,True,True,False,False,False
1stFlrSF,int64,0,0.0,no missing,0,0.0,1.377,,,,No imputation needed,1162.63,1087.0,864.0,1.71,882.0,1391.25,509.25,75.63,6.96,14.85,slightly shifted,median preferred,334.0,4692.0,4358.0,149450.08,386.59,118.12,2155.12,234.5,347.67,0.1169,moderate spread,520.0,672.95,882.0,1087.0,1391.25,1831.25,2219.46,2472.54,56.74,186.0,4.27,388.21,152.95,extreme upper tail,normal lower tail,review needed,753,0.0,5.746,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,1.558,0.0,similar,0.0,0,0.0,0,0.0,no zero,0,0.0,0,,False,1460,100.0,334.0,1087.0,1162.63,4692.0,keep,0.0,False,False,True,True,False,False,False
2ndFlrSF,int64,0,0.0,no missing,829,56.78,0.813,,,,No imputation needed,346.99,0.0,0.0,56.78,0.0,728.0,728.0,346.99,,47.66,shifted,median / transformation check,0.0,2065.0,2065.0,190557.08,436.53,-1092.0,1820.0,0.0,0.0,0.3525,wide spread,0.0,0.0,0.0,0.0,728.0,1141.05,1418.92,646.08,31.29,0.0,0.0,277.87,0.0,extreme upper tail,normal lower tail,review needed,417,56.78,-0.553,moderately right-skewed,near-normal tail,moderately zero-heavy,log1p + binary indicator,review needed,0.913,57.51,similar,56.78,0,0.0,829,56.78,zero-heavy,0,0.0,0,,False,631,43.22,110.0,776.0,802.87,2065.0,check zero/non-zero split,56.78,False,True,True,True,True,True,False
LowQualFinSF,int64,0,0.0,no missing,1434,98.22,9.011,,,,No imputation needed,5.84,0.0,0.0,98.22,0.0,0.0,0.0,5.84,,,zero-dominated,zero/indicator check,0.0,572.0,572.0,2364.2,48.62,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,0.0,360.0,212.0,37.06,0.0,0.0,360.0,0.0,extreme upper tail,normal lower tail,review needed,24,98.22,83.235,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,16.167,99.04,possible mismatch,98.22,0,0.0,1434,98.22,zero-dominated,0,0.0,0,,False,26,1.78,53.0,377.5,328.19,572.0,review zero-dominated feature,98.22,False,True,True,True,True,True,False
