column_name,categorical_family,is_ordinal,is_nominal,is_absence_related,cardinality_level,missing_percentage,missing_type,missing_handling,rare_level,rare_decision,dominance_level,top_percentage,consistency_status,test_only_category_count,ordinal_mapping_status,recommended_encoding_from_cardinality,final_encoding_method,unknown_handling,encoder_safety,encoding_risk,drop_review_action,review_reason,final_categorical_action
MSSubClass,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,36.71,minor unseen test category,1,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,safe encoding needed,test-only unseen category exists,keep + safe unknown handling
MSZoning,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,78.84,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
Street,nominal,False,True,False,binary,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,99.59,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
Alley,nominal,False,True,True,binary,93.77,absence-related,fill with None,no rare category,no rare grouping needed,highly dominated,93.77,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,keep,no major univariate drop risk,keep + encode
LotShape,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,63.36,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
LandContour,nominal,False,True,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,89.79,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
Utilities,nominal,False,True,False,binary,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,99.93,no unseen test category,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
LotConfig,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,72.05,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
LandSlope,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,94.66,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Neighborhood,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,15.41,perfect match,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
Condition1,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,86.3,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
