analysis_group,column_name,P01,P01_P05_gap,P05,P25,P50,P75,P95,P95_P99_gap,P99,absence_like_zero,alternative_encoding,basic_type,binary_encoding_candidate,cardinality_categorical_family,cardinality_is_absence_related,cardinality_is_nominal,cardinality_is_ordinal,cardinality_level,cardinality_unique_count,cardinality_unique_ratio,categorical_family,category_match_ratio,center_stability,common_category_count,consistency_status,distribution_review,distribution_shape,distribution_zero_percentage,dominance_action,dominance_categorical_family,dominance_is_absence_related,dominance_is_nominal,dominance_is_ordinal,dominance_level,dominance_unique_count,drop_review_action,drop_review_cardinality_level,drop_review_categorical_family,drop_review_consistency_status,drop_review_dominance_level,drop_review_encoding_risk,drop_review_is_absence_related,drop_review_is_nominal,drop_review_is_ordinal,drop_review_missing_percentage,drop_review_missing_type,drop_review_rare_level,drop_review_rare_row_percentage,drop_review_test_only_category_count,drop_review_top_percentage,drop_review_unique_count,drop_review_unique_ratio,dtype,encoder_safety,encoding_hint,encoding_reason,encoding_risk,encoding_safety_action,feature_group,feature_type,final_action,final_cardinality_level,final_categorical_action,final_categorical_family,final_consistency_status,final_corrected_type,final_dominance_level,final_drop_review_action,final_encoding_method,final_encoding_risk,final_is_absence_related,final_is_nominal,final_is_ordinal,final_missing_handling,final_missing_percentage,final_missing_type,final_nominal_action,final_rare_level,final_review_reason,final_test_only_category_count,final_top_percentage,final_zero_percentage,frequency_encoding_candidate,gap_to_iqr_percentage,has_negative_or_sentinel_flag,has_rare_grouping_risk,has_unseen_test_category,imputation_candidate,imputation_hint,iqr,iqr_to_range_ratio,is_absence_related,is_constant,is_high_missing,is_id_like,is_missing_feature,is_near_constant,is_nominal,is_numeric_categorical,is_object_categorical,is_ordinal,is_zero_heavy_feature,kurtosis,lower_iqr_bound,lower_tail_gap,lower_tail_gap_percentage,lower_tail_label,mad,manual_note,mapped_category_count,mapping_available,mapping_status,max,mean,mean_median_gap,mean_median_gap_percentage,median,min,missing_count,missing_handling,missing_is_absence_related,missing_missing_count,missing_missing_percentage,missing_pandas_dtype,missing_percentage,missing_review,missing_status,missing_type,mode,mode_percentage,modeling_treatment,needs_center_review,needs_distribution_review,needs_percentile_review,needs_special_value_review,negative_count,negative_percentage,nominal_cardinality_level,nominal_consistency_status,nominal_dominance_action,nominal_dominance_level,nominal_encoding_hint,nominal_encoding_risk,nominal_encoding_safety_action,nominal_is_absence_related,nominal_missing_count,nominal_missing_percentage,nominal_pandas_dtype,nominal_rare_action,nominal_rare_category_count,nominal_rare_row_percentage,nominal_top_category,nominal_top_percentage,nominal_unique_count,nominal_unique_ratio,non_zero_count,non_zero_max,non_zero_mean,non_zero_median,non_zero_min,non_zero_percentage,ohe_column_estimate,one_hot_safe,ordinal_is_absence_related,ordinal_mapping_status,ordinal_missing_count,ordinal_missing_percentage,ordinal_unique_count,pandas_dtype,percentile_review,possible_availability_review,q1,q3,range,rare_action,rare_categorical_family,rare_categories,rare_category_count,rare_decision,rare_grouping_needed,rare_is_absence_related,rare_is_nominal,rare_is_ordinal,rare_level,rare_row_count,rare_row_percentage,rare_threshold_percentage,rare_unique_count,recommended_encoding,recommended_encoding_from_cardinality,review_reason,risk_score,robust_mad,sample_values,second_category,second_count,second_percentage,sentinel_count,sentinel_values_found,skewness,special_missing_count,special_missing_percentage,special_value_action,special_zero_count,special_zero_percentage,special_zero_status,spread_level,std,tail_behavior,target_encoding_candidate_later,target_gap_percentage,target_median_when_missing,target_median_when_not_missing,test_only_categories,test_only_category_count,test_only_row_count,test_only_row_percentage,test_skewness,test_unique_count,test_zero_percentage,top_category,top_count,top_percentage,train_only_categories,train_only_category_count,train_test_categorical_family,train_test_distribution,train_test_is_absence_related,train_test_is_nominal,train_test_is_ordinal,train_unique_count,transform_zero_percentage,transformation_candidate,unique_count,unique_ratio,unique_values,unknown_handling,unmapped_categories,unmapped_category_count,upper_iqr_bound,upper_tail_gap,upper_tail_gap_percentage,upper_tail_label,variance,zero_behavior,zero_count,zero_percentage
numeric,LotFrontage,21.0,13.0,34.0,59.0,69.0,80.0,107.0,34.0,141.0,0.0,,,,,,,,,,,,,stable,,,review needed,highly right-skewed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.0,0.0,,,mean or median,Median imputation + missing indicator,21.0,0.0719,,,,,1.0,,,,,,0.0,17.453,27.5,0.0,0.0,normal lower tail,11.0,,,,,313.0,70.05,1.05,1.52,69.0,21.0,259.0,,,,,,17.74,,moderate,,60.0,11.91,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1201.0,313.0,70.05,69.0,21.0,100.0,,,,,,,,,review needed,,59.0,80.0,292.0,,,,,,,,,,,,,,,,,,,16.31,,,,,0.0,,2.164,259.0,17.74,keep,0.0,0.0,no zero,moderate spread,24.28,extreme heavy tail,,8.09,172400.0,159500.0,,,,,0.662,,0.0,,,,,,,possible mismatch,,,,,0.0,log1p,110.0,,,,,,111.5,172.0,58.9,extreme upper tail,589.75,not zero-heavy,0.0,0.0
numeric,MasVnrArea,0.0,0.0,0.0,0.0,0.0,166.0,456.0,335.92,791.92,1.0,,,,,,,,,,,,,shifted,,,review needed,highly right-skewed,59.3,,,,,,,,,,,,,,,,,,,,,,,,,float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,,62.46,0.0,,,median / transformation check,Fill 0 + create HasMasVnr indicator,166.0,0.1038,,,,,1.0,,,,,,1.0,10.082,-249.0,0.0,0.0,normal lower tail,0.0,,,,,1600.0,103.69,103.69,,0.0,0.0,8.0,,,,,,0.55,,low,,0.0,59.3,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,591.0,1600.0,254.74,203.0,1.0,40.7,,,,,,,,,review needed,,0.0,166.0,1600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.669,8.0,0.55,create binary indicator + keep raw/log1p,861.0,59.3,zero-heavy,moderate spread,181.07,extreme heavy tail,,24.95,203287.0,162700.0,,,,,2.533,,60.73,,,,,,,similar,,,,,59.3,log1p + binary indicator,327.0,,,,,,415.0,808.08,50.5,extreme upper tail,32784.97,moderately zero-heavy,861.0,59.3
numeric,LotArea,1680.0,1631.7,3311.7,7553.5,9478.5,11601.5,17401.15,20166.49,37567.64,0.0,,,,,,,,,,,,,slightly shifted,,,review needed,highly right-skewed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,25.65,0.0,,,median preferred,No imputation needed,4048.0,0.0189,,,,,0.0,,,,,,0.0,203.243,1481.5,380.0,0.18,normal lower tail,1998.0,,,,,215245.0,10516.83,1038.33,10.95,9478.5,1300.0,0.0,,,,,,0.0,,no missing,,7200.0,1.71,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1460.0,215245.0,10516.83,9478.5,1300.0,100.0,,,,,,,,,review needed,,7553.5,11601.5,213945.0,,,,,,,,,,,,,,,,,,,2962.23,,,,,0.0,,12.208,0.0,0.0,keep,0.0,0.0,no zero,low spread,9981.26,extreme heavy tail,,,,,,,,,3.115,,0.0,,,,,,,possible mismatch,,,,,0.0,log1p,1073.0,,,,,,17673.5,177677.36,83.05,extreme upper tail,99625649.65,not zero-heavy,0.0,0.0
numeric,BsmtFinSF1,0.0,0.0,0.0,0.0,383.5,712.25,1274.0,298.41,1572.41,0.0,,,,,,,,,,,,,slightly shifted,,,review needed,highly right-skewed,31.99,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99,,8.44,0.0,,,median preferred,No imputation needed,712.25,0.1262,,,,,0.0,,,,,,0.0,11.118,-1068.38,0.0,0.0,normal lower tail,383.5,,,,,5644.0,443.64,60.14,15.68,383.5,0.0,0.0,,,,,,0.0,,no missing,,0.0,31.99,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,993.0,5644.0,652.28,604.0,2.0,68.01,,,,,,,,,review needed,,0.0,712.25,5644.0,,,,,,,,,,,,,,,,,,,568.58,,,,,0.0,,1.686,0.0,0.0,keep,467.0,31.99,moderate zero,moderate spread,456.1,extreme heavy tail,,,,,,,,,1.166,,31.69,,,,,,,possible mismatch,,,,,31.99,log1p,637.0,,,,,,1780.62,4071.59,72.14,extreme upper tail,208025.47,not zero-heavy,467.0,31.99
numeric,BsmtFinSF2,0.0,0.0,0.0,0.0,0.0,0.0,396.2,434.18,830.38,1.0,,,,,,,,,,,,,zero-dominated,,,review needed,highly right-skewed,88.56,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56,,,0.0,,,zero/indicator check,No imputation needed,0.0,0.0,,,,,0.0,,,,,,1.0,20.113,0.0,0.0,0.0,normal lower tail,0.0,,,,,1474.0,46.55,46.55,,0.0,0.0,0.0,,,,,,0.0,,no missing,,0.0,88.56,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,167.0,1474.0,406.96,354.0,28.0,11.44,,,,,,,,,review needed,,0.0,0.0,1474.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,4.255,0.0,0.0,create binary indicator + keep raw/log1p,1293.0,88.56,zero-dominated,very low spread,161.32,extreme heavy tail,,,,,,,,,4.041,,87.65,,,,,,,similar,,,,,88.56,log1p + binary indicator,144.0,,,,,,0.0,643.62,43.66,extreme upper tail,26023.91,highly zero-heavy,1293.0,88.56
numeric,BsmtUnfSF,0.0,0.0,0.0,223.0,477.5,808.0,1468.0,329.05,1797.05,0.0,,,,,,,,,,,,,slightly shifted,,,optional review,moderately right-skewed,8.08,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,15.34,0.0,,,median preferred,No imputation needed,585.0,0.2504,,,,,0.0,,,,,,0.0,0.475,-654.5,0.0,0.0,normal lower tail,288.0,,,,,2336.0,567.24,89.74,18.79,477.5,0.0,0.0,,,,,,0.0,,no missing,,0.0,8.08,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1342.0,2336.0,617.12,536.0,14.0,91.92,,,,,,,,,optional review,,223.0,808.0,2336.0,,,,,,,,,,,,,,,,,,,426.99,,,,,0.0,,0.92,0.0,0.0,keep,118.0,8.08,low zero,wide spread,441.87,near-normal tail,,,,,,,,,0.92,,8.44,,,,,,,similar,,,,,8.08,sqrt or log1p,780.0,,,,,,1685.5,538.95,23.07,moderate upper tail,195246.41,not zero-heavy,118.0,8.08
numeric,TotalBsmtSF,0.0,519.3,519.3,795.75,991.5,1298.25,1753.0,402.05,2155.05,0.0,,,,,,,,,,,,,slightly shifted,,,review needed,highly right-skewed,2.53,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,13.12,0.0,,,median preferred,No imputation needed,502.5,0.0822,,,,,0.0,,,,,,0.0,13.25,42.0,0.0,0.0,normal lower tail,234.5,,,,,6110.0,1057.43,65.93,6.65,991.5,0.0,0.0,,,,,,0.0,,no missing,,0.0,2.53,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1423.0,6110.0,1084.92,1004.0,105.0,97.47,,,,,,,,,review needed,,795.75,1298.25,6110.0,,,,,,,,,,,,,,,,,,,347.67,,,,,0.0,,1.524,0.0,0.0,keep,37.0,2.53,low zero,moderate spread,438.71,extreme heavy tail,,,,,,,,,0.814,,2.81,,,,,,,possible mismatch,,,,,2.53,log1p,721.0,,,,,,2052.0,3954.95,64.73,extreme upper tail,192462.36,not zero-heavy,37.0,2.53
numeric,1stFlrSF,520.0,152.95,672.95,882.0,1087.0,1391.25,1831.25,388.21,2219.46,0.0,,,,,,,,,,,,,slightly shifted,,,review needed,highly right-skewed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,14.85,0.0,,,median preferred,No imputation needed,509.25,0.1169,,,,,0.0,,,,,,0.0,5.746,118.12,186.0,4.27,normal lower tail,234.5,,,,,4692.0,1162.63,75.63,6.96,1087.0,334.0,0.0,,,,,,0.0,,no missing,,864.0,1.71,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1460.0,4692.0,1162.63,1087.0,334.0,100.0,,,,,,,,,review needed,,882.0,1391.25,4358.0,,,,,,,,,,,,,,,,,,,347.67,,,,,0.0,,1.377,0.0,0.0,keep,0.0,0.0,no zero,moderate spread,386.59,extreme heavy tail,,,,,,,,,1.558,,0.0,,,,,,,similar,,,,,0.0,log1p,753.0,,,,,,2155.12,2472.54,56.74,extreme upper tail,149450.08,not zero-heavy,0.0,0.0
numeric,2ndFlrSF,0.0,0.0,0.0,0.0,0.0,728.0,1141.05,277.87,1418.92,0.0,,,,,,,,,,,,,shifted,,,review needed,moderately right-skewed,56.78,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78,,47.66,0.0,,,median / transformation check,No imputation needed,728.0,0.3525,,,,,0.0,,,,,,1.0,-0.553,-1092.0,0.0,0.0,normal lower tail,0.0,,,,,2065.0,346.99,346.99,,0.0,0.0,0.0,,,,,,0.0,,no missing,,0.0,56.78,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,631.0,2065.0,802.87,776.0,110.0,43.22,,,,,,,,,review needed,,0.0,728.0,2065.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.813,0.0,0.0,check zero/non-zero split,829.0,56.78,zero-heavy,wide spread,436.53,near-normal tail,,,,,,,,,0.913,,57.51,,,,,,,similar,,,,,56.78,log1p + binary indicator,417.0,,,,,,1820.0,646.08,31.29,extreme upper tail,190557.08,moderately zero-heavy,829.0,56.78
numeric,LowQualFinSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,360.0,0.0,,,,,,,,,,,,,zero-dominated,,,review needed,highly right-skewed,98.22,,,,,,,,,,,,,,,,,,,,,,,,,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22,,,0.0,,,zero/indicator check,No imputation needed,0.0,0.0,,,,,0.0,,,,,,1.0,83.235,0.0,0.0,0.0,normal lower tail,0.0,,,,,572.0,5.84,5.84,,0.0,0.0,0.0,,,,,,0.0,,no missing,,0.0,98.22,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,26.0,572.0,328.19,377.5,53.0,1.78,,,,,,,,,review needed,,0.0,0.0,572.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,9.011,0.0,0.0,review zero-dominated feature,1434.0,98.22,zero-dominated,very low spread,48.62,extreme heavy tail,,,,,,,,,16.167,,99.04,,,,,,,possible mismatch,,,,,98.22,log1p + binary indicator,24.0,,,,,,0.0,212.0,37.06,extreme upper tail,2364.2,highly zero-heavy,1434.0,98.22
