feature,mapping
ExterQual,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
ExterCond,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
BsmtQual,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
BsmtCond,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
BsmtExposure,"{'None': 0, 'No': 1, 'Mn': 2, 'Av': 3, 'Gd': 4}"
BsmtFinType1,"{'None': 0, 'Unf': 1, 'LwQ': 2, 'Rec': 3, 'BLQ': 4, 'ALQ': 5, 'GLQ': 6}"
BsmtFinType2,"{'None': 0, 'Unf': 1, 'LwQ': 2, 'Rec': 3, 'BLQ': 4, 'ALQ': 5, 'GLQ': 6}"
HeatingQC,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
KitchenQual,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
Functional,"{'Sal': 0, 'Sev': 1, 'Maj2': 2, 'Maj1': 3, 'Mod': 4, 'Min2': 5, 'Min1': 6, 'Typ': 7}"
FireplaceQu,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
GarageFinish,"{'None': 0, 'Unf': 1, 'RFn': 2, 'Fin': 3}"
GarageQual,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
GarageCond,"{'None': 0, 'Po': 1, 'Fa': 2, 'TA': 3, 'Gd': 4, 'Ex': 5}"
PavedDrive,"{'N': 0, 'P': 1, 'Y': 2}"
PoolQC,"{'None': 0, 'Fa': 1, 'TA': 2, 'Gd': 3, 'Ex': 4}"
Fence,"{'None': 0, 'MnWw': 1, 'GdWo': 2, 'MnPrv': 3, 'GdPrv': 4}"
LotShape,"{'IR3': 1, 'IR2': 2, 'IR1': 3, 'Reg': 4}"
LandSlope,"{'Sev': 1, 'Mod': 2, 'Gtl': 3}"
