feature,train_missing_before,train_missing_before_pct,test_missing_before,test_missing_before_pct
PoolQC,1452,99.59,1456,99.79
MiscFeature,1404,96.3,1408,96.5
Alley,1367,93.76,1352,92.67
Fence,1177,80.73,1169,80.12
MasVnrType,872,59.81,894,61.27
FireplaceQu,690,47.33,730,50.03
LotFrontage,259,17.76,227,15.56
GarageYrBlt,81,5.56,78,5.35
GarageFinish,81,5.56,78,5.35
GarageQual,81,5.56,78,5.35
GarageCond,81,5.56,78,5.35
GarageType,81,5.56,76,5.21
BsmtExposure,38,2.61,44,3.02
BsmtFinType2,38,2.61,42,2.88
BsmtCond,37,2.54,45,3.08
BsmtQual,37,2.54,44,3.02
BsmtFinType1,37,2.54,42,2.88
MasVnrArea,8,0.55,15,1.03
Electrical,1,0.07,0,0.0
MSZoning,0,0.0,4,0.27
Utilities,0,0.0,2,0.14
BsmtFullBath,0,0.0,2,0.14
BsmtHalfBath,0,0.0,2,0.14
Functional,0,0.0,2,0.14
Exterior1st,0,0.0,1,0.07
Exterior2nd,0,0.0,1,0.07
BsmtFinSF1,0,0.0,1,0.07
BsmtFinSF2,0,0.0,1,0.07
BsmtUnfSF,0,0.0,1,0.07
TotalBsmtSF,0,0.0,1,0.07
KitchenQual,0,0.0,1,0.07
GarageCars,0,0.0,1,0.07
GarageArea,0,0.0,1,0.07
SaleType,0,0.0,1,0.07
Id,0,0.0,0,0.0
MSSubClass,0,0.0,0,0.0
LotArea,0,0.0,0,0.0
Street,0,0.0,0,0.0
LotShape,0,0.0,0,0.0
LandContour,0,0.0,0,0.0
LotConfig,0,0.0,0,0.0
LandSlope,0,0.0,0,0.0
Neighborhood,0,0.0,0,0.0
Condition1,0,0.0,0,0.0
Condition2,0,0.0,0,0.0
BldgType,0,0.0,0,0.0
HouseStyle,0,0.0,0,0.0
OverallQual,0,0.0,0,0.0
OverallCond,0,0.0,0,0.0
YearBuilt,0,0.0,0,0.0
YearRemodAdd,0,0.0,0,0.0
RoofStyle,0,0.0,0,0.0
RoofMatl,0,0.0,0,0.0
ExterQual,0,0.0,0,0.0
ExterCond,0,0.0,0,0.0
Foundation,0,0.0,0,0.0
Heating,0,0.0,0,0.0
HeatingQC,0,0.0,0,0.0
CentralAir,0,0.0,0,0.0
1stFlrSF,0,0.0,0,0.0
2ndFlrSF,0,0.0,0,0.0
LowQualFinSF,0,0.0,0,0.0
GrLivArea,0,0.0,0,0.0
FullBath,0,0.0,0,0.0
HalfBath,0,0.0,0,0.0
BedroomAbvGr,0,0.0,0,0.0
KitchenAbvGr,0,0.0,0,0.0
TotRmsAbvGrd,0,0.0,0,0.0
Fireplaces,0,0.0,0,0.0
PavedDrive,0,0.0,0,0.0
WoodDeckSF,0,0.0,0,0.0
OpenPorchSF,0,0.0,0,0.0
EnclosedPorch,0,0.0,0,0.0
3SsnPorch,0,0.0,0,0.0
ScreenPorch,0,0.0,0,0.0
PoolArea,0,0.0,0,0.0
MiscVal,0,0.0,0,0.0
MoSold,0,0.0,0,0.0
YrSold,0,0.0,0,0.0
SaleCondition,0,0.0,0,0.0
