feature,train_dtype,test_dtype,train_missing,test_missing,train_unique,test_unique
TotalSF,int64,float64,0,0,961,963
LivingPlusBasementSF,int64,float64,0,0,961,966
TotalPorchSF,int64,int64,0,0,285,290
OutdoorSF,int64,int64,0,0,428,420
TotalBath,float64,float64,0,0,10,11
HouseAge,int64,int64,0,0,122,117
RemodAge,int64,int64,0,0,61,61
GarageAge,float64,float64,0,0,102,107
IsNewHouse,int64,int64,0,0,2,2
IsRemodeled,int64,int64,0,0,2,2
HasGarageYrBlt,int64,int64,0,0,2,2
HasGarage,int64,int64,0,0,2,2
HasBasement,int64,int64,0,0,2,2
HasFireplace,int64,int64,0,0,2,2
HasPool,int64,int64,0,0,2,2
HasMasVnr,int64,int64,0,0,2,2
HasWoodDeck,int64,int64,0,0,2,2
HasOpenPorch,int64,int64,0,0,2,2
HasScreenPorch,int64,int64,0,0,2,2
Has3SsnPorch,int64,int64,0,0,2,2
HasMiscFeature,int64,int64,0,0,2,2
HasFence,int64,int64,0,0,2,2
HasAlley,int64,int64,0,0,2,2
ExteriorMatched,int64,int64,0,0,2,2
