feature,pearson_corr_with_log_target,spearman_corr_with_log_target,abs_spearman_corr
TotalSF,0.8253260657336355,0.8209373789249972,0.8209373789249972
LivingPlusBasementSF,0.8207385057454099,0.8162293767713833,0.8162293767713833
TotalBath,0.6766776974808355,0.7047723584536327,0.7047723584536327
HouseAge,-0.5877667506602267,-0.6509066817705381,0.6509066817705381
RemodAge,-0.5685285173432844,-0.577165894161866,0.577165894161866
HasFireplace,0.5102526177668867,0.5258620743610137,0.5258620743610137
HasOpenPorch,0.4493878120022483,0.4852945359542059,0.4852945359542059
OutdoorSF,0.3958433887062408,0.42608907527138745,0.42608907527138745
GarageAge,-0.3923280187490043,-0.3948061249412478,0.3948061249412478
HasMasVnr,0.3867145400139979,0.38853750062570797,0.38853750062570797
IsNewHouse,0.3612522887706928,0.34910799225124983,0.34910799225124983
HasWoodDeck,0.3204864676884432,0.326905325551745,0.326905325551745
HasGarage,0.32299383075720506,0.30054748755175004,0.30054748755175004
HasGarageYrBlt,0.32299383075720506,0.30054748755175004,0.30054748755175004
TotalPorchSF,0.19564828664624312,0.2726686415239785,0.2726686415239785
HasBasement,0.19962592489068273,0.2011968682055442,0.2011968682055442
HasFence,-0.17719939037948312,-0.1986059719954628,0.1986059719954628
HasAlley,-0.13231861431228745,-0.1262548199142338,0.1262548199142338
HasScreenPorch,0.0994752723373356,0.09654571044940244,0.09654571044940244
IsRemodeled,-0.07406590662032768,-0.08596664345726979,0.08596664345726979
HasMiscFeature,-0.07743837845305443,-0.06938947779718578,0.06938947779718578
Has3SsnPorch,0.057872629820701516,0.06538755083533217,0.06538755083533217
HasPool,0.07651615012858067,0.06365095325824349,0.06365095325824349
ExteriorMatched,0.023204466302823776,0.04355081229999911,0.04355081229999911
