feature,train_dtype,test_dtype,train_missing,test_missing,train_unique,test_unique
ExterQual_Ord,float64,float64,0,0,4,4
ExterCond_Ord,float64,float64,0,0,5,5
BsmtQual_Ord,float64,float64,0,0,5,5
BsmtCond_Ord,float64,float64,0,0,5,5
BsmtExposure_Ord,float64,float64,0,0,5,5
BsmtFinType1_Ord,float64,float64,0,0,7,7
BsmtFinType2_Ord,float64,float64,0,0,7,7
HeatingQC_Ord,float64,float64,0,0,5,5
KitchenQual_Ord,float64,float64,0,0,4,4
Functional_Ord,float64,float64,0,0,7,7
FireplaceQu_Ord,float64,float64,0,0,6,6
GarageFinish_Ord,float64,float64,0,0,4,4
GarageQual_Ord,float64,float64,0,0,6,5
GarageCond_Ord,float64,float64,0,0,6,6
PavedDrive_Ord,float64,float64,0,0,3,3
PoolQC_Ord,float64,float64,0,0,4,3
Fence_Ord,float64,float64,0,0,5,5
LotShape_Ord,float64,float64,0,0,4,4
LandSlope_Ord,float64,float64,0,0,3,3
ExteriorQualityScore,float64,float64,0,0,7,8
KitchenQualityScore,float64,float64,0,0,4,4
BasementQualityScore,float64,float64,0,0,11,12
BasementFinishScore,float64,float64,0,0,11,11
GarageQualityScore,float64,float64,0,0,11,11
LuxuryQualityScore,float64,float64,0,0,20,20
OverallQual_x_TotalSF,int64,float64,0,0,1166,1178
OverallQual_x_GrLivArea,int64,int64,0,0,1131,1151
OverallQual_x_TotalBath,float64,float64,0,0,36,38
KitchenQual_Ord_x_GrLivArea,float64,float64,0,0,1015,1038
ExterQual_Ord_x_GrLivArea,float64,float64,0,0,986,1015
BsmtQual_Ord_x_TotalBsmtSF,float64,float64,0,0,868,894
GarageFinish_Ord_x_GarageArea,float64,float64,0,0,597,621
GarageQual_Ord_x_GarageArea,float64,float64,0,0,466,488
