feature,min_count,train_unique_before,train_rare_value_count,keep_value_count,rare_values
Neighborhood,10,25,2,23,"NPkVill, Blueste"
MSSubClass,10,15,1,14,40
Exterior1st,10,15,5,10,"BrkComm, Stone, AsphShn, ImStucc, CBlock"
Exterior2nd,10,16,5,11,"Brk Cmn, Stone, AsphShn, Other, CBlock"
HouseStyle,10,8,1,7,2.5Fin
RoofStyle,10,6,2,4,"Mansard, Shed"
RoofMatl,10,7,5,2,"WdShngl, WdShake, Metal, Membran, Roll"
Condition1,10,9,3,6,"PosA, RRNn, RRNe"
Condition2,10,8,7,1,"Feedr, Artery, RRNn, PosA, PosN, RRAn, RRAe"
SaleType,10,9,6,3,"ConLD, ConLI, ConLw, CWD, Oth, Con"
SaleCondition,10,6,1,5,AdjLand
MiscFeature,10,5,3,2,"Gar2, Othr, TenC"
