feature,train_unique_after,test_unique_after
Neighborhood,24,24
MSSubClass,15,15
Exterior2nd,12,12
Exterior1st,11,11
HouseStyle,8,7
BsmtFinType2,7,7
GarageType,7,7
BsmtFinType1,7,7
Condition1,7,7
Functional,7,7
Foundation,6,6
GarageQual,6,5
Heating,6,4
FireplaceQu,6,6
SaleCondition,6,6
GarageCond,6,6
Fence,5,5
HeatingQC,5,5
BsmtCond,5,5
LotConfig,5,5
MSZoning,5,5
ExterCond,5,5
Electrical,5,4
BsmtExposure,5,5
RoofStyle,5,5
BsmtQual,5,5
BldgType,5,5
LotShape,4,4
PoolQC,4,3
SaleType,4,4
KitchenQual,4,4
GarageFinish,4,4
MasVnrType,4,4
LandContour,4,4
ExterQual,4,4
Alley,3,3
RoofMatl,3,3
PavedDrive,3,3
MiscFeature,3,3
LandSlope,3,3
Condition2,2,2
Utilities,2,1
Street,2,2
CentralAir,2,2
