feature,feature_group,dtype,train_missing,test_missing,train_unique,test_unique
LotFrontage,raw_or_other_numeric,float64,0,0,115,119
LotArea,raw_or_other_numeric,int64,0,0,1071,1106
OverallQual,raw_or_other_numeric,int64,0,0,10,10
OverallCond,raw_or_other_numeric,int64,0,0,9,9
YearBuilt,raw_or_other_numeric,int64,0,0,112,106
YearRemodAdd,raw_or_other_numeric,int64,0,0,61,61
MasVnrArea,raw_or_other_numeric,float64,0,0,325,303
BsmtFinSF1,raw_or_other_numeric,int64,0,0,635,669
BsmtFinSF2,raw_or_other_numeric,int64,0,0,144,161
BsmtUnfSF,raw_or_other_numeric,int64,0,0,780,793
TotalBsmtSF,raw_or_other_numeric,int64,0,0,719,736
1stFlrSF,raw_or_other_numeric,int64,0,0,751,789
2ndFlrSF,raw_or_other_numeric,int64,0,0,415,407
LowQualFinSF,raw_or_other_numeric,int64,0,0,24,15
GrLivArea,raw_or_other_numeric,int64,0,0,859,879
BsmtFullBath,raw_or_other_numeric,int64,0,0,4,4
BsmtHalfBath,raw_or_other_numeric,int64,0,0,3,3
FullBath,raw_or_other_numeric,int64,0,0,4,5
HalfBath,raw_or_other_numeric,int64,0,0,3,3
BedroomAbvGr,raw_or_other_numeric,int64,0,0,8,7
KitchenAbvGr,raw_or_other_numeric,int64,0,0,4,3
TotRmsAbvGrd,raw_or_other_numeric,int64,0,0,12,12
Fireplaces,raw_or_other_numeric,int64,0,0,4,5
GarageYrBlt,raw_or_other_numeric,float64,0,0,98,97
GarageCars,raw_or_other_numeric,int64,0,0,5,6
GarageArea,raw_or_other_numeric,int64,0,0,440,459
WoodDeckSF,raw_or_other_numeric,int64,0,0,274,263
OpenPorchSF,raw_or_other_numeric,int64,0,0,200,203
EnclosedPorch,raw_or_other_numeric,int64,0,0,120,131
3SsnPorch,raw_or_other_numeric,int64,0,0,20,13
ScreenPorch,raw_or_other_numeric,int64,0,0,76,75
PoolArea,raw_or_other_numeric,int64,0,0,7,7
MiscVal,raw_or_other_numeric,int64,0,0,21,26
MoSold,raw_or_other_numeric,int64,0,0,12,12
YrSold,raw_or_other_numeric,int64,0,0,5,5
TotalSF,core_engineered_numeric,int64,0,0,961,963
LivingPlusBasementSF,core_engineered_numeric,int64,0,0,961,966
TotalPorchSF,core_engineered_numeric,int64,0,0,285,290
OutdoorSF,core_engineered_numeric,int64,0,0,428,420
TotalBath,core_engineered_numeric,float64,0,0,10,11
HouseAge,core_engineered_numeric,int64,0,0,122,117
RemodAge,core_engineered_numeric,int64,0,0,61,61
IsNewHouse,binary_indicator,int64,0,0,2,2
IsRemodeled,binary_indicator,int64,0,0,2,2
HasGarageYrBlt,binary_indicator,int64,0,0,2,2
GarageAge,core_engineered_numeric,float64,0,0,102,107
HasGarage,binary_indicator,int64,0,0,2,2
HasBasement,binary_indicator,int64,0,0,2,2
HasFireplace,binary_indicator,int64,0,0,2,2
HasPool,binary_indicator,int64,0,0,2,2
