feature,train_min,test_min,train_max,test_max,train_unique,test_unique,eligible_for_log1p,reason
LotFrontage,21.0,21.0,313.0,200.0,115,119,True,non-negative and has variation
LotArea,1300.0,1470.0,215245.0,56600.0,1071,1106,True,non-negative and has variation
MasVnrArea,0.0,0.0,1600.0,1290.0,325,303,True,non-negative and has variation
BsmtFinSF1,0.0,0.0,2188.0,4010.0,635,669,True,non-negative and has variation
BsmtFinSF2,0.0,0.0,1474.0,1526.0,144,161,True,non-negative and has variation
BsmtUnfSF,0.0,0.0,2336.0,2140.0,780,793,True,non-negative and has variation
TotalBsmtSF,0.0,0.0,3206.0,5095.0,719,736,True,non-negative and has variation
1stFlrSF,334.0,407.0,3228.0,5095.0,751,789,True,non-negative and has variation
2ndFlrSF,0.0,0.0,2065.0,1862.0,415,407,True,non-negative and has variation
LowQualFinSF,0.0,0.0,572.0,1064.0,24,15,True,non-negative and has variation
GrLivArea,334.0,407.0,4476.0,5095.0,859,879,True,non-negative and has variation
GarageArea,0.0,0.0,1390.0,1488.0,440,459,True,non-negative and has variation
WoodDeckSF,0.0,0.0,857.0,1424.0,274,263,True,non-negative and has variation
OpenPorchSF,0.0,0.0,547.0,742.0,200,203,True,non-negative and has variation
EnclosedPorch,0.0,0.0,552.0,1012.0,120,131,True,non-negative and has variation
3SsnPorch,0.0,0.0,508.0,360.0,20,13,True,non-negative and has variation
ScreenPorch,0.0,0.0,480.0,576.0,76,75,True,non-negative and has variation
PoolArea,0.0,0.0,738.0,800.0,7,7,True,non-negative and has variation
MiscVal,0.0,0.0,15500.0,17000.0,21,26,True,non-negative and has variation
TotalSF,334.0,612.0,6872.0,10190.0,961,963,True,non-negative and has variation
LivingPlusBasementSF,334.0,612.0,6872.0,10190.0,961,966,True,non-negative and has variation
TotalPorchSF,0.0,0.0,1027.0,1207.0,285,290,True,non-negative and has variation
OutdoorSF,0.0,0.0,1560.0,1651.0,428,420,True,non-negative and has variation
TotalBath,1.0,1.0,6.0,7.0,10,11,True,non-negative and has variation
OverallQual_x_TotalSF,334.0,733.0,68720.0,101900.0,1166,1178,True,non-negative and has variation
OverallQual_x_GrLivArea,334.0,733.0,44760.0,50950.0,1131,1151,True,non-negative and has variation
OverallQual_x_TotalBath,1.0,1.0,45.0,49.0,36,38,True,non-negative and has variation
KitchenQual_Ord_x_GrLivArea,668.0,1221.0,22380.0,25475.0,1015,1038,True,non-negative and has variation
ExterQual_Ord_x_GrLivArea,668.0,1198.0,21580.0,25475.0,986,1015,True,non-negative and has variation
BsmtQual_Ord_x_TotalBsmtSF,0.0,0.0,15470.0,25475.0,868,894,True,non-negative and has variation
GarageFinish_Ord_x_GarageArea,0.0,0.0,4068.0,3942.0,597,621,True,non-negative and has variation
GarageQual_Ord_x_GarageArea,0.0,0.0,4620.0,5392.0,466,488,True,non-negative and has variation
