feature,exists_in_train,exists_in_test,train_dtype,test_dtype
Id,True,True,int64,int64
Neighborhood,True,True,object,object
MSSubClass,True,True,int64,int64
OverallQual,True,True,int64,int64
OverallCond,True,True,int64,int64
GrLivArea,True,True,int64,int64
TotalSF,True,True,int64,float64
TotalBsmtSF,True,True,int64,float64
1stFlrSF,True,True,int64,int64
GarageArea,True,True,int64,float64
GarageCars,True,True,int64,float64
TotalBath,True,True,float64,float64
HouseAge,True,True,int64,int64
RemodAge,True,True,int64,int64
GarageAge,True,True,float64,float64
ExterQual_Ord,True,True,float64,float64
KitchenQual_Ord,True,True,float64,float64
BsmtQual_Ord,True,True,float64,float64
GarageFinish_Ord,True,True,float64,float64
GarageQual_Ord,True,True,float64,float64
Foundation,True,True,object,object
HouseStyle,True,True,object,object
SaleCondition,True,True,object,object
Exterior1st,True,True,object,object
Exterior2nd,True,True,object,object
GarageType,True,True,object,object
