feature,fold,fold_train_rows,fold_valid_rows,fold_train_unique_categories,fold_valid_unique_categories,unseen_valid_category_rows,fold_global_mean,smoothing
Neighborhood,0,1312,146,25,21,0,12.024654270511794,20
Neighborhood,1,1312,146,25,23,0,12.022795234124837,20
Neighborhood,2,1312,146,25,23,0,12.02764476334857,20
Neighborhood,3,1312,146,25,21,0,12.022591741612558,20
Neighborhood,4,1312,146,25,22,0,12.021509529095527,20
Neighborhood,5,1312,146,25,22,0,12.027750273529684,20
Neighborhood,6,1312,146,25,23,0,12.032639893518631,20
Neighborhood,7,1312,146,25,24,0,12.015831276800961,20
Neighborhood,8,1313,145,25,22,0,12.024490259129905,20
Neighborhood,9,1313,145,25,24,0,12.020246825234596,20
MSSubClass,0,1312,146,15,13,0,12.024654270511794,20
MSSubClass,1,1312,146,15,15,0,12.022795234124837,20
MSSubClass,2,1312,146,15,13,0,12.02764476334857,20
MSSubClass,3,1312,146,15,14,0,12.022591741612558,20
MSSubClass,4,1312,146,15,13,0,12.021509529095527,20
MSSubClass,5,1312,146,15,12,0,12.027750273529684,20
MSSubClass,6,1312,146,15,15,0,12.032639893518631,20
MSSubClass,7,1312,146,15,14,0,12.015831276800961,20
MSSubClass,8,1313,145,15,14,0,12.024490259129905,20
MSSubClass,9,1313,145,15,13,0,12.020246825234596,20
Exterior1st,0,1312,146,15,11,0,12.024654270511794,20
Exterior1st,1,1312,146,15,10,0,12.022795234124837,20
Exterior1st,2,1312,146,15,10,0,12.02764476334857,20
Exterior1st,3,1312,146,15,12,0,12.022591741612558,20
Exterior1st,4,1312,146,14,11,1,12.021509529095527,20
Exterior1st,5,1312,146,15,10,0,12.027750273529684,20
Exterior1st,6,1312,146,14,11,1,12.032639893518631,20
Exterior1st,7,1312,146,15,10,0,12.015831276800961,20
Exterior1st,8,1313,145,14,11,1,12.024490259129905,20
Exterior1st,9,1313,145,15,10,0,12.020246825234596,20
Exterior2nd,0,1312,146,16,11,0,12.024654270511794,20
Exterior2nd,1,1312,146,16,11,0,12.022795234124837,20
Exterior2nd,2,1312,146,16,13,0,12.02764476334857,20
Exterior2nd,3,1312,146,15,13,1,12.022591741612558,20
Exterior2nd,4,1312,146,16,11,0,12.021509529095527,20
Exterior2nd,5,1312,146,16,10,0,12.027750273529684,20
Exterior2nd,6,1312,146,15,14,1,12.032639893518631,20
Exterior2nd,7,1312,146,16,12,0,12.015831276800961,20
Exterior2nd,8,1313,145,16,12,0,12.024490259129905,20
Exterior2nd,9,1313,145,16,10,0,12.020246825234596,20
Foundation,0,1312,146,6,4,0,12.024654270511794,20
Foundation,1,1312,146,6,4,0,12.022795234124837,20
Foundation,2,1312,146,6,4,0,12.02764476334857,20
Foundation,3,1312,146,6,6,0,12.022591741612558,20
Foundation,4,1312,146,6,5,0,12.021509529095527,20
Foundation,5,1312,146,6,4,0,12.027750273529684,20
Foundation,6,1312,146,6,5,0,12.032639893518631,20
Foundation,7,1312,146,6,4,0,12.015831276800961,20
Foundation,8,1313,145,6,5,0,12.024490259129905,20
Foundation,9,1313,145,6,5,0,12.020246825234596,20
HouseStyle,0,1312,146,8,8,0,12.024654270511794,20
HouseStyle,1,1312,146,8,8,0,12.022795234124837,20
HouseStyle,2,1312,146,8,7,0,12.02764476334857,20
HouseStyle,3,1312,146,8,8,0,12.022591741612558,20
HouseStyle,4,1312,146,8,6,0,12.021509529095527,20
HouseStyle,5,1312,146,8,7,0,12.027750273529684,20
HouseStyle,6,1312,146,8,8,0,12.032639893518631,20
HouseStyle,7,1312,146,8,8,0,12.015831276800961,20
HouseStyle,8,1313,145,8,6,0,12.024490259129905,20
HouseStyle,9,1313,145,8,6,0,12.020246825234596,20
SaleCondition,0,1312,146,6,4,0,12.024654270511794,20
SaleCondition,1,1312,146,6,6,0,12.022795234124837,20
SaleCondition,2,1312,146,6,5,0,12.02764476334857,20
SaleCondition,3,1312,146,6,5,0,12.022591741612558,20
SaleCondition,4,1312,146,6,5,0,12.021509529095527,20
SaleCondition,5,1312,146,6,6,0,12.027750273529684,20
SaleCondition,6,1312,146,6,4,0,12.032639893518631,20
SaleCondition,7,1312,146,6,4,0,12.015831276800961,20
SaleCondition,8,1313,145,6,5,0,12.024490259129905,20
SaleCondition,9,1313,145,6,6,0,12.020246825234596,20
GarageType,0,1312,146,7,5,0,12.024654270511794,20
GarageType,1,1312,146,7,6,0,12.022795234124837,20
GarageType,2,1312,146,7,7,0,12.02764476334857,20
GarageType,3,1312,146,7,5,0,12.022591741612558,20
GarageType,4,1312,146,7,7,0,12.021509529095527,20
GarageType,5,1312,146,7,5,0,12.027750273529684,20
GarageType,6,1312,146,7,6,0,12.032639893518631,20
GarageType,7,1312,146,7,5,0,12.015831276800961,20
GarageType,8,1313,145,7,7,0,12.024490259129905,20
GarageType,9,1313,145,7,6,0,12.020246825234596,20
Neighborhood_OverallQual,0,1312,146,110,62,3,12.024654270511794,20
Neighborhood_OverallQual,1,1312,146,109,63,4,12.022795234124837,20
Neighborhood_OverallQual,2,1312,146,111,57,2,12.02764476334857,20
Neighborhood_OverallQual,3,1312,146,113,60,0,12.022591741612558,20
Neighborhood_OverallQual,4,1312,146,112,61,1,12.021509529095527,20
Neighborhood_OverallQual,5,1312,146,110,66,3,12.027750273529684,20
Neighborhood_OverallQual,6,1312,146,111,67,2,12.032639893518631,20
Neighborhood_OverallQual,7,1312,146,112,60,1,12.015831276800961,20
Neighborhood_OverallQual,8,1313,145,112,62,1,12.024490259129905,20
Neighborhood_OverallQual,9,1313,145,113,54,0,12.020246825234596,20
Neighborhood_MSSubClass,0,1312,146,142,58,2,12.024654270511794,20
Neighborhood_MSSubClass,1,1312,146,140,77,4,12.022795234124837,20
Neighborhood_MSSubClass,2,1312,146,141,59,3,12.02764476334857,20
Neighborhood_MSSubClass,3,1312,146,141,65,3,12.022591741612558,20
Neighborhood_MSSubClass,4,1312,146,141,62,3,12.021509529095527,20
Neighborhood_MSSubClass,5,1312,146,143,65,1,12.027750273529684,20
Neighborhood_MSSubClass,6,1312,146,138,64,6,12.032639893518631,20
Neighborhood_MSSubClass,7,1312,146,142,60,2,12.015831276800961,20
Neighborhood_MSSubClass,8,1313,145,141,68,3,12.024490259129905,20
Neighborhood_MSSubClass,9,1313,145,142,66,2,12.020246825234596,20
Neighborhood_HouseStyle,0,1312,146,95,48,1,12.024654270511794,20
Neighborhood_HouseStyle,1,1312,146,94,65,2,12.022795234124837,20
Neighborhood_HouseStyle,2,1312,146,95,48,1,12.02764476334857,20
Neighborhood_HouseStyle,3,1312,146,94,51,2,12.022591741612558,20
Neighborhood_HouseStyle,4,1312,146,95,50,1,12.021509529095527,20
Neighborhood_HouseStyle,5,1312,146,95,54,1,12.027750273529684,20
Neighborhood_HouseStyle,6,1312,146,93,53,3,12.032639893518631,20
Neighborhood_HouseStyle,7,1312,146,95,50,1,12.015831276800961,20
Neighborhood_HouseStyle,8,1313,145,96,50,0,12.024490259129905,20
Neighborhood_HouseStyle,9,1313,145,95,57,1,12.020246825234596,20
MSSubClass_OverallQual,0,1312,146,75,43,3,12.024654270511794,20
MSSubClass_OverallQual,1,1312,146,77,47,1,12.022795234124837,20
MSSubClass_OverallQual,2,1312,146,76,42,2,12.02764476334857,20
MSSubClass_OverallQual,3,1312,146,77,45,1,12.022591741612558,20
MSSubClass_OverallQual,4,1312,146,78,41,0,12.021509529095527,20
MSSubClass_OverallQual,5,1312,146,78,42,0,12.027750273529684,20
MSSubClass_OverallQual,6,1312,146,74,44,4,12.032639893518631,20
MSSubClass_OverallQual,7,1312,146,78,40,0,12.015831276800961,20
MSSubClass_OverallQual,8,1313,145,77,42,1,12.024490259129905,20
MSSubClass_OverallQual,9,1313,145,78,40,0,12.020246825234596,20
Exterior1st_OverallQual,0,1312,146,72,40,2,12.024654270511794,20
Exterior1st_OverallQual,1,1312,146,73,40,1,12.022795234124837,20
Exterior1st_OverallQual,2,1312,146,73,37,1,12.02764476334857,20
Exterior1st_OverallQual,3,1312,146,71,44,3,12.022591741612558,20
Exterior1st_OverallQual,4,1312,146,73,36,1,12.021509529095527,20
Exterior1st_OverallQual,5,1312,146,72,37,2,12.027750273529684,20
Exterior1st_OverallQual,6,1312,146,72,46,2,12.032639893518631,20
Exterior1st_OverallQual,7,1312,146,74,38,0,12.015831276800961,20
Exterior1st_OverallQual,8,1313,145,72,42,2,12.024490259129905,20
Exterior1st_OverallQual,9,1313,145,74,35,0,12.020246825234596,20
Exterior2nd_OverallQual,0,1312,146,83,40,1,12.024654270511794,20
Exterior2nd_OverallQual,1,1312,146,82,43,2,12.022795234124837,20
Exterior2nd_OverallQual,2,1312,146,81,40,3,12.02764476334857,20
Exterior2nd_OverallQual,3,1312,146,82,45,2,12.022591741612558,20
Exterior2nd_OverallQual,4,1312,146,84,35,0,12.021509529095527,20
Exterior2nd_OverallQual,5,1312,146,82,38,2,12.027750273529684,20
Exterior2nd_OverallQual,6,1312,146,76,51,8,12.032639893518631,20
Exterior2nd_OverallQual,7,1312,146,84,37,0,12.015831276800961,20
Exterior2nd_OverallQual,8,1313,145,83,44,1,12.024490259129905,20
Exterior2nd_OverallQual,9,1313,145,84,34,0,12.020246825234596,20
Foundation_OverallQual,0,1312,146,38,19,1,12.024654270511794,20
Foundation_OverallQual,1,1312,146,38,17,1,12.022795234124837,20
Foundation_OverallQual,2,1312,146,39,17,0,12.02764476334857,20
Foundation_OverallQual,3,1312,146,38,23,1,12.022591741612558,20
Foundation_OverallQual,4,1312,146,37,20,2,12.021509529095527,20
Foundation_OverallQual,5,1312,146,39,21,0,12.027750273529684,20
Foundation_OverallQual,6,1312,146,37,22,2,12.032639893518631,20
Foundation_OverallQual,7,1312,146,36,20,3,12.015831276800961,20
Foundation_OverallQual,8,1313,145,37,22,2,12.024490259129905,20
Foundation_OverallQual,9,1313,145,38,20,1,12.020246825234596,20
GarageType_OverallQual,0,1312,146,42,21,1,12.024654270511794,20
GarageType_OverallQual,1,1312,146,41,23,2,12.022795234124837,20
GarageType_OverallQual,2,1312,146,42,25,1,12.02764476334857,20
GarageType_OverallQual,3,1312,146,43,23,0,12.022591741612558,20
GarageType_OverallQual,4,1312,146,42,22,1,12.021509529095527,20
GarageType_OverallQual,5,1312,146,41,24,2,12.027750273529684,20
GarageType_OverallQual,6,1312,146,42,24,1,12.032639893518631,20
GarageType_OverallQual,7,1312,146,42,20,1,12.015831276800961,20
GarageType_OverallQual,8,1313,145,43,24,0,12.024490259129905,20
GarageType_OverallQual,9,1313,145,43,21,0,12.020246825234596,20
