category,mean,median,count,encoded_value,feature,global_mean,smoothing
Blmngtn,12.169420856609413,12.160033942617156,17,12.090823180432729,Neighborhood,12.024015155682548,20
Blueste,11.826543323681236,11.826543323681236,2,12.006063170955155,Neighborhood,12.024015155682548,20
BrDale,11.547874175133812,11.571203807011967,16,11.812396942105332,Neighborhood,12.024015155682548,20
BrkSide,11.679735927131075,11.730225355795039,58,11.768012652400683,Neighborhood,12.024015155682548,20
ClearCr,12.239905053500864,12.207326079382586,28,12.149950929409899,Neighborhood,12.024015155682548,20
CollgCr,12.163646694410446,12.191972491986009,150,12.147219454560105,Neighborhood,12.024015155682548,20
Crawfor,12.206664138894585,12.209192772866418,51,12.155213721088376,Neighborhood,12.024015155682548,20
Edwards,11.70533023009831,11.691071265241249,98,11.759344624265129,Neighborhood,12.024015155682548,20
Gilbert,12.15580861785994,12.10625783509458,79,12.129183676005923,Neighborhood,12.024015155682548,20
IDOTRR,11.446900686299823,11.542493975902508,37,11.649396991346393,Neighborhood,12.024015155682548,20
MeadowV,11.474532862936675,11.38510345703214,17,11.771550318474985,Neighborhood,12.024015155682548,20
Mitchel,11.933954336895399,11.941462360646147,49,11.960058922051093,Neighborhood,12.024015155682548,20
NAmes,11.86805183198011,11.849404844423074,225,11.880783531874187,Neighborhood,12.024015155682548,20
NPkVill,11.866484423332317,11.891368749982083,9,11.975126307711788,Neighborhood,12.024015155682548,20
NWAmes,12.130614372958203,12.116700301832571,73,12.107689810103224,Neighborhood,12.024015155682548,20
NoRidge,12.676003364380666,12.616528611893465,41,12.462236738578003,Neighborhood,12.024015155682548,20
NridgHt,12.619414745120222,12.660331092405906,77,12.496651943174312,Neighborhood,12.024015155682548,20
OldTown,11.703873303706033,11.686887175419702,113,11.752014935582201,Neighborhood,12.024015155682548,20
SWISU,11.838442483210134,11.845827048676645,25,11.920919226531206,Neighborhood,12.024015155682548,20
Sawyer,11.811475103760714,11.81303746480054,74,11.856696391403656,Neighborhood,12.024015155682548,20
SawyerW,12.090695259844948,12.100161978566868,59,12.073814220816493,Neighborhood,12.024015155682548,20
Somerst,12.29650016973361,12.32607741432226,86,12.245087902931523,Neighborhood,12.024015155682548,20
StoneBr,12.585489606293471,12.535379989788607,25,12.33594540602195,Neighborhood,12.024015155682548,20
Timber,12.363459778446694,12.339184289866731,38,12.246409908528024,Neighborhood,12.024015155682548,20
Veenker,12.344180385100639,12.292254928916668,11,12.137622172572838,Neighborhood,12.024015155682548,20
120,12.171559748864567,12.165255859329688,87,12.143981320232415,MSSubClass,12.024015155682548,20
160,11.807198205783184,11.891368749982083,63,11.859443253951707,MSSubClass,12.024015155682548,20
180,11.501760079550841,11.390369988762309,10,11.849930130305314,MSSubClass,12.024015155682548,20
190,11.734861485230843,11.761727460969432,30,11.850522953411524,MSSubClass,12.024015155682548,20
20,12.052794014364048,11.978235620635314,536,12.051758803620109,MSSubClass,12.024015155682548,20
30,11.433820241876747,11.511934974596556,69,11.566448312394904,MSSubClass,12.024015155682548,20
40,11.870429985012635,11.864877152363379,4,11.998417627237563,MSSubClass,12.024015155682548,20
45,11.579042501612866,11.585082335571702,12,11.857150410406417,MSSubClass,12.024015155682548,20
50,11.814544374048236,11.790557603341762,144,11.840089591320712,MSSubClass,12.024015155682548,20
60,12.341899260976202,12.283038316285214,297,12.321843481462407,MSSubClass,12.024015155682548,20
70,11.964051607499664,11.957597150615193,60,11.979042494545386,MSSubClass,12.024015155682548,20
75,12.064786173520382,12.00456970954406,16,12.042135608054918,MSSubClass,12.024015155682548,20
80,12.021830797488706,12.022738558227882,58,12.02239088933328,MSSubClass,12.024015155682548,20
85,11.89587333216916,11.85448099588403,20,11.959944243925854,MSSubClass,12.024015155682548,20
90,11.780927878312017,11.82027043825989,52,11.848452122026053,MSSubClass,12.024015155682548,20
AsbShng,11.524525146448998,11.589724271327142,20,11.774270151065773,Exterior1st,12.024015155682548,20
AsphShn,11.51293546492023,11.51293546492023,1,11.999678027551008,Exterior1st,12.024015155682548,20
BrkComm,11.158301614512997,11.158301614512997,2,11.945313924667134,Exterior1st,12.024015155682548,20
BrkFace,12.088146085227548,12.018240803746995,50,12.069822962500405,Exterior1st,12.024015155682548,20
CBlock,11.561725152903833,11.561725152903833,1,12.002001346026418,Exterior1st,12.024015155682548,20
CemntBd,12.206230890018793,12.383132038538385,60,12.160676956434731,Exterior1st,12.024015155682548,20
HdBoard,11.951905231658317,11.917730355182512,222,11.957864729511558,Exterior1st,12.024015155682548,20
ImStucc,12.476103599529845,12.476103599529845,1,12.045543176818134,Exterior1st,12.024015155682548,20
MetalSd,11.859774819201144,11.842236406331557,220,11.873461513907928,Exterior1st,12.024015155682548,20
Plywood,12.041224329536794,12.02844243918948,108,12.038535396122068,Exterior1st,12.024015155682548,20
Stone,12.456539957389108,12.456539957389108,2,12.063335592201327,Exterior1st,12.024015155682548,20
Stucco,11.888209878868409,11.863490183700772,24,11.949939550147564,Exterior1st,12.024015155682548,20
VinylSd,12.205878023698476,12.206077645517674,515,12.19907941181003,Exterior1st,12.024015155682548,20
Wd Sdng,11.838513799758502,11.84182976912667,206,11.85492984895532,Exterior1st,12.024015155682548,20
WdShing,11.84454914393597,11.765203693772792,26,11.922577844695352,Exterior1st,12.024015155682548,20
AsbShng,11.57023061977755,11.61725390722556,20,11.79712288773005,Exterior2nd,12.024015155682548,20
AsphShn,11.809239612808943,11.842236406331557,3,11.996000954438164,Exterior2nd,12.024015155682548,20
Brk Cmn,11.69629249105404,11.898194668458824,7,11.93905002040849,Exterior2nd,12.024015155682548,20
BrkFace,12.066073833707337,11.982935344196433,25,12.047381087918541,Exterior2nd,12.024015155682548,20
CBlock,11.561725152903833,11.561725152903833,1,12.002001346026418,Exterior2nd,12.024015155682548,20
CmentBd,12.203228584514656,12.392556361841775,59,12.15785809620273,Exterior2nd,12.024015155682548,20
HdBoard,11.974939203297822,11.951186847493476,207,11.979263075754627,Exterior2nd,12.024015155682548,20
ImStucc,12.240061029839287,12.141069200052499,10,12.096030447068127,Exterior2nd,12.024015155682548,20
MetalSd,11.862293288640137,11.840434615565814,214,11.876115670438633,Exterior2nd,12.024015155682548,20
Other,12.672949516558306,12.672949516558306,1,12.054916791914726,Exterior2nd,12.024015155682548,20
Plywood,11.994749722213504,11.987581628907417,142,11.998362738691164,Exterior2nd,12.024015155682548,20
Stone,11.89844916812289,12.08391066125752,5,11.998901958170615,Exterior2nd,12.024015155682548,20
Stucco,11.84784672866947,11.849404844423074,25,11.92614380734195,Exterior2nd,12.024015155682548,20
VinylSd,12.209635976539303,12.206430019558542,504,12.202551212384465,Exterior2nd,12.024015155682548,20
Wd Sdng,11.838487423605539,11.8350162104899,197,11.855586753750886,Exterior2nd,12.024015155682548,20
Wd Shng,11.892249813881381,11.836629587635672,38,11.937686138640405,Exterior2nd,12.024015155682548,20
BrkTil,11.722536409369562,11.738073010951078,146,11.758859149889199,Foundation,12.024015155682548,20
CBlock,11.87008704566344,11.860055820172928,634,11.874794327315401,Foundation,12.024015155682548,20
PConc,12.262311453242239,12.230770136157428,645,12.255144647300593,Foundation,12.024015155682548,20
Slab,11.53296968561854,11.55334242999596,24,11.75617217201127,Foundation,12.024015155682548,20
Stone,11.933163261180395,11.744548797397348,6,12.00304933387436,Foundation,12.024015155682548,20
Wood,12.10248496780323,12.00762780434872,3,12.034250348567854,Foundation,12.024015155682548,20
1.5Fin,11.813535828929005,11.790557603341762,154,11.837728854992632,HouseStyle,12.024015155682548,20
1.5Unf,11.595036606167865,11.619420453914962,14,11.847376929411796,HouseStyle,12.024015155682548,20
1Story,11.993689502599988,11.949571347642188,726,11.994502522789869,HouseStyle,12.024015155682548,20
2.5Fin,12.194456301892053,12.175499013233267,8,12.072712626028121,HouseStyle,12.024015155682548,20
2.5Unf,11.908757765563864,11.804855999911272,11,11.983117372092048,HouseStyle,12.024015155682548,20
2Story,12.183268872898461,12.154784614286667,443,12.176389662651554,HouseStyle,12.024015155682548,20
SFoyer,11.786486710837245,11.820123358887448,37,11.869830024818054,HouseStyle,12.024015155682548,20
SLvl,12.002159740381803,12.010671928196444,65,12.007302191040802,HouseStyle,12.024015155682548,20
Abnorml,11.78878269997762,11.775297421715829,101,11.827664097614798,SaleCondition,12.024015155682548,20
AdjLand,11.529157027412133,11.529265921852017,4,11.941538800970813,SaleCondition,12.024015155682548,20
Alloca,11.91446531007261,11.905339046643721,12,11.982933963578821,SaleCondition,12.024015155682548,20
Family,11.869662168114374,11.852456717781493,20,11.946838661898461,SaleCondition,12.024015155682548,20
Normal,12.00504022887931,11.982935344196433,1198,12.00535180403207,SaleCondition,12.024015155682548,20
Partial,12.453864999164235,12.415437707935368,123,12.393746139936027,SaleCondition,12.024015155682548,20
2Types,11.899163604891406,11.975061225235734,6,11.99520325934613,GarageType,12.024015155682548,20
Attchd,12.160987714593855,12.128116509451258,869,12.157906217205523,GarageType,12.024015155682548,20
Basment,11.9164468012954,11.904974309480185,19,11.971610059955477,GarageType,12.024015155682548,20
BuiltIn,12.377775697666822,12.345838935721968,87,12.31165223187537,GarageType,12.024015155682548,20
CarPort,11.588003701682522,11.58989576532275,9,11.888701256165298,GarageType,12.024015155682548,20
Detchd,11.765651395035771,11.771443882099636,387,11.778347402929962,GarageType,12.024015155682548,20
NoFeature,11.491885101952338,11.51293546492023,81,11.597257389819706,GarageType,12.024015155682548,20
Blmngtn__7,12.139333559815688,12.099975472366449,14,12.071499204443253,Neighborhood_OverallQual,12.024015155682548,20
Blmngtn__8,12.30982824164679,12.278397958261774,3,12.061295123417015,Neighborhood_OverallQual,12.024015155682548,20
Blueste__6,11.826543323681236,11.826543323681236,2,12.006063170955155,Neighborhood_OverallQual,12.024015155682548,20
BrDale__5,11.668099678558326,11.691080018519528,5,11.952832060257704,Neighborhood_OverallQual,12.024015155682548,20
BrDale__6,11.49322621903176,11.456365695436428,11,11.835670694290332,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__1,10.579005242826248,10.579005242826248,1,11.955205159832248,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__2,11.002116507732016,11.002116507732016,1,11.975353315303952,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__3,11.098477651207865,11.19135563385109,3,11.9032928724902,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__4,11.4942937853599,11.43460940784156,10,11.847441365575,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__5,11.70670060514781,11.669937760751914,21,11.861488190774512,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__6,11.866205695695836,11.788652853645843,18,11.949263306215158,Neighborhood_OverallQual,12.024015155682548,20
BrkSide__7,12.043193996298118,12.075720535868827,4,12.027211629118476,Neighborhood_OverallQual,12.024015155682548,20
ClearCr__4,12.084674818642242,11.992266613576142,3,12.031927285633811,Neighborhood_OverallQual,12.024015155682548,20
ClearCr__5,12.048694095868752,12.141450561868963,6,12.029710295725518,Neighborhood_OverallQual,12.024015155682548,20
ClearCr__6,12.239611062340071,12.232847898650569,10,12.095880457901723,Neighborhood_OverallQual,12.024015155682548,20
ClearCr__7,12.419449093720475,12.406565597924237,9,12.146736033004663,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__4,11.724813914587886,11.724813914587886,1,12.009767477535183,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__5,11.808083371224585,11.799988086701855,28,11.89805494808207,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__6,12.029959511186654,12.000690110987977,24,12.02725753141206,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__7,12.245458404178962,12.23028221464456,71,12.196789558355574,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__8,12.454384706090314,12.449022745701502,23,12.254212822179726,Neighborhood_OverallQual,12.024015155682548,20
CollgCr__9,12.532810882475745,12.560247968016562,3,12.090379815699052,Neighborhood_OverallQual,12.024015155682548,20
Crawfor__4,11.83138646878959,11.83138646878959,1,12.014842361068597,Neighborhood_OverallQual,12.024015155682548,20
Crawfor__5,11.849282611723085,11.884495917930655,11,11.962013285245318,Neighborhood_OverallQual,12.024015155682548,20
Crawfor__6,12.221937699658291,12.28765724080691,19,12.12043895915791,Neighborhood_OverallQual,12.024015155682548,20
Crawfor__7,12.286869530392572,12.299112067295642,13,12.127563848750134,Neighborhood_OverallQual,12.024015155682548,20
Crawfor__8,12.631465099609898,12.660331092405906,7,12.181502178182232,Neighborhood_OverallQual,12.024015155682548,20
Edwards__1,11.0186455364637,11.0186455364637,1,11.976140411910222,Neighborhood_OverallQual,12.024015155682548,20
Edwards__3,11.30550161884504,11.277215789596893,5,11.880312448315046,Neighborhood_OverallQual,12.024015155682548,20
Edwards__4,11.59736212066348,11.60824473564232,25,11.786985691783066,Neighborhood_OverallQual,12.024015155682548,20
Edwards__5,11.69465510080836,11.709629943623089,38,11.808227533523597,Neighborhood_OverallQual,12.024015155682548,20
Edwards__6,11.868370601533297,11.827013315851762,23,11.940763417416667,Neighborhood_OverallQual,12.024015155682548,20
Edwards__7,11.919331767320795,11.83138646878959,5,12.003078478010197,Neighborhood_OverallQual,12.024015155682548,20
Edwards__9,12.676079399771028,12.676079399771028,1,12.055065833972476,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__4,11.856522261533735,11.856522261533735,1,12.016039303580223,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__5,12.029380195155555,12.037659911047468,3,12.024714943439896,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__6,12.105594131973817,12.08954444723597,33,12.07480961261862,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__7,12.196718860124335,12.137487550173589,36,12.13503896568084,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__8,12.191280829529692,12.123239799036943,5,12.057468290451977,Neighborhood_OverallQual,12.024015155682548,20
Gilbert__9,12.84132849667433,12.84132849667433,1,12.062934838586918,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__2,10.471978128496518,10.471978128496518,1,11.950108630578452,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__3,11.357086951272038,11.350418300109132,3,11.937024520324655,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__4,11.26077020713568,11.526626168241185,12,11.737798299977474,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__5,11.521523671049412,11.60824473564232,11,11.845711725651435,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__6,11.655044935904357,11.695246674576564,8,11.91859509288878,Neighborhood_OverallQual,12.024015155682548,20
IDOTRR__7,11.942862028187117,11.942862028187117,2,12.016637598637509,Neighborhood_OverallQual,12.024015155682548,20
MeadowV__4,11.337462163445808,11.338566267204953,10,11.795164158270302,Neighborhood_OverallQual,12.024015155682548,20
MeadowV__5,11.627458301746985,11.702323171192614,6,11.932502035543573,Neighborhood_OverallQual,12.024015155682548,20
MeadowV__6,11.927687224983488,11.927687224983488,1,12.019428111363545,Neighborhood_OverallQual,12.024015155682548,20
Mitchel__4,11.8652086679923,11.792456911128632,3,12.00330126598382,Neighborhood_OverallQual,12.024015155682548,20
Mitchel__5,11.803055584957646,11.781048202146359,22,11.90827442815998,Neighborhood_OverallQual,12.024015155682548,20
Mitchel__6,11.979818485042458,11.982935344196433,17,12.003708577280344,Neighborhood_OverallQual,12.024015155682548,20
Mitchel__7,12.222353599869267,12.224078354255276,6,12.069785565879483,Neighborhood_OverallQual,12.024015155682548,20
Mitchel__8,12.509877789891933,12.509877789891933,1,12.04715147159728,Neighborhood_OverallQual,12.024015155682548,20
NAmes__3,11.42147420008841,11.439289689006644,3,11.94542285712679,Neighborhood_OverallQual,12.024015155682548,20
NAmes__4,11.643717964606177,11.652696102959752,20,11.833866560144362,Neighborhood_OverallQual,12.024015155682548,20
NAmes__5,11.818257781096806,11.827743504053696,113,11.849198739681128,Neighborhood_OverallQual,12.024015155682548,20
NAmes__6,11.940215344287543,11.959217687592915,74,11.958045091392863,Neighborhood_OverallQual,12.024015155682548,20
NAmes__7,12.209701827341052,12.222903739224092,12,12.093647657554488,Neighborhood_OverallQual,12.024015155682548,20
NAmes__8,12.539131211275242,12.498745990829317,3,12.09120420641203,Neighborhood_OverallQual,12.024015155682548,20
NPkVill__6,11.866484423332317,11.891368749982083,9,11.975126307711788,Neighborhood_OverallQual,12.024015155682548,20
NWAmes__5,11.976974044602123,11.95273490719153,8,12.010574838230998,Neighborhood_OverallQual,12.024015155682548,20
NWAmes__6,12.119768425656039,12.10625783509458,36,12.085570829236934,Neighborhood_OverallQual,12.024015155682548,20
NWAmes__7,12.151093448222444,12.189693441593203,26,12.095842016683358,Neighborhood_OverallQual,12.024015155682548,20
NWAmes__8,12.4929879639103,12.535379989788607,3,12.085185521973125,Neighborhood_OverallQual,12.024015155682548,20
NoRidge__10,13.363534790995873,13.433324684179969,4,12.247268428234769,Neighborhood_OverallQual,12.024015155682548,20
NoRidge__7,12.483484919374886,12.49311743468773,12,12.196316317067176,Neighborhood_OverallQual,12.024015155682548,20
NoRidge__8,12.655990608141394,12.631258204936191,24,12.368729038841918,Neighborhood_OverallQual,12.024015155682548,20
NoRidge__9,12.716405147731708,12.716405147731708,1,12.056986107684889,Neighborhood_OverallQual,12.024015155682548,20
NridgHt__10,12.95262038222403,12.93427316159524,8,12.2893309346944,Neighborhood_OverallQual,12.024015155682548,20
NridgHt__6,12.182547683847194,12.182547683847194,2,12.038427203697516,Neighborhood_OverallQual,12.024015155682548,20
NridgHt__7,12.243001912149992,12.241685170536048,16,12.121342603001413,Neighborhood_OverallQual,12.024015155682548,20
NridgHt__8,12.593727162302594,12.556733038263904,27,12.35129652118768,Neighborhood_OverallQual,12.024015155682548,20
NridgHt__9,12.82459220717503,12.779776689405292,24,12.46069354740572,Neighborhood_OverallQual,12.024015155682548,20
OldTown__10,12.881327863253969,12.881327863253969,2,12.101952674552678,Neighborhood_OverallQual,12.024015155682548,20
OldTown__3,11.431852298239045,11.573024962452177,6,11.887362188580202,Neighborhood_OverallQual,12.024015155682548,20
OldTown__4,11.469039699934807,11.544433821905134,17,11.769026432771424,Neighborhood_OverallQual,12.024015155682548,20
OldTown__5,11.64210915118075,11.652696102959752,47,11.756110943569347,Neighborhood_OverallQual,12.024015155682548,20
OldTown__6,11.748418345363506,11.705139569710433,22,11.879654921705907,Neighborhood_OverallQual,12.024015155682548,20
OldTown__7,11.989576850886023,11.957597150615193,16,12.008709242439648,Neighborhood_OverallQual,12.024015155682548,20
OldTown__8,11.91089186209306,11.989165855127435,3,12.009259943475223,Neighborhood_OverallQual,12.024015155682548,20
SWISU__2,11.002116507732016,11.002116507732016,1,11.975353315303952,Neighborhood_OverallQual,12.024015155682548,20
SWISU__4,11.747857071570412,11.747857071570412,2,11.998909875308719,Neighborhood_OverallQual,12.024015155682548,20
SWISU__5,11.90688722941234,11.979391594635793,9,11.98766510959869,Neighborhood_OverallQual,12.024015155682548,20
SWISU__6,11.827459951539595,11.838424908808216,10,11.958496754301564,Neighborhood_OverallQual,12.024015155682548,20
SWISU__7,12.008882283091168,11.951186847493476,3,12.022041302735847,Neighborhood_OverallQual,12.024015155682548,20
SawyerW__4,11.447540090244372,11.447540090244372,2,11.971608331551804,Neighborhood_OverallQual,12.024015155682548,20
SawyerW__5,11.82614929972638,11.873926851074632,8,11.967482053980786,Neighborhood_OverallQual,12.024015155682548,20
SawyerW__6,11.957599438178333,12.049424683420916,23,11.988490469575643,Neighborhood_OverallQual,12.024015155682548,20
SawyerW__7,12.320648934967437,12.337105293891872,21,12.175949530438222,Neighborhood_OverallQual,12.024015155682548,20
SawyerW__8,12.41766620802687,12.386312871189734,5,12.102745366151412,Neighborhood_OverallQual,12.024015155682548,20
Sawyer__4,11.749812481936635,11.767575435251748,9,11.938917774175195,Neighborhood_OverallQual,12.024015155682548,20
Sawyer__5,11.807362526859116,11.80894949832929,54,11.865917291405989,Neighborhood_OverallQual,12.024015155682548,20
Sawyer__6,11.882115353679165,11.91505836075372,11,11.973663613036186,Neighborhood_OverallQual,12.024015155682548,20
Somerst__10,12.644330802262578,12.644330802262578,1,12.053553995995882,Neighborhood_OverallQual,12.024015155682548,20
Somerst__6,12.119016214372323,12.08391066125752,11,12.057725208766017,Neighborhood_OverallQual,12.024015155682548,20
Somerst__7,12.205100140258759,12.20557752297723,41,12.145728014168197,Neighborhood_OverallQual,12.024015155682548,20
Somerst__8,12.42927479406046,12.429220196836384,29,12.263862696763352,Neighborhood_OverallQual,12.024015155682548,20
Somerst__9,12.671857664592522,12.689795736190689,4,12.131988907167544,Neighborhood_OverallQual,12.024015155682548,20
StoneBr__10,12.9917557065369,12.9917557065369,1,12.070098039056566,Neighborhood_OverallQual,12.024015155682548,20
StoneBr__7,12.36518506968927,12.384223015005311,3,12.068515579248642,Neighborhood_OverallQual,12.024015155682548,20
StoneBr__8,12.486025391039162,12.47887110758773,16,12.229353038063266,Neighborhood_OverallQual,12.024015155682548,20
StoneBr__9,12.954704597021106,12.885204569609956,5,12.210153043950259,Neighborhood_OverallQual,12.024015155682548,20
Timber__5,12.106753302897323,12.04355959836804,5,12.040562785125504,Neighborhood_OverallQual,12.024015155682548,20
Timber__6,12.067217000849347,12.075395961498685,6,12.0339848122595,Neighborhood_OverallQual,12.024015155682548,20
Timber__7,12.371144717701217,12.299784088222207,8,12.123195030545023,Neighborhood_OverallQual,12.024015155682548,20
Timber__8,12.483688943936343,12.5052541607884,16,12.22831461712868,Neighborhood_OverallQual,12.024015155682548,20
Timber__9,12.722074072266823,12.66191713053049,3,12.115066318715279,Neighborhood_OverallQual,12.024015155682548,20
Veenker__5,12.233936760794013,12.233936760794013,2,12.043098937965409,Neighborhood_OverallQual,12.024015155682548,20
Veenker__6,12.065007983444827,12.061361627892076,4,12.030847293642928,Neighborhood_OverallQual,12.024015155682548,20
Veenker__7,12.59133844767558,12.59133844767558,1,12.051030550539359,Neighborhood_OverallQual,12.024015155682548,20
Veenker__8,12.53524637413166,12.506180941677355,3,12.090697488523737,Neighborhood_OverallQual,12.024015155682548,20
Veenker__9,12.861001210669146,12.861001210669146,1,12.063871634491434,Neighborhood_OverallQual,12.024015155682548,20
Blmngtn__120,12.181117229967853,12.162644900973422,16,12.09383829980935,Neighborhood_MSSubClass,12.024015155682548,20
Blmngtn__20,11.982278882874375,11.982278882874375,1,12.022027714120254,Neighborhood_MSSubClass,12.024015155682548,20
Blueste__160,11.826543323681236,11.826543323681236,2,12.006063170955155,Neighborhood_MSSubClass,12.024015155682548,20
BrDale__160,11.547874175133812,11.571203807011967,16,11.812396942105332,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__190,11.723011906619956,11.723011906619956,2,11.996651223949584,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__20,11.145338670773127,11.19135563385109,3,11.909405179390015,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__30,11.404028593497358,11.390753170819174,16,11.748465572489131,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__40,11.283524879179666,11.283524879179666,1,11.988753713944314,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__45,11.679073215136754,11.661019561316273,4,11.96652483225825,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__50,11.832790440271324,11.794345471549745,25,11.917779202676313,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__70,11.997089671038589,11.985347718933049,6,12.017801582303171,Neighborhood_MSSubClass,12.024015155682548,20
BrkSide__75,12.276069679344005,12.276069679344005,1,12.03601775204738,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__120,12.10791863404835,12.10791863404835,2,12.031642744624895,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__20,12.319477595371838,12.380986970644665,8,12.108432995593773,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__40,12.468440756144114,12.468440756144114,1,12.045178279514051,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__50,12.20894953822411,12.266217319434311,6,12.066692320884446,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__60,12.284253989845434,12.206077645517674,7,12.091484483058112,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__70,12.406565597924237,12.406565597924237,1,12.042231843408343,Neighborhood_MSSubClass,12.024015155682548,20
ClearCr__80,11.942400651540593,11.951186847493476,3,12.013369785577076,Neighborhood_MSSubClass,12.024015155682548,20
CollgCr__120,11.872841263994363,11.87409121260153,10,11.973623858453152,Neighborhood_MSSubClass,12.024015155682548,20
CollgCr__20,12.134082627123135,12.178192583415596,81,12.112287088224008,Neighborhood_MSSubClass,12.024015155682548,20
CollgCr__60,12.298861999888565,12.271396795480596,53,12.223561494626644,Neighborhood_MSSubClass,12.024015155682548,20
CollgCr__80,11.870090165063694,11.898194668458824,3,12.003937982993131,Neighborhood_MSSubClass,12.024015155682548,20
