feature,train_dtype,test_dtype,train_missing,test_missing,train_unique,test_unique
NeighborhoodPriceTier_Ord,int64,int64,0,0,4,4
NeighborhoodPriceTier,object,object,0,0,4,4
IsPremiumNeighborhood,int64,int64,0,0,2,2
IsLowPriceNeighborhood,int64,int64,0,0,2,2
OverallQual_x_Neighborhood_TE,float64,float64,0,0,612,113
OverallQual_x_Neighborhood_TE_Centered,float64,float64,0,0,612,113
OverallCond_x_Neighborhood_TE,float64,float64,0,0,540,121
OverallCond_x_Neighborhood_TE_Centered,float64,float64,0,0,540,121
ExterQual_Ord_x_Neighborhood_TE,float64,float64,0,0,356,59
ExterQual_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,356,59
KitchenQual_Ord_x_Neighborhood_TE,float64,float64,0,0,436,69
KitchenQual_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,436,69
BsmtQual_Ord_x_Neighborhood_TE,float64,float64,0,0,405,67
BsmtQual_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,405,67
GarageFinish_Ord_x_Neighborhood_TE,float64,float64,0,0,435,70
GarageFinish_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,435,70
GarageQual_Ord_x_Neighborhood_TE,float64,float64,0,0,272,47
GarageQual_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,272,47
FireplaceQu_Ord_x_Neighborhood_TE,float64,float64,0,0,351,79
FireplaceQu_Ord_x_Neighborhood_TE_Centered,float64,float64,0,0,351,79
Neighborhood_TE_x_GrLivArea,float64,float64,0,0,1429,1301
Neighborhood_TE_x_TotalSF,float64,float64,0,0,1431,1310
Neighborhood_TE_x_LivingPlusBasementSF,float64,float64,0,0,1432,1313
Neighborhood_TE_x_TotalBsmtSF,float64,float64,0,0,1374,1182
Neighborhood_TE_x_1stFlrSF,float64,float64,0,0,1428,1252
Neighborhood_TE_x_2ndFlrSF,float64,float64,0,0,620,554
Neighborhood_TE_x_GarageArea,float64,float64,0,0,1301,947
Neighborhood_TE_x_GarageCars,float64,float64,0,0,397,66
Neighborhood_TE_x_TotalBath,float64,float64,0,0,648,137
Neighborhood_TE_x_TotalPorchSF,float64,float64,0,0,966,814
Neighborhood_TE_x_OutdoorSF,float64,float64,0,0,1172,1074
Neighborhood_TE_x_LotArea,float64,float64,0,0,1417,1229
Neighborhood_TE_x_LotFrontage,float64,float64,0,0,1033,527
PremiumNeighborhoodLargeHouse,int64,int64,0,0,2,2
PremiumNeighborhoodHighQuality,int64,int64,0,0,2,2
LowPriceNeighborhoodLargeHouse,int64,int64,0,0,2,2
LowPriceNeighborhoodLowQuality,int64,int64,0,0,2,2
LargeHighQualityHouse,int64,int64,0,0,2,2
LargeLowQualityHouse,int64,int64,0,0,2,2
