feature,train_missing,test_missing,train_missing_pct,test_missing_pct
NeighborhoodPriceTier_Ord,0,0,0.0,0.0
NeighborhoodPriceTier,0,0,0.0,0.0
IsPremiumNeighborhood,0,0,0.0,0.0
IsLowPriceNeighborhood,0,0,0.0,0.0
OverallQual_x_Neighborhood_TE,0,0,0.0,0.0
OverallQual_x_Neighborhood_TE_Centered,0,0,0.0,0.0
OverallCond_x_Neighborhood_TE,0,0,0.0,0.0
OverallCond_x_Neighborhood_TE_Centered,0,0,0.0,0.0
ExterQual_Ord_x_Neighborhood_TE,0,0,0.0,0.0
ExterQual_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
KitchenQual_Ord_x_Neighborhood_TE,0,0,0.0,0.0
KitchenQual_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
BsmtQual_Ord_x_Neighborhood_TE,0,0,0.0,0.0
BsmtQual_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
GarageFinish_Ord_x_Neighborhood_TE,0,0,0.0,0.0
GarageFinish_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
GarageQual_Ord_x_Neighborhood_TE,0,0,0.0,0.0
GarageQual_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
FireplaceQu_Ord_x_Neighborhood_TE,0,0,0.0,0.0
FireplaceQu_Ord_x_Neighborhood_TE_Centered,0,0,0.0,0.0
Neighborhood_TE_x_GrLivArea,0,0,0.0,0.0
Neighborhood_TE_x_TotalSF,0,0,0.0,0.0
Neighborhood_TE_x_LivingPlusBasementSF,0,0,0.0,0.0
Neighborhood_TE_x_TotalBsmtSF,0,0,0.0,0.0
Neighborhood_TE_x_1stFlrSF,0,0,0.0,0.0
Neighborhood_TE_x_2ndFlrSF,0,0,0.0,0.0
Neighborhood_TE_x_GarageArea,0,0,0.0,0.0
Neighborhood_TE_x_GarageCars,0,0,0.0,0.0
Neighborhood_TE_x_TotalBath,0,0,0.0,0.0
Neighborhood_TE_x_TotalPorchSF,0,0,0.0,0.0
Neighborhood_TE_x_OutdoorSF,0,0,0.0,0.0
Neighborhood_TE_x_LotArea,0,0,0.0,0.0
Neighborhood_TE_x_LotFrontage,0,0,0.0,0.0
PremiumNeighborhoodLargeHouse,0,0,0.0,0.0
PremiumNeighborhoodHighQuality,0,0,0.0,0.0
LowPriceNeighborhoodLargeHouse,0,0,0.0,0.0
LowPriceNeighborhoodLowQuality,0,0,0.0,0.0
LargeHighQualityHouse,0,0,0.0,0.0
LargeLowQualityHouse,0,0,0.0,0.0
