feature,pearson_corr_with_log_target,spearman_corr_with_log_target,abs_spearman_corr
OverallQual_x_Neighborhood_TE,0.8331740280683152,0.8438862629851692,0.8438862629851692
Neighborhood_TE_x_TotalSF,0.8403954768334687,0.8378090661994315,0.8378090661994315
Neighborhood_TE_x_LivingPlusBasementSF,0.8363708717832873,0.8333970094364028,0.8333970094364028
Neighborhood_TE_x_GarageCars,0.698027642946898,0.7881719830331,0.7881719830331
KitchenQual_Ord_x_Neighborhood_TE,0.7004345958078372,0.7764946569004049,0.7764946569004049
ExterQual_Ord_x_Neighborhood_TE,0.7080027820462997,0.7758482928510068,0.7758482928510068
Neighborhood_TE_x_TotalBath,0.6959529679299072,0.7731589764150183,0.7731589764150183
BsmtQual_Ord_x_Neighborhood_TE,0.6446296499402699,0.7598038291321645,0.7598038291321645
Neighborhood_TE_x_GrLivArea,0.7468970583373103,0.7544535853811464,0.7544535853811464
GarageQual_Ord_x_Neighborhood_TE,0.4089284639572793,0.7420283021118693,0.7420283021118693
ExterQual_Ord_x_Neighborhood_TE_Centered,0.7321076751695611,0.7350325896106704,0.7350325896106704
GarageFinish_Ord_x_Neighborhood_TE,0.6207354004760469,0.729750911303661,0.729750911303661
KitchenQual_Ord_x_Neighborhood_TE_Centered,0.7236985316839574,0.7293766415196982,0.7293766415196982
NeighborhoodPriceTier_Ord,0.6891104108262623,0.722117446847298,0.722117446847298
BsmtQual_Ord_x_Neighborhood_TE_Centered,0.7193862062368139,0.7220063540865999,0.7220063540865999
OverallQual_x_Neighborhood_TE_Centered,0.7157426310923296,0.7214731494204188,0.7214731494204188
OverallCond_x_Neighborhood_TE_Centered,0.6920602876291391,0.7069771090423486,0.7069771090423486
GarageQual_Ord_x_Neighborhood_TE_Centered,0.6664018342368894,0.6861317631763348,0.6861317631763348
GarageFinish_Ord_x_Neighborhood_TE_Centered,0.6716952226889927,0.6687781094278759,0.6687781094278759
Neighborhood_TE_x_GarageArea,0.6734127853914066,0.6681045392943544,0.6681045392943544
LargeHighQualityHouse,0.6775173945243425,0.6484072245099415,0.6484072245099415
Neighborhood_TE_x_TotalBsmtSF,0.666417041251446,0.6256185553839393,0.6256185553839393
Neighborhood_TE_x_1stFlrSF,0.6461300619991733,0.6041175654965653,0.6041175654965653
FireplaceQu_Ord_x_Neighborhood_TE,0.5576502553823571,0.5964844488842803,0.5964844488842803
FireplaceQu_Ord_x_Neighborhood_TE_Centered,0.553763804850303,0.5685605346289928,0.5685605346289928
PremiumNeighborhoodHighQuality,0.5689342524954306,0.5554345296038269,0.5554345296038269
IsLowPriceNeighborhood,-0.5150987702922202,-0.5396652360595969,0.5396652360595969
PremiumNeighborhoodLargeHouse,0.5779236919873142,0.5307928181938971,0.5307928181938971
IsPremiumNeighborhood,0.5259667487288185,0.5212535330788993,0.5212535330788993
LowPriceNeighborhoodLowQuality,-0.5004601855859157,-0.507605633059484,0.507605633059484
Neighborhood_TE_x_LotArea,0.27141454328453596,0.48598514402429377,0.48598514402429377
Neighborhood_TE_x_LotFrontage,0.4076419696822965,0.44452505066057213,0.44452505066057213
Neighborhood_TE_x_OutdoorSF,0.4104234249192548,0.43813771800481527,0.43813771800481527
Neighborhood_TE_x_2ndFlrSF,0.3291845257519372,0.2975095974108213,0.2975095974108213
Neighborhood_TE_x_TotalPorchSF,0.20783721592945112,0.280210365228233,0.280210365228233
OverallCond_x_Neighborhood_TE,0.025885908388485434,0.13364315814798783,0.13364315814798783
LowPriceNeighborhoodLargeHouse,0.035239757134958645,0.02807884002684875,0.02807884002684875
LargeLowQualityHouse,-0.021440693759586796,-0.020356180254961914,0.020356180254961914
