feature,train_dtype,test_dtype,train_missing,test_missing,train_unique,test_unique
OverallQual_x_HouseAge,int64,int64,0,0,291,288
OverallQual_x_RemodAge,int64,int64,0,0,175,177
Neighborhood_TE_x_HouseAge,float64,float64,0,0,1149,544
Neighborhood_TE_x_RemodAge,float64,float64,0,0,1100,491
QualityAgeIndex,float64,float64,0,0,324,330
QualityRemodIndex,float64,float64,0,0,219,213
AgePenaltyByQuality,float64,float64,0,0,331,334
IsVeryOldHouse,int64,int64,0,0,2,2
IsOldButRemodeled,int64,int64,0,0,2,2
OldLowQualityHouse,int64,int64,0,0,2,2
NewHighQualityHouse,int64,int64,0,0,2,2
GarageScore,int64,float64,0,0,488,508
GarageAreaPerCar,float64,float64,0,0,398,419
GarageQualityAreaScore,float64,float64,0,0,466,488
GarageFinishAreaScore,float64,float64,0,0,597,621
OverallQual_x_GarageScore,int64,float64,0,0,708,739
Neighborhood_TE_x_GarageScore,float64,float64,0,0,1304,960
HasLargeGarage,int64,int64,0,0,2,2
LargeHighQualityGarage,int64,int64,0,0,2,2
BasementScore,float64,float64,0,0,868,894
BasementQualityAreaScore,float64,float64,0,0,868,894
BasementExposureAreaScore,float64,float64,0,0,908,910
FinishedBasementSF,int64,float64,0,0,635,676
FinishedBasementRatio,float64,float64,0,0,971,978
UnfinishedBasementRatio,float64,float64,0,0,1205,1209
OverallQual_x_BasementQualityAreaScore,float64,float64,0,0,1045,1050
Neighborhood_TE_x_BasementQualityAreaScore,float64,float64,0,0,1380,1203
BathPerRoom,float64,float64,0,0,44,49
BathPerBedroom,float64,float64,0,0,33,30
BedroomPerRoom,float64,float64,0,0,33,31
RoomSizeAvg,float64,float64,0,0,1013,1026
OverallQual_x_RoomSizeAvg,float64,float64,0,0,1199,1204
LuxuryScore,float64,float64,0,0,28,28
LuxuryAreaScore,float64,float64,0,0,1334,1338
LuxuryNeighborhoodScore,float64,float64,0,0,984,283
LowQualityRiskScore,int64,int64,0,0,7,6
PremiumLargeLuxuryHouse,int64,int64,0,0,2,2
LowTierSmallLowQualityHouse,int64,int64,0,0,2,2
LargeButLowQualityRisk,int64,int64,0,0,2,2
