feature,pearson_corr_with_log_target,spearman_corr_with_log_target,abs_spearman_corr
LuxuryAreaScore,0.8782612414713037,0.886092331003985,0.886092331003985
LuxuryNeighborhoodScore,0.8573025054846493,0.8690801521592186,0.8690801521592186
LuxuryScore,0.8498859510706113,0.8574606115318455,0.8574606115318455
OverallQual_x_RoomSizeAvg,0.8339129478002139,0.8432597493648584,0.8432597493648584
OverallQual_x_BasementQualityAreaScore,0.7922255749611216,0.8271432137593059,0.8271432137593059
OverallQual_x_GarageScore,0.7596480132041007,0.7956228569558963,0.7956228569558963
GarageFinishAreaScore,0.7309428794614995,0.7480441395953468,0.7480441395953468
Neighborhood_TE_x_BasementQualityAreaScore,0.7516667829695594,0.7403404756996353,0.7403404756996353
BasementScore,0.7444630201236756,0.7291322527632619,0.7291322527632619
BasementQualityAreaScore,0.7444630201236756,0.7291322527632619,0.7291322527632619
LowQualityRiskScore,-0.6654871779392348,-0.7215326974562396,0.7215326974562396
QualityAgeIndex,0.4873214359480377,0.7198930262973765,0.7198930262973765
AgePenaltyByQuality,-0.6701543188058474,-0.7096472047808297,0.7096472047808297
Neighborhood_TE_x_GarageScore,0.6838373573495944,0.6837770098660708,0.6837770098660708
GarageScore,0.6747256569146564,0.6694784426317958,0.6694784426317958
RoomSizeAvg,0.6496214084977413,0.6661629150149598,0.6661629150149598
GarageQualityAreaScore,0.6575270575789807,0.6573754275063349,0.6573754275063349
QualityRemodIndex,0.4897904111391337,0.6490120973838764,0.6490120973838764
Neighborhood_TE_x_HouseAge,-0.5840657281205728,-0.644151722177773,0.644151722177773
Neighborhood_TE_x_RemodAge,-0.5633881656571265,-0.5651549279683542,0.5651549279683542
BathPerBedroom,0.47374113058925593,0.5635144366204322,0.5635144366204322
OverallQual_x_HouseAge,-0.4172969330106846,-0.5508237076031932,0.5508237076031932
BasementExposureAreaScore,0.5487787291042848,0.5335985683971357,0.5335985683971357
PremiumLargeLuxuryHouse,0.5718588351962905,0.5086894714807457,0.5086894714807457
NewHighQualityHouse,0.47390186188283845,0.48134535329626404,0.48134535329626404
GarageAreaPerCar,0.4670855714048325,0.48089168545353594,0.48089168545353594
OverallQual_x_RemodAge,-0.43964171061161705,-0.47750092211691975,0.47750092211691975
OldLowQualityHouse,-0.47031361712215364,-0.4770647364729897,0.4770647364729897
LargeHighQualityGarage,0.49019188105871425,0.4681622388235397,0.4681622388235397
HasLargeGarage,0.4854765914386722,0.4631235672924911,0.4631235672924911
BathPerRoom,0.3772537078977946,0.43033353694177845,0.43033353694177845
FinishedBasementSF,0.37541522226827734,0.3014064559208916,0.3014064559208916
LowTierSmallLowQualityHouse,-0.32455749991485844,-0.2744783098667342,0.2744783098667342
IsVeryOldHouse,-0.2539958372160354,-0.25689192828531093,0.25689192828531093
BedroomPerRoom,-0.22551153815578287,-0.2306948712466635,0.2306948712466635
IsOldButRemodeled,-0.14226112134420774,-0.16550688766941135,0.16550688766941135
FinishedBasementRatio,0.1515466260899568,0.1333660374468146,0.1333660374468146
LargeButLowQualityRisk,-0.021440693759586796,-0.020356180254961914,0.020356180254961914
UnfinishedBasementRatio,-0.06404581748748356,0.012278239755393128,0.012278239755393128
