feature,train_unique_before,train_unique_after,test_unique_before,test_unique_after,train_rows_grouped_to_rare,test_rows_grouped_to_rare
MSZoning,5,5,5,5,0,0
Alley,3,3,3,3,0,0
LotShape,4,4,4,4,9,6
LandContour,4,4,4,4,0,0
LotConfig,5,5,5,5,4,10
LandSlope,3,3,3,3,0,0
Neighborhood,25,24,25,24,11,22
Condition1,9,7,9,7,15,20
Condition2,8,2,5,2,14,15
BldgType,5,5,5,5,0,0
HouseStyle,8,8,7,7,8,0
RoofStyle,6,5,6,5,9,7
RoofMatl,7,2,4,2,25,17
Exterior1st,15,11,13,11,7,6
Exterior2nd,16,12,15,12,17,19
MasVnrType,4,4,4,4,0,0
ExterQual,4,4,4,4,0,0
ExterCond,5,4,5,4,4,11
Foundation,6,5,6,5,9,7
BsmtQual,5,5,5,5,0,0
BsmtCond,5,5,5,5,2,3
BsmtExposure,5,5,5,5,0,0
BsmtFinType1,7,7,7,7,0,0
BsmtFinType2,7,7,7,7,0,0
Heating,6,3,4,3,14,4
HeatingQC,5,5,5,5,1,2
CentralAir,2,2,2,2,0,0
Electrical,5,4,4,4,4,5
KitchenQual,4,4,4,4,0,0
Functional,7,6,7,6,6,5
FireplaceQu,6,6,6,6,0,0
GarageType,7,6,7,6,15,23
GarageFinish,4,4,4,4,0,0
GarageQual,6,5,5,5,6,2
GarageCond,6,4,6,4,18,14
PavedDrive,3,3,3,3,0,0
PoolQC,4,2,3,2,6,3
Fence,5,5,5,5,11,1
MiscFeature,5,3,4,3,5,5
SaleType,9,4,9,4,28,39
SaleCondition,6,6,6,6,4,8
NeighborhoodPriceTier,4,4,4,4,0,0
