feature,min_count,train_unique_before,keep_value_count,rare_value_count,rare_values
MSZoning,10,5,5,0,
Alley,20,3,3,0,
LotShape,10,4,3,1,IR3
LandContour,10,4,4,0,
LotConfig,10,5,4,1,FR3
LandSlope,10,3,3,0,
Neighborhood,10,25,23,2,"NPkVill, Blueste"
Condition1,10,9,6,3,"PosA, RRNn, RRNe"
Condition2,20,8,1,7,"Feedr, Artery, RRNn, PosA, PosN, RRAn, RRAe"
BldgType,10,5,5,0,
HouseStyle,10,8,7,1,2.5Fin
RoofStyle,10,6,4,2,"Mansard, Shed"
RoofMatl,20,7,1,6,"Tar&Grv, WdShngl, WdShake, Metal, Membran, Roll"
Exterior1st,10,15,10,5,"BrkComm, Stone, AsphShn, ImStucc, CBlock"
Exterior2nd,10,16,11,5,"Brk Cmn, Stone, AsphShn, Other, CBlock"
MasVnrType,10,4,4,0,
ExterQual,10,4,4,0,
ExterCond,10,5,3,2,"Ex, Po"
Foundation,10,6,4,2,"Stone, Wood"
BsmtQual,10,5,5,0,
BsmtCond,10,5,4,1,Po
BsmtExposure,10,5,5,0,
BsmtFinType1,10,7,7,0,
BsmtFinType2,10,7,7,0,
Heating,10,6,2,4,"Grav, Wall, OthW, Floor"
HeatingQC,10,5,4,1,Po
CentralAir,10,2,2,0,
Electrical,10,5,3,2,"FuseP, Mix"
KitchenQual,10,4,4,0,
Functional,10,7,5,2,"Maj2, Sev"
FireplaceQu,10,6,6,0,
GarageType,10,7,5,2,"CarPort, 2Types"
GarageFinish,10,4,4,0,
GarageQual,10,6,4,2,"Ex, Po"
GarageCond,10,6,3,3,"Gd, Po, Ex"
PavedDrive,10,3,3,0,
PoolQC,20,4,1,3,"Ex, Fa, Gd"
Fence,20,5,4,1,MnWw
MiscFeature,20,5,2,3,"Gar2, Othr, TenC"
SaleType,10,9,3,6,"ConLD, ConLI, ConLw, CWD, Oth, Con"
SaleCondition,10,6,5,1,AdjLand
NeighborhoodPriceTier,10,4,4,0,
