feature,train_min,test_min,train_max,test_max,train_skew_before,eligible_for_log1p,transformation,train_skew_after
MiscVal,0.0,0.0,15500.0,17000.0,24.46008498094565,True,log1p in-place,5.166779459655523
PoolArea,0.0,0.0,738.0,800.0,15.948945313085376,True,log1p in-place,15.517685432979174
Neighborhood_TE_x_LotArea,15620.427224565652,17304.178968158227,2630872.412809186,659355.8697102058,12.602345359571222,True,log1p in-place,-0.17025811395000542
LotArea,1300.0,1470.0,215245.0,56600.0,12.573925391549514,True,log1p in-place,-0.18127758596851626
3SsnPorch,0.0,0.0,508.0,360.0,10.297106387622124,True,log1p in-place,7.72942258150401
LowQualFinSF,0.0,0.0,572.0,1064.0,9.00495502120769,True,log1p in-place,7.454942569529665
BsmtFinSF2,0.0,0.0,1474.0,1526.0,4.251925297420032,True,log1p in-place,2.521222107829709
ScreenPorch,0.0,0.0,480.0,576.0,4.11892872884064,True,log1p in-place,3.1476391754315483
EnclosedPorch,0.0,0.0,552.0,1012.0,3.087163933908421,True,log1p in-place,2.109966853754203
MasVnrArea,0.0,0.0,1600.0,1290.0,2.6963290014326167,True,log1p in-place,0.5063121802395222
OpenPorchSF,0.0,0.0,547.0,742.0,2.3398286632283742,True,log1p in-place,-0.022889779639066056
TotalPorchSF,0.0,0.0,1027.0,1207.0,2.011470860262991,True,log1p in-place,-0.511890640902574
Neighborhood_TE_x_TotalPorchSF,0.0,0.0,12070.826524197248,14573.093764525507,1.9766065699234878,True,log1p in-place,-0.6677745117880525
OverallQual_x_BasementQualityAreaScore,0.0,0.0,154700.0,254750.0,1.9463350200952816,True,log1p in-place,-4.774273874500677
BasementExposureAreaScore,0.0,0.0,12376.0,20380.0,1.9341457965273394,True,log1p in-place,-3.5089935017202185
OverallQual_x_GarageScore,0.0,0.0,36600.0,46000.0,1.6211066630775128,True,log1p in-place,-2.9346906002609345
OutdoorSF,0.0,0.0,1560.0,1651.0,1.5898439272714615,True,log1p in-place,-1.3037650607550948
Neighborhood_TE_x_OutdoorSF,0.0,0.0,18356.09290026361,19933.86727856803,1.558587590764653,True,log1p in-place,-1.5032746381170645
LotFrontage,21.0,21.0,313.0,200.0,1.5482171880711468,True,log1p in-place,-0.9994845644919594
WoodDeckSF,0.0,0.0,857.0,1424.0,1.5458051688700118,True,log1p in-place,0.15651374613073185
OverallQual_x_GrLivArea,334.0,733.0,44760.0,50950.0,1.4938266035119308,True,log1p in-place,-0.3590551239769858
Neighborhood_TE_x_LotFrontage,247.27934465336648,247.20255668797466,3720.218341960959,2392.0117844102188,1.487589947820534,True,log1p in-place,-0.9929174179342629
KitchenQual_Ord_x_GrLivArea,668.0,1221.0,22380.0,25475.0,1.395660474729156,True,log1p in-place,-0.024967067894978722
