feature,feature_group,dtype,train_missing,test_missing,train_unique,test_unique
MSSubClass,raw_or_other_numeric,int64,0,0,15,16
LotFrontage,raw_or_other_numeric,float64,0,0,115,119
LotArea,raw_or_other_numeric,int64,0,0,1071,1106
OverallQual,raw_or_other_numeric,int64,0,0,10,10
OverallCond,raw_or_other_numeric,int64,0,0,9,9
YearBuilt,raw_or_other_numeric,int64,0,0,112,106
YearRemodAdd,raw_or_other_numeric,int64,0,0,61,61
MasVnrArea,raw_or_other_numeric,float64,0,0,325,303
BsmtFinSF1,raw_or_other_numeric,int64,0,0,635,669
BsmtFinSF2,raw_or_other_numeric,int64,0,0,144,161
BsmtUnfSF,raw_or_other_numeric,int64,0,0,780,793
TotalBsmtSF,raw_or_other_numeric,int64,0,0,719,736
1stFlrSF,raw_or_other_numeric,int64,0,0,751,789
2ndFlrSF,raw_or_other_numeric,int64,0,0,415,407
LowQualFinSF,raw_or_other_numeric,int64,0,0,24,15
GrLivArea,raw_or_other_numeric,int64,0,0,859,879
BsmtFullBath,raw_or_other_numeric,int64,0,0,4,4
BsmtHalfBath,raw_or_other_numeric,int64,0,0,3,3
FullBath,raw_or_other_numeric,int64,0,0,4,5
HalfBath,raw_or_other_numeric,int64,0,0,3,3
BedroomAbvGr,raw_or_other_numeric,int64,0,0,8,7
KitchenAbvGr,raw_or_other_numeric,int64,0,0,4,3
TotRmsAbvGrd,raw_or_other_numeric,int64,0,0,12,12
Fireplaces,raw_or_other_numeric,int64,0,0,4,5
GarageYrBlt,raw_or_other_numeric,float64,0,0,98,97
GarageCars,raw_or_other_numeric,int64,0,0,5,6
GarageArea,raw_or_other_numeric,int64,0,0,440,459
WoodDeckSF,raw_or_other_numeric,int64,0,0,274,263
OpenPorchSF,raw_or_other_numeric,int64,0,0,200,203
EnclosedPorch,raw_or_other_numeric,int64,0,0,120,131
3SsnPorch,raw_or_other_numeric,int64,0,0,20,13
ScreenPorch,raw_or_other_numeric,int64,0,0,76,75
PoolArea,raw_or_other_numeric,int64,0,0,7,7
MiscVal,raw_or_other_numeric,int64,0,0,21,26
MoSold,raw_or_other_numeric,int64,0,0,12,12
YrSold,raw_or_other_numeric,int64,0,0,5,5
TotalSF,raw_or_other_numeric,int64,0,0,961,963
LivingPlusBasementSF,raw_or_other_numeric,int64,0,0,961,966
TotalPorchSF,raw_or_other_numeric,int64,0,0,285,290
OutdoorSF,raw_or_other_numeric,int64,0,0,428,420
TotalBath,raw_or_other_numeric,float64,0,0,10,11
HouseAge,raw_or_other_numeric,int64,0,0,122,117
RemodAge,raw_or_other_numeric,int64,0,0,61,61
IsNewHouse,binary_indicator,int64,0,0,2,2
IsRemodeled,binary_indicator,int64,0,0,2,2
HasGarageYrBlt,binary_indicator,int64,0,0,2,2
GarageAge,raw_or_other_numeric,float64,0,0,102,107
HasGarage,binary_indicator,int64,0,0,2,2
HasBasement,binary_indicator,int64,0,0,2,2
HasFireplace,binary_indicator,int64,0,0,2,2
HasPool,binary_indicator,int64,0,0,2,2
HasMasVnr,binary_indicator,int64,0,0,2,2
HasWoodDeck,binary_indicator,int64,0,0,2,2
HasOpenPorch,binary_indicator,int64,0,0,2,2
HasScreenPorch,binary_indicator,int64,0,0,2,2
Has3SsnPorch,binary_indicator,int64,0,0,2,2
HasMiscFeature,binary_indicator,int64,0,0,2,2
HasFence,binary_indicator,int64,0,0,2,2
HasAlley,binary_indicator,int64,0,0,2,2
ExteriorMatched,raw_or_other_numeric,int64,0,0,2,2
ExterQual_Ord,ordinal_score,float64,0,0,4,4
ExterCond_Ord,ordinal_score,float64,0,0,5,5
BsmtQual_Ord,ordinal_score,float64,0,0,5,5
BsmtCond_Ord,ordinal_score,float64,0,0,5,5
BsmtExposure_Ord,ordinal_score,float64,0,0,5,5
BsmtFinType1_Ord,ordinal_score,float64,0,0,7,7
BsmtFinType2_Ord,ordinal_score,float64,0,0,7,7
HeatingQC_Ord,ordinal_score,float64,0,0,5,5
KitchenQual_Ord,ordinal_score,float64,0,0,4,4
Functional_Ord,ordinal_score,float64,0,0,7,7
FireplaceQu_Ord,ordinal_score,float64,0,0,6,6
GarageFinish_Ord,ordinal_score,float64,0,0,4,4
GarageQual_Ord,ordinal_score,float64,0,0,6,5
GarageCond_Ord,ordinal_score,float64,0,0,6,6
PavedDrive_Ord,ordinal_score,float64,0,0,3,3
PoolQC_Ord,ordinal_score,float64,0,0,4,3
Fence_Ord,ordinal_score,float64,0,0,5,5
LotShape_Ord,ordinal_score,float64,0,0,4,4
LandSlope_Ord,ordinal_score,float64,0,0,3,3
ExteriorQualityScore,raw_or_other_numeric,float64,0,0,7,8
KitchenQualityScore,raw_or_other_numeric,float64,0,0,4,4
BasementQualityScore,raw_or_other_numeric,float64,0,0,11,12
BasementFinishScore,raw_or_other_numeric,float64,0,0,11,11
GarageQualityScore,raw_or_other_numeric,float64,0,0,11,11
LuxuryQualityScore,raw_or_other_numeric,float64,0,0,20,20
OverallQual_x_TotalSF,interaction_feature,int64,0,0,1166,1178
OverallQual_x_GrLivArea,interaction_feature,int64,0,0,1131,1151
OverallQual_x_TotalBath,interaction_feature,float64,0,0,36,38
KitchenQual_Ord_x_GrLivArea,interaction_feature,float64,0,0,1015,1038
ExterQual_Ord_x_GrLivArea,interaction_feature,float64,0,0,986,1015
BsmtQual_Ord_x_TotalBsmtSF,interaction_feature,float64,0,0,868,894
GarageFinish_Ord_x_GarageArea,interaction_feature,float64,0,0,597,621
GarageQual_Ord_x_GarageArea,interaction_feature,float64,0,0,466,488
Neighborhood_TE,target_encoding,float64,0,0,225,25
Neighborhood_TE_Centered,target_encoding,float64,0,0,225,25
MSSubClass_TE,target_encoding,float64,0,0,136,16
