feature_index,feature,feature_group,dtype,train_unique,test_unique
0,LotFrontage,log_transformed_numeric,float64,115,119
1,LotArea,log_transformed_numeric,float64,1071,1106
2,OverallQual,raw_or_other_numeric,int64,10,10
3,OverallCond,raw_or_other_numeric,int64,9,9
4,YearBuilt,raw_or_other_numeric,int64,112,106
5,YearRemodAdd,raw_or_other_numeric,int64,61,61
6,MasVnrArea,log_transformed_numeric,float64,325,303
7,BsmtFinSF1,log_transformed_numeric,float64,635,669
8,BsmtFinSF2,log_transformed_numeric,float64,144,161
9,BsmtUnfSF,log_transformed_numeric,float64,780,793
10,TotalBsmtSF,log_transformed_numeric,float64,719,736
11,1stFlrSF,log_transformed_numeric,float64,751,789
12,2ndFlrSF,log_transformed_numeric,float64,415,407
13,LowQualFinSF,log_transformed_numeric,float64,24,15
14,GrLivArea,log_transformed_numeric,float64,859,879
15,BsmtFullBath,raw_or_other_numeric,int64,4,4
16,BsmtHalfBath,raw_or_other_numeric,int64,3,3
17,FullBath,raw_or_other_numeric,int64,4,5
18,HalfBath,raw_or_other_numeric,int64,3,3
19,BedroomAbvGr,raw_or_other_numeric,int64,8,7
20,KitchenAbvGr,raw_or_other_numeric,int64,4,3
21,TotRmsAbvGrd,raw_or_other_numeric,int64,12,12
22,Fireplaces,raw_or_other_numeric,int64,4,5
23,GarageYrBlt,raw_or_other_numeric,float64,98,97
24,GarageCars,raw_or_other_numeric,int64,5,6
25,GarageArea,log_transformed_numeric,float64,440,459
26,WoodDeckSF,log_transformed_numeric,float64,274,263
27,OpenPorchSF,log_transformed_numeric,float64,200,203
28,EnclosedPorch,log_transformed_numeric,float64,120,131
29,3SsnPorch,log_transformed_numeric,float64,20,13
30,ScreenPorch,log_transformed_numeric,float64,76,75
31,PoolArea,log_transformed_numeric,float64,7,7
32,MiscVal,log_transformed_numeric,float64,21,26
33,MoSold,raw_or_other_numeric,int64,12,12
34,YrSold,raw_or_other_numeric,int64,5,5
35,TotalSF,log_transformed_numeric,float64,961,963
36,LivingPlusBasementSF,log_transformed_numeric,float64,961,966
37,TotalPorchSF,log_transformed_numeric,float64,285,290
38,OutdoorSF,log_transformed_numeric,float64,428,420
39,TotalBath,log_transformed_numeric,float64,10,11
40,HouseAge,core_engineered_numeric_unlogged,int64,122,117
41,RemodAge,core_engineered_numeric_unlogged,int64,61,61
42,IsNewHouse,binary_indicator,int64,2,2
43,IsRemodeled,binary_indicator,int64,2,2
44,HasGarageYrBlt,binary_indicator,int64,2,2
45,GarageAge,core_engineered_numeric_unlogged,float64,102,107
46,HasGarage,binary_indicator,int64,2,2
47,HasBasement,binary_indicator,int64,2,2
48,HasFireplace,binary_indicator,int64,2,2
49,HasPool,binary_indicator,int64,2,2
50,HasMasVnr,binary_indicator,int64,2,2
51,HasWoodDeck,binary_indicator,int64,2,2
52,HasOpenPorch,binary_indicator,int64,2,2
53,HasScreenPorch,binary_indicator,int64,2,2
54,Has3SsnPorch,binary_indicator,int64,2,2
55,HasMiscFeature,binary_indicator,int64,2,2
56,HasFence,binary_indicator,int64,2,2
57,HasAlley,binary_indicator,int64,2,2
58,ExteriorMatched,binary_indicator,int64,2,2
59,ExterQual_Ord,ordinal_score,float64,4,4
60,ExterCond_Ord,ordinal_score,float64,5,5
61,BsmtQual_Ord,ordinal_score,float64,5,5
62,BsmtCond_Ord,ordinal_score,float64,5,5
63,BsmtExposure_Ord,ordinal_score,float64,5,5
64,BsmtFinType1_Ord,ordinal_score,float64,7,7
65,BsmtFinType2_Ord,ordinal_score,float64,7,7
66,HeatingQC_Ord,ordinal_score,float64,5,5
67,KitchenQual_Ord,ordinal_score,float64,4,4
68,Functional_Ord,ordinal_score,float64,7,7
69,FireplaceQu_Ord,ordinal_score,float64,6,6
70,GarageFinish_Ord,ordinal_score,float64,4,4
71,GarageQual_Ord,ordinal_score,float64,6,5
72,GarageCond_Ord,ordinal_score,float64,6,6
73,PavedDrive_Ord,ordinal_score,float64,3,3
74,PoolQC_Ord,ordinal_score,float64,4,3
75,Fence_Ord,ordinal_score,float64,5,5
76,LotShape_Ord,ordinal_score,float64,4,4
77,LandSlope_Ord,ordinal_score,float64,3,3
78,ExteriorQualityScore,component_score,float64,7,8
79,KitchenQualityScore,component_score,float64,4,4
80,BasementQualityScore,component_score,float64,11,12
81,BasementFinishScore,component_score,float64,11,11
82,GarageQualityScore,component_score,float64,11,11
83,LuxuryQualityScore,component_score,float64,20,20
84,OverallQual_x_TotalSF,log_transformed_numeric,float64,1166,1178
85,OverallQual_x_GrLivArea,log_transformed_numeric,float64,1131,1151
86,OverallQual_x_TotalBath,log_transformed_numeric,float64,36,38
87,KitchenQual_Ord_x_GrLivArea,log_transformed_numeric,float64,1015,1038
88,ExterQual_Ord_x_GrLivArea,log_transformed_numeric,float64,986,1015
89,BsmtQual_Ord_x_TotalBsmtSF,log_transformed_numeric,float64,868,894
