Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,LivingPlusBasementSF,TotalPorchSF,OutdoorSF,TotalBath,HouseAge,RemodAge,IsNewHouse,IsRemodeled,HasGarageYrBlt,GarageAge,HasGarage,HasBasement,HasFireplace,HasPool,HasMasVnr,HasWoodDeck,HasOpenPorch,HasScreenPorch,Has3SsnPorch,HasMiscFeature,HasFence,HasAlley,ExteriorMatched,ExterQual_Ord,ExterCond_Ord,BsmtQual_Ord,BsmtCond_Ord,BsmtExposure_Ord,BsmtFinType1_Ord,BsmtFinType2_Ord,HeatingQC_Ord,KitchenQual_Ord,Functional_Ord,FireplaceQu_Ord,GarageFinish_Ord,GarageQual_Ord,GarageCond_Ord,PavedDrive_Ord,PoolQC_Ord,Fence_Ord,LotShape_Ord,LandSlope_Ord,ExteriorQualityScore,KitchenQualityScore,BasementQualityScore,BasementFinishScore,GarageQualityScore,LuxuryQualityScore,OverallQual_x_TotalSF,OverallQual_x_GrLivArea,OverallQual_x_TotalBath,KitchenQual_Ord_x_GrLivArea,ExterQual_Ord_x_GrLivArea,BsmtQual_Ord_x_TotalBsmtSF,GarageFinish_Ord_x_GarageArea,GarageQual_Ord_x_GarageArea,Neighborhood_TE,Neighborhood_TE_Centered,MSSubClass_TE,MSSubClass_TE_Centered,Exterior1st_TE,Exterior1st_TE_Centered,Exterior2nd_TE,Exterior2nd_TE_Centered,Foundation_TE,Foundation_TE_Centered,HouseStyle_TE,HouseStyle_TE_Centered,SaleCondition_TE,SaleCondition_TE_Centered,GarageType_TE,GarageType_TE_Centered,Neighborhood_OverallQual_TE,Neighborhood_OverallQual_TE_Centered,Neighborhood_MSSubClass_TE,Neighborhood_MSSubClass_TE_Centered,Neighborhood_HouseStyle_TE,Neighborhood_HouseStyle_TE_Centered,MSSubClass_OverallQual_TE,MSSubClass_OverallQual_TE_Centered,Exterior1st_OverallQual_TE,Exterior1st_OverallQual_TE_Centered,Exterior2nd_OverallQual_TE,Exterior2nd_OverallQual_TE_Centered,Foundation_OverallQual_TE,Foundation_OverallQual_TE_Centered,GarageType_OverallQual_TE,GarageType_OverallQual_TE_Centered,NeighborhoodPriceTier_Ord,NeighborhoodPriceTier,IsPremiumNeighborhood,IsLowPriceNeighborhood,OverallQual_x_Neighborhood_TE,OverallQual_x_Neighborhood_TE_Centered,OverallCond_x_Neighborhood_TE,OverallCond_x_Neighborhood_TE_Centered,ExterQual_Ord_x_Neighborhood_TE,ExterQual_Ord_x_Neighborhood_TE_Centered,KitchenQual_Ord_x_Neighborhood_TE,KitchenQual_Ord_x_Neighborhood_TE_Centered,BsmtQual_Ord_x_Neighborhood_TE,BsmtQual_Ord_x_Neighborhood_TE_Centered,GarageFinish_Ord_x_Neighborhood_TE,GarageFinish_Ord_x_Neighborhood_TE_Centered,GarageQual_Ord_x_Neighborhood_TE,GarageQual_Ord_x_Neighborhood_TE_Centered,FireplaceQu_Ord_x_Neighborhood_TE,FireplaceQu_Ord_x_Neighborhood_TE_Centered,Neighborhood_TE_x_GrLivArea,Neighborhood_TE_x_TotalSF,Neighborhood_TE_x_LivingPlusBasementSF,Neighborhood_TE_x_TotalBsmtSF,Neighborhood_TE_x_1stFlrSF,Neighborhood_TE_x_2ndFlrSF,Neighborhood_TE_x_GarageArea,Neighborhood_TE_x_GarageCars,Neighborhood_TE_x_TotalBath,Neighborhood_TE_x_TotalPorchSF,Neighborhood_TE_x_OutdoorSF,Neighborhood_TE_x_LotArea,Neighborhood_TE_x_LotFrontage,PremiumNeighborhoodLargeHouse,PremiumNeighborhoodHighQuality,LowPriceNeighborhoodLargeHouse,LowPriceNeighborhoodLowQuality,LargeHighQualityHouse,LargeLowQualityHouse
1,60,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,2566,2566,61,61,3.5,5,5,0,0,1,5.0,1,1,0,0,1,0,1,0,0,0,0,0,1,4.0,3.0,4.0,3.0,1.0,6.0,1.0,5.0,4.0,7.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,7.0,4.0,8.0,7.0,8.0,12.0,17962,11970,24.5,6840.0,6840.0,3424.0,1096.0,1644.0,12.143331704574718,0.11931654889217036,12.327600423940101,0.30358526825755305,12.202015721466376,0.17800056578382772,12.207907202942677,0.18389204726012842,12.262492601782517,0.23847744609996901,12.176962303452179,0.15294714776963048,12.009001796414145,-0.015013359268403192,12.159423075035297,0.13540791935274932,12.189441989430001,0.16542683374745337,12.20646630605412,0.18245115037157156,12.20646630605412,0.18245115037157156,12.255107223422801,0.23109206774025282,12.211825413378032,0.18781025769548343,12.214554468093153,0.19053931241060518,12.20847647239662,0.1844613167140725,12.232377964508636,0.20836280882608804,2,high,0,0,85.00332193202303,0.8352158422451925,60.716658522873594,0.5965827444608518,48.573326818298874,0.47726619556868144,48.573326818298874,0.47726619556868144,48.573326818298874,0.47726619556868144,24.286663409149437,0.23863309778434072,36.429995113724154,0.3579496466765111,0.0,0.0,20765.09721482277,31159.789153938727,31159.789153938727,10394.691939115959,10394.691939115959,10370.40527570681,6654.545774106946,24.286663409149437,42.501660966011514,740.7432339790578,740.7432339790578,102611.15290365637,789.3165607973567,0,0,0,0,0,0
2,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,2524,2524,0,298,2.5,31,31,0,0,1,31.0,1,1,1,0,0,1,0,0,0,0,0,0,1,3.0,3.0,4.0,3.0,4.0,5.0,1.0,5.0,3.0,7.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,6.0,3.0,11.0,6.0,8.0,14.0,15144,7572,15.0,3786.0,3786.0,5048.0,920.0,1380.0,12.107269482652406,0.08325432696985757,12.050286385025336,0.026271229342787805,11.876591329485583,-0.14742382619696492,11.876963740608213,-0.14705141507433517,11.874932887963945,-0.14908226771860278,11.996567464001808,-0.027447691680739794,12.009571475389606,-0.014443680292941963,12.158068983853829,0.13405382817128064,12.029199147249296,0.005183991566747537,12.036171223862963,0.012156068180415147,12.0829354061605,0.0589202504779518,12.02687942636077,0.002864270678221814,11.932665766086117,-0.0913493895964308,11.93058039028129,-0.09343476540125728,11.94896577279634,-0.075049382886208,12.022321845248976,-0.001693310433571682,2,high,0,0,72.64361689591443,0.49952596181914544,96.85815586121925,0.6660346157588606,36.32180844795722,0.24976298090957272,36.32180844795722,0.24976298090957272,48.42907793060962,0.3330173078794303,24.21453896530481,0.16650865393971515,36.32180844795722,0.24976298090957272,36.32180844795722,0.24976298090957272,15279.374087107335,30558.74817421467,30558.74817421467,15279.374087107335,15279.374087107335,0.0,5569.343962020107,24.21453896530481,30.268173706631014,0.0,3607.966305830417,116229.7870334631,968.5815586121925,0,0,0,0,0,0
3,60,RL,68.0,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,2706,2706,42,42,3.5,7,6,0,1,1,7.0,1,1,1,0,1,0,1,0,0,0,0,0,1,4.0,3.0,4.0,3.0,2.0,6.0,1.0,5.0,4.0,7.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,7.0,4.0,9.0,7.0,8.0,15.0,18942,12502,24.5,7144.0,7144.0,3680.0,1216.0,1824.0,12.145061331856878,0.12104617617433,12.321629681736011,0.2976145260534633,12.193279484769494,0.16926432908694622,12.195652183450493,0.17163702776794487,12.249671371421838,0.2256562157392903,12.1738303804836,0.1498152248010527,12.001692228176193,-0.022322927506355228,12.159385589239047,0.13537043355649914,12.19467501101594,0.17065985533339223,12.22268059218099,0.19866543649844104,12.22268059218099,0.19866543649844104,12.261694951413366,0.2376797957308181,12.217209138124327,0.19319398244177854,12.219982684515948,0.19596752883339974,12.2105425366564,0.18652738097385146,12.24525392330728,0.22123876762473138,2,high,0,0,85.01542932299814,0.84732323322031,60.72530665928439,0.60523088087165,48.58024532742751,0.48418470469732,48.58024532742751,0.48418470469732,48.58024532742751,0.48418470469732,24.290122663713756,0.24209235234866,36.43518399557063,0.36313852852299,36.43518399557063,0.36313852852299,21691.079538696384,32864.53596400471,32864.53596400471,11173.456425308328,11173.456425308328,10517.623113388056,7384.197289768982,24.290122663713756,42.50771466149907,510.0925759379889,510.0925759379889,136631.93998338986,825.8641705662677,0,0,0,0,0,0
4,70,RL,60.0,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,2473,2473,307,307,2.0,91,36,0,1,1,8.0,1,1,1,0,0,0,1,0,0,0,0,0,0,3.0,3.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,7.0,4.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,6.0,4.0,8.0,6.0,7.0,15.0,17311,12019,14.0,6868.0,5151.0,2268.0,642.0,1926.0,12.169417905097351,0.1454027494148029,11.9902965722145,-0.03371858346804757,11.852922332084002,-0.1710928235985456,11.96957379199763,-0.054441363684917476,11.7522531124618,-0.2717620432207486,12.173220783939016,0.14920562825646755,11.826322246351328,-0.19769290933122008,11.778703824492304,-0.24531133119024418,12.121211240504365,0.09719608482181741,12.135824957049868,0.1118098013673201,12.122315545157413,0.09830038947486486,12.070038096300136,0.04602294061758805,12.11762265986492,0.09360750418237274,12.018266845359877,-0.005748310322671202,12.037014376608361,0.012999220925813404,12.014572159380945,-0.009442996301602946,3,premium,1,0,85.18592533568146,1.0178192459036204,60.84708952548675,0.7270137470740146,36.50825371529206,0.43620824824440874,48.677671620389404,0.5816109976592116,36.50825371529206,0.43620824824440874,12.169417905097351,0.1454027494148029,36.50825371529206,0.43620824824440874,48.677671620389404,0.5816109976592116,20894.89054305215,30094.97047930575,30094.97047930575,9200.079936253598,11694.810606798554,9200.079936253598,7812.766295072499,36.50825371529206,24.338835810194702,3736.011296864887,3736.011296864887,116217.9409936797,730.165074305841,0,1,0,0,0,0
5,60,RL,84.0,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,3343,3343,84,276,3.5,8,8,0,0,1,8.0,1,1,1,0,1,1,1,0,0,0,0,0,1,4.0,3.0,4.0,3.0,3.0,6.0,1.0,5.0,4.0,7.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,7.0,4.0,10.0,7.0,8.0,15.0,26744,17584,28.0,8792.0,8792.0,4580.0,1672.0,2508.0,12.410532088772452,0.3865169330899043,12.306970709031331,0.2829555533487831,12.192163352768985,0.16814819708643647,12.19589600127338,0.17188084559083272,12.249606289525985,0.22559113384343732,12.160610558481169,0.13659540279862092,11.998230162180326,-0.02578499350222252,12.152687662402823,0.12867250672027453,12.308034283871175,0.2840191281886266,12.380093802095198,0.35607864641264975,12.380093802095198,0.35607864641264975,12.386487386435157,0.3624722307526085,12.416288432586484,0.39227327690393565,12.414037019569188,0.3900218638866395,12.429357180652572,0.4053420249700235,12.415998101761007,0.39198294607845874,3,premium,1,0,99.28425671017962,3.0921354647192345,62.052660443862266,1.9325846654495216,49.64212835508981,1.5460677323596173,49.64212835508981,1.5460677323596173,49.64212835508981,1.5460677323596173,24.821064177544905,0.7730338661798086,37.231596266317354,1.159550799269713,37.231596266317354,1.159550799269713,27278.34953112185,41488.408772766306,41488.408772766306,14210.059241644458,14210.059241644458,13068.290289477392,10375.20482621377,37.231596266317354,43.43686231070358,1042.484695456886,3425.3068565011968,176974.18758589518,1042.484695456886,1,1,0,0,1,0
6,50,RL,85.0,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,None,MnPrv,Shed,700,10,2009,WD,Normal,2158,2158,350,390,2.5,16,14,0,1,1,16.0,1,1,0,0,0,1,1,0,1,1,1,0,1,3.0,3.0,4.0,3.0,1.0,6.0,1.0,5.0,3.0,7.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,6.0,3.0,8.0,7.0,7.0,10.0,10790,6810,12.5,4086.0,4086.0,3184.0,480.0,1440.0,11.968247316458486,-0.05576783922406214,11.835750945415057,-0.18826421026749074,12.197353114398505,0.17333795871595647,12.198623376925813,0.1746082212432647,12.040394674247104,0.01637951856455544,11.833454810027371,-0.190560345655177,12.004276862309863,-0.019738293372684623,12.156457819100451,0.132442663417903,11.915675470688843,-0.10833968499370528,12.037357243679072,0.013342087996523588,12.024604542754332,0.000589387071784131,11.831678666068042,-0.19233648961450633,11.859710019948446,-0.16430513573410188,11.851262453046962,-0.17275270263558618,12.022591741612558,-0.0014234140699898035,11.872956066247523,-0.15105908943502477,1,mid,0,0,59.84123658229243,-0.2788391961203107,59.84123658229243,-0.2788391961203107,35.904741949375456,-0.16730351767218643,35.904741949375456,-0.16730351767218643,47.872989265833944,-0.22307135689624857,11.968247316458486,-0.05576783922406214,35.904741949375456,-0.16730351767218643,0.0,-0.0,16300.752845016457,25827.477708917413,25827.477708917413,9526.724863900954,9526.724863900954,6774.027981115503,5744.758711900074,23.936494632916972,29.920618291146216,4188.88656076047,4667.616453418809,168931.81087181153,1017.3010218989713,0,0,0,0,0,0
7,20,RL,75.0,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,3380,3380,57,312,3.0,3,2,0,1,1,3.0,1,1,1,0,1,1,1,0,0,0,0,0,1,4.0,3.0,5.0,3.0,3.0,6.0,1.0,5.0,4.0,7.0,4.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,7.0,4.0,11.0,7.0,8.0,16.0,27040,13552,24.0,6776.0,6776.0,8430.0,1272.0,1908.0,12.241681566013776,0.21766641033122802,12.05551506169583,0.03149990601328234,12.193279484769494,0.16926432908694622,12.195652183450493,0.17163702776794487,12.249671371421838,0.2256562157392903,11.991445739707371,-0.0325694159751766,12.001692228176193,-0.022322927506355228,12.159385589239047,0.13537043355649914,12.255313755098001,0.23129859941545305,12.252147462005711,0.22813230632316284,12.257332502461589,0.2333173467790406,12.402432716539135,0.37841756085658673,12.434048528043006,0.41003337236045745,12.43195290533673,0.4079377496541827,12.453779636637302,0.42976448095475384,12.434285189982972,0.4102700343004244,3,premium,1,0,97.93345252811021,1.7413312826498242,61.20840783006888,1.08833205165614,48.966726264055104,0.8706656413249121,48.966726264055104,0.8706656413249121,61.20840783006888,1.08833205165614,24.483363132027552,0.43533282066245604,36.72504469804133,0.6529992309936841,48.966726264055104,0.8706656413249121,20737.40857282734,41376.88369312656,41376.88369312656,20639.475120299227,20737.40857282734,0.0,7785.709475984761,24.483363132027552,36.72504469804133,697.7758492627852,3819.404648596298,123445.11691168291,918.1261174510332,1,1,0,0,1,0
8,60,RL,80.0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD,Normal,3197,3197,432,667,3.5,36,36,0,0,1,36.0,1,1,1,0,1,1,1,0,0,1,0,0,1,3.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,3.0,7.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,6.0,3.0,9.0,9.0,8.0,14.0,22379,14630,24.5,6270.0,6270.0,4428.0,968.0,1452.0,12.109474483396234,0.0854593277136857,12.327600423940101,0.30358526825755305,11.963161783684532,-0.060853371998016215,11.981244406072852,-0.04277074960969607,11.877645252925209,-0.14636990275733908,12.176962303452179,0.15294714776963048,12.009001796414145,-0.015013359268403192,12.159423075035297,0.13540791935274932,12.089946626269189,0.06593147058664073,12.137004485819864,0.11298933013731549,12.135831451080094,0.11181629539754567,12.255107223422801,0.23109206774025282,12.125657342922574,0.10164218724002616,12.13346182665309,0.1094466709705415,12.17927627858492,0.15526112290237215,12.232377964508636,0.20836280882608804,2,high,0,0,84.76632138377363,0.5982152939957999,72.6568469003774,0.5127559662821142,36.3284234501887,0.2563779831410571,36.3284234501887,0.2563779831410571,48.437897933584935,0.3418373108547428,24.218948966792468,0.1709186554273714,36.3284234501887,0.2563779831410571,36.3284234501887,0.2563779831410571,25308.80167029813,38713.98992341776,38713.98992341776,13405.188253119632,13405.188253119632,11903.613417178498,5860.985649963777,24.218948966792468,42.383160691886815,5231.292976827173,8077.019480425288,125720.5640866197,968.7579586716987,0,0,0,0,1,0
9,50,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,2726,2726,205,295,2.0,77,58,0,1,1,77.0,1,1,1,0,0,1,0,0,0,0,0,0,0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,4.0,3.0,6.0,3.0,7.0,2.0,6.0,12.0,19082,12418,14.0,5322.0,5322.0,2856.0,468.0,936.0,11.753482496784077,-0.2705326588984711,11.847703941531304,-0.1763112141512444,12.061891276939654,0.03787612125710638,11.932830061621925,-0.09118509406062358,11.763638896653454,-0.2603762590290941,11.846288089770836,-0.1777270659117125,11.820432584234494,-0.20358257144805414,11.776827173182905,-0.2471879824996428,12.02586541747566,0.0018502617931126508,11.800222089342368,-0.22379306634018015,11.79893803819542,-0.22507711748712822,12.105154511805297,0.08113935612274936,12.15765116566677,0.13363600998422243,12.019190825262298,-0.004824330420250433,12.038062807425206,0.014047651742657763,12.007614094280095,-0.01640106140245301,0,low,0,1,82.27437747748854,-1.8937286122892978,58.76741248392038,-1.3526632944923556,35.260447490352234,-0.8115979766954133,35.260447490352234,-0.8115979766954133,35.260447490352234,-0.8115979766954133,11.753482496784077,-0.2705326588984711,23.506964993568154,-0.5410653177969422,35.260447490352234,-0.8115979766954133,20850.677949294954,32039.993286233395,32039.993286233395,11189.315336938442,12012.059111713326,8838.618837581625,5500.629808494948,23.506964993568154,23.506964993568154,2409.463911840736,3467.2773365513026,71931.31288031855,599.4276073359879,0,0,0,0,0,0
10,190,RL,50.0,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,2068,2068,4,4,2.0,69,58,0,1,1,69.0,1,1,1,0,0,0,1,0,0,0,0,0,1,3.0,3.0,3.0,3.0,1.0,6.0,1.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,2.0,0.0,0.0,4.0,3.0,6.0,3.0,7.0,7.0,9.0,15.0,10340,5385,10.0,3231.0,3231.0,2973.0,410.0,820.0,11.773163651820282,-0.2508515038622665,11.868974595440076,-0.15504056024247248,11.876827027668407,-0.14718812801414138,11.878596605479153,-0.1454185502033951,11.759347219788152,-0.26466793589439597,11.854759684210777,-0.16925547147177156,12.009001796414145,-0.015013359268403192,12.159423075035297,0.13540791935274932,11.870905629776512,-0.15310952590603577,12.015360995516449,-0.00865416016609899,11.95899409680593,-0.06502105887661891,11.940909016255384,-0.08310613942716394,11.826908257405705,-0.1971068982768429,11.82811901452837,-0.19589614115417753,11.760120812383661,-0.2638943432988867,11.871617445820636,-0.15239770986191203,0,low,0,1,58.86581825910141,-1.2542575193113326,70.63898191092169,-1.505109023173599,35.31949095546084,-0.7525545115867995,35.31949095546084,-0.7525545115867995,35.31949095546084,-0.7525545115867995,23.546327303640563,-0.501703007724533,47.092654607281126,-1.003406015449066,35.31949095546084,-0.7525545115867995,12679.697253010443,24346.902431964343,24346.902431964343,11667.205178953898,12679.697253010443,0.0,2413.4985486231576,11.773163651820282,23.546327303640563,47.092654607281126,47.092654607281126,87356.87429650649,588.6581825910141,0,0,0,1,0,0
