feature_index,feature,feature_group,dtype,train_unique,test_unique
0,MSSubClass,raw_or_other_numeric,int64,15,16
1,LotFrontage,log_transformed_numeric,float64,115,119
2,LotArea,log_transformed_numeric,float64,1071,1106
3,OverallQual,raw_or_other_numeric,int64,10,10
4,OverallCond,raw_or_other_numeric,int64,9,9
5,YearBuilt,raw_or_other_numeric,int64,112,106
6,YearRemodAdd,raw_or_other_numeric,int64,61,61
7,MasVnrArea,log_transformed_numeric,float64,325,303
8,BsmtFinSF1,log_transformed_numeric,float64,635,669
9,BsmtFinSF2,log_transformed_numeric,float64,144,161
10,BsmtUnfSF,log_transformed_numeric,float64,780,793
11,TotalBsmtSF,log_transformed_numeric,float64,719,736
12,1stFlrSF,log_transformed_numeric,float64,751,789
13,2ndFlrSF,log_transformed_numeric,float64,415,407
14,LowQualFinSF,log_transformed_numeric,float64,24,15
15,GrLivArea,log_transformed_numeric,float64,859,879
16,BsmtFullBath,raw_or_other_numeric,int64,4,4
17,BsmtHalfBath,raw_or_other_numeric,int64,3,3
18,FullBath,raw_or_other_numeric,int64,4,5
19,HalfBath,raw_or_other_numeric,int64,3,3
20,BedroomAbvGr,raw_or_other_numeric,int64,8,7
21,KitchenAbvGr,raw_or_other_numeric,int64,4,3
22,TotRmsAbvGrd,raw_or_other_numeric,int64,12,12
23,Fireplaces,raw_or_other_numeric,int64,4,5
24,GarageYrBlt,raw_or_other_numeric,float64,98,97
25,GarageCars,raw_or_other_numeric,int64,5,6
26,GarageArea,log_transformed_numeric,float64,440,459
27,WoodDeckSF,log_transformed_numeric,float64,274,263
28,OpenPorchSF,log_transformed_numeric,float64,200,203
29,EnclosedPorch,log_transformed_numeric,float64,120,131
30,3SsnPorch,log_transformed_numeric,float64,20,13
31,ScreenPorch,log_transformed_numeric,float64,76,75
32,PoolArea,log_transformed_numeric,float64,7,7
33,MiscVal,log_transformed_numeric,float64,21,26
34,MoSold,raw_or_other_numeric,int64,12,12
35,YrSold,raw_or_other_numeric,int64,5,5
36,TotalSF,log_transformed_numeric,float64,961,963
37,LivingPlusBasementSF,log_transformed_numeric,float64,961,966
38,TotalPorchSF,log_transformed_numeric,float64,285,290
39,OutdoorSF,log_transformed_numeric,float64,428,420
40,TotalBath,log_transformed_numeric,float64,10,11
41,HouseAge,raw_or_other_numeric,int64,122,117
42,RemodAge,raw_or_other_numeric,int64,61,61
43,IsNewHouse,binary_indicator,int64,2,2
44,IsRemodeled,binary_indicator,int64,2,2
45,HasGarageYrBlt,binary_indicator,int64,2,2
46,GarageAge,raw_or_other_numeric,float64,102,107
47,HasGarage,binary_indicator,int64,2,2
48,HasBasement,binary_indicator,int64,2,2
49,HasFireplace,binary_indicator,int64,2,2
50,HasPool,binary_indicator,int64,2,2
51,HasMasVnr,binary_indicator,int64,2,2
52,HasWoodDeck,binary_indicator,int64,2,2
53,HasOpenPorch,binary_indicator,int64,2,2
54,HasScreenPorch,binary_indicator,int64,2,2
55,Has3SsnPorch,binary_indicator,int64,2,2
56,HasMiscFeature,binary_indicator,int64,2,2
57,HasFence,binary_indicator,int64,2,2
58,HasAlley,binary_indicator,int64,2,2
59,ExteriorMatched,raw_or_other_numeric,int64,2,2
60,ExterQual_Ord,ordinal_score,float64,4,4
61,ExterCond_Ord,ordinal_score,float64,5,5
62,BsmtQual_Ord,ordinal_score,float64,5,5
63,BsmtCond_Ord,ordinal_score,float64,5,5
64,BsmtExposure_Ord,ordinal_score,float64,5,5
65,BsmtFinType1_Ord,ordinal_score,float64,7,7
66,BsmtFinType2_Ord,ordinal_score,float64,7,7
67,HeatingQC_Ord,ordinal_score,float64,5,5
68,KitchenQual_Ord,ordinal_score,float64,4,4
69,Functional_Ord,ordinal_score,float64,7,7
70,FireplaceQu_Ord,ordinal_score,float64,6,6
71,GarageFinish_Ord,ordinal_score,float64,4,4
72,GarageQual_Ord,ordinal_score,float64,6,5
73,GarageCond_Ord,ordinal_score,float64,6,6
74,PavedDrive_Ord,ordinal_score,float64,3,3
75,PoolQC_Ord,ordinal_score,float64,4,3
76,Fence_Ord,ordinal_score,float64,5,5
77,LotShape_Ord,ordinal_score,float64,4,4
78,LandSlope_Ord,ordinal_score,float64,3,3
79,ExteriorQualityScore,raw_or_other_numeric,float64,7,8
80,KitchenQualityScore,raw_or_other_numeric,float64,4,4
81,BasementQualityScore,raw_or_other_numeric,float64,11,12
82,BasementFinishScore,raw_or_other_numeric,float64,11,11
83,GarageQualityScore,raw_or_other_numeric,float64,11,11
84,LuxuryQualityScore,raw_or_other_numeric,float64,20,20
85,OverallQual_x_TotalSF,log_transformed_numeric,float64,1166,1178
86,OverallQual_x_GrLivArea,log_transformed_numeric,float64,1131,1151
87,OverallQual_x_TotalBath,log_transformed_numeric,float64,36,38
88,KitchenQual_Ord_x_GrLivArea,log_transformed_numeric,float64,1015,1038
89,ExterQual_Ord_x_GrLivArea,log_transformed_numeric,float64,986,1015
90,BsmtQual_Ord_x_TotalBsmtSF,log_transformed_numeric,float64,868,894
91,GarageFinish_Ord_x_GarageArea,log_transformed_numeric,float64,597,621
92,GarageQual_Ord_x_GarageArea,log_transformed_numeric,float64,466,488
93,Neighborhood_TE,target_encoding,float64,225,25
94,Neighborhood_TE_Centered,target_encoding,float64,225,25
95,MSSubClass_TE,target_encoding,float64,136,16
96,MSSubClass_TE_Centered,target_encoding,float64,136,16
97,Exterior1st_TE,target_encoding,float64,106,13
98,Exterior1st_TE_Centered,target_encoding,float64,106,13
99,Exterior2nd_TE,target_encoding,float64,117,15
100,Exterior2nd_TE_Centered,target_encoding,float64,117,15
101,Foundation_TE,target_encoding,float64,46,6
102,Foundation_TE_Centered,target_encoding,float64,46,6
103,HouseStyle_TE,target_encoding,float64,72,7
104,HouseStyle_TE_Centered,target_encoding,float64,72,7
105,SaleCondition_TE,target_encoding,float64,50,6
106,SaleCondition_TE_Centered,target_encoding,float64,50,6
107,GarageType_TE,target_encoding,float64,59,7
108,GarageType_TE_Centered,target_encoding,float64,59,7
109,Neighborhood_OverallQual_TE,target_encoding,float64,603,100
110,Neighborhood_OverallQual_TE_Centered,target_encoding,float64,603,100
111,Neighborhood_MSSubClass_TE,target_encoding,float64,625,125
112,Neighborhood_MSSubClass_TE_Centered,target_encoding,float64,625,125
113,Neighborhood_HouseStyle_TE,target_encoding,float64,522,88
114,Neighborhood_HouseStyle_TE_Centered,target_encoding,float64,522,88
115,MSSubClass_OverallQual_TE,target_encoding,float64,420,70
116,MSSubClass_OverallQual_TE_Centered,target_encoding,float64,420,70
117,Exterior1st_OverallQual_TE,target_encoding,float64,389,58
118,Exterior1st_OverallQual_TE_Centered,target_encoding,float64,389,58
119,Exterior2nd_OverallQual_TE,target_encoding,float64,395,64
120,Exterior2nd_OverallQual_TE_Centered,target_encoding,float64,395,64
121,Foundation_OverallQual_TE,target_encoding,float64,196,32
122,Foundation_OverallQual_TE_Centered,target_encoding,float64,196,32
123,GarageType_OverallQual_TE,target_encoding,float64,225,39
124,GarageType_OverallQual_TE_Centered,target_encoding,float64,225,39
125,NeighborhoodPriceTier_Ord,location_tier_or_flag,int64,4,4
126,IsPremiumNeighborhood,location_tier_or_flag,int64,2,2
127,IsLowPriceNeighborhood,location_tier_or_flag,int64,2,2
128,OverallQual_x_Neighborhood_TE,target_encoding,float64,612,113
129,OverallQual_x_Neighborhood_TE_Centered,target_encoding,float64,612,113
130,OverallCond_x_Neighborhood_TE,target_encoding,float64,540,121
131,OverallCond_x_Neighborhood_TE_Centered,target_encoding,float64,540,121
132,ExterQual_Ord_x_Neighborhood_TE,target_encoding,float64,356,59
133,ExterQual_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,356,59
134,KitchenQual_Ord_x_Neighborhood_TE,target_encoding,float64,436,69
135,KitchenQual_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,436,69
136,BsmtQual_Ord_x_Neighborhood_TE,target_encoding,float64,405,67
137,BsmtQual_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,405,67
138,GarageFinish_Ord_x_Neighborhood_TE,target_encoding,float64,435,70
139,GarageFinish_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,435,70
140,GarageQual_Ord_x_Neighborhood_TE,target_encoding,float64,272,47
141,GarageQual_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,272,47
142,FireplaceQu_Ord_x_Neighborhood_TE,target_encoding,float64,351,79
143,FireplaceQu_Ord_x_Neighborhood_TE_Centered,target_encoding,float64,351,79
144,Neighborhood_TE_x_GrLivArea,log_transformed_numeric,float64,1429,1301
145,Neighborhood_TE_x_TotalSF,log_transformed_numeric,float64,1431,1310
146,Neighborhood_TE_x_LivingPlusBasementSF,log_transformed_numeric,float64,1432,1313
147,Neighborhood_TE_x_TotalBsmtSF,log_transformed_numeric,float64,1374,1182
148,Neighborhood_TE_x_1stFlrSF,log_transformed_numeric,float64,1428,1252
149,Neighborhood_TE_x_2ndFlrSF,log_transformed_numeric,float64,620,554
150,Neighborhood_TE_x_GarageArea,log_transformed_numeric,float64,1301,947
151,Neighborhood_TE_x_GarageCars,location_interaction,float64,397,66
152,Neighborhood_TE_x_TotalBath,log_transformed_numeric,float64,648,137
153,Neighborhood_TE_x_TotalPorchSF,log_transformed_numeric,float64,966,814
154,Neighborhood_TE_x_OutdoorSF,log_transformed_numeric,float64,1172,1074
155,Neighborhood_TE_x_LotArea,log_transformed_numeric,float64,1417,1229
156,Neighborhood_TE_x_LotFrontage,log_transformed_numeric,float64,1033,527
157,PremiumNeighborhoodLargeHouse,location_tier_or_flag,int64,2,2
158,PremiumNeighborhoodHighQuality,location_tier_or_flag,int64,2,2
159,LowPriceNeighborhoodLargeHouse,location_tier_or_flag,int64,2,2
160,LowPriceNeighborhoodLowQuality,location_tier_or_flag,int64,2,2
161,LargeHighQualityHouse,location_tier_or_flag,int64,2,2
162,LargeLowQualityHouse,location_tier_or_flag,int64,2,2
