feature,mean_coefficient,abs_coefficient
MSZoning__C (all),-0.2733528770684445,0.2733528770684445
Neighborhood__Crawfor,0.10874390754378002,0.10874390754378002
Neighborhood__StoneBr,0.10003359999583838,0.10003359999583838
LivingPlusBasementSF,0.0926557190640117,0.0926557190640117
OverallQual,0.08626050944779445,0.08626050944779445
Neighborhood__NoRidge,0.0762160641878458,0.0762160641878458
GrLivArea,0.07228670723928202,0.07228670723928202
Exterior1st__BrkFace,0.0704595101355806,0.0704595101355806
Condition1__RRAe,-0.061418185142451245,0.061418185142451245
KitchenAbvGr,-0.061119353635017706,0.061119353635017706
KitchenQual__Ex,0.05929396360477638,0.05929396360477638
Heating__Grav,-0.05516080915595707,0.05516080915595707
