model_name,dataset_type,cv_mean_log_rmse,cv_std_log_rmse,oof_log_rmse,mean_train_log_rmse,mean_train_valid_gap,raw_mae_oof,raw_rmse_oof,raw_r2_oof,total_time_seconds,fold_count,rank,experiment_group
CatBoost_research_v1,tree,0.11372766857755578,0.00827071528924926,0.11397151760938469,0.07517361882054359,0.038554049757012196,13951.120951895611,22206.43501507234,0.9219135953042448,8.732372999191284,5,1,tree_research
GradientBoosting_research_v1,tree,0.11416144316978194,0.007744422223777605,0.11437435097101135,0.05515769851161989,0.059003744658162036,13952.795505488353,21622.533635761123,0.9259660530314506,38.69521903991699,5,2,tree_research
XGBoost_GPU_research_v1,tree,0.11511320189186902,0.008551256878913489,0.1153710332737305,0.06130483503621444,0.053808366855654585,14194.917067194492,22477.963906203404,0.9199923195278151,11.883681058883667,5,3,tree_research
XGBoost_GPU_baseline,tree,0.11533147675501368,0.008565355338785567,0.11558947019469912,0.05513872528413762,0.060192751470876035,14094.715558450765,22160.052200221107,0.9222394544286648,7.337158203125,5,3,baseline
GradientBoosting_baseline,tree,0.11616075409116036,0.009149671087058713,0.11645241136510465,0.060709612129907456,0.05545114196125289,14234.077576937047,22145.75798591896,0.9223397400598459,17.463138341903687,5,4,baseline
LightGBM_research_v1,tree,0.11930762151222071,0.01099340809899681,0.11971964118067087,0.024094137266044136,0.0952134842461766,14472.64798487396,22507.494767342137,0.9197819581507279,3.8800415992736816,5,4,tree_research
ExtraTrees_research_v1,tree,0.12646751248369975,0.006874608698398307,0.12662219782716067,1.383290055408286e-13,0.12646751248356142,15507.93690500841,24184.42990619252,0.9073832687072618,9.979127407073975,5,5,tree_research
RandomForest_research_v1,tree,0.129307984447612,0.009478149776784593,0.12959332959611894,0.04796594463375052,0.08134203981386148,15910.276413448697,24670.756322763853,0.9036209440020173,7.5678551197052,5,6,tree_research
RandomForest_baseline,tree,0.13119604218825426,0.009135117250157046,0.13145403708673126,0.04885969164738353,0.08233635054087077,16085.883036450492,26554.430108076063,0.8883415200135205,2.0499911308288574,5,5,baseline
ExtraTrees_baseline,tree,0.1346602134543184,0.01110538260186188,0.13502915327294876,5.856101284133404e-14,0.1346602134542598,16497.90343045187,27582.54260608909,0.8795279401097073,1.7552530765533447,5,6,baseline
