model_name,oof_log_rmse,test_pred_min,test_pred_max,test_pred_mean,rank
ElasticNet_robust_tuned,0.10992093970505233,41997.32729040433,774712.4376949214,178654.4832439704,1
ElasticNet_RobustScaler_baseline,0.11104220131071016,40307.08127468059,767294.4747069537,178878.7849128883,2
SVR_RBF_RobustScaler_master,0.11108787731779618,52601.227833012716,900544.1932109587,180005.10437045677,3
Ridge_RobustScaler_alpha10_master,0.1121412395964152,44966.4325321195,769147.211425974,178977.07177662555,4
BayesianRidge_RobustScaler_master,0.11217382505512231,46018.21720428219,772207.8549411986,178911.65813553473,5
Ridge_RobustScaler_baseline,0.1123167851967404,47258.192429148374,775014.4403243663,178823.3251026989,6
Ridge_RobustScaler_alpha30_master,0.11270306891832767,48579.52828064884,776066.5362472449,178707.32056493536,7
CatBoost_master_v2,0.11385775526850801,43060.556075222434,672915.7510398665,178611.92005595198,8
KernelRidge_Poly_RobustScaler_master,0.11390886874274757,47269.61427888188,959982.1408531767,178737.2951425854,9
CatBoost_research_v1,0.11397151760938469,43917.423567999664,658920.1830561676,178626.12006359562,10
GradientBoosting_research_v1,0.11437435097101135,39055.90260651443,724312.2754244958,178328.33536192213,11
XGBoost_GPU_master_v2,0.11478342167664454,43350.78125,640701.375,178346.375,12
GradientBoosting_master_v2,0.11491075204551437,39197.920956800364,721474.8335658762,178384.10106784955,13
XGBoost_GPU_research_v1,0.1153710332737305,42448.30859375,649681.5625,178288.53125,14
XGBoost_GPU_baseline,0.11558947019469912,41987.82421875,666029.6875,178294.03125,15
GradientBoosting_baseline,0.11645241136510465,40543.96292514162,725336.5259916376,178286.60813945814,16
LightGBM_master_v2,0.11778378341850823,46742.65938993623,651053.2403484961,178218.18834878888,17
Huber_RobustScaler_master,0.11786524954702783,4471.180246927518,793314.5468956213,179877.76992141875,18
LightGBM_research_v1,0.11971964118067087,47881.87840025266,639559.4836628694,178279.38391542863,19
ExtraTrees_master_v2,0.12651457627020904,49895.98217610509,620667.5740262432,177304.68100238932,20
ExtraTrees_research_v1,0.12662219782716067,50573.7447258107,617218.1872079216,177260.18131495017,21
RandomForest_research_v1,0.12959332959611894,55724.724643086345,603087.2400696195,177074.04959757449,22
RandomForest_baseline,0.13145403708673126,62373.49192732533,542211.0635478918,176457.69858305654,23
ExtraTrees_baseline,0.13502915327294876,60458.48989629919,554425.2969744721,176505.5016693861,24
