model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
Ridge_RobustScaler_baseline,1stFlrSF,0.01964765647872038,0.0060223002626459445,0.01964765647872038,5,0,5,positive
Ridge_RobustScaler_baseline,2ndFlrSF,0.006053712293306296,0.004588199155021046,0.006053712293306296,5,0,5,positive
Ridge_RobustScaler_baseline,3SsnPorch,0.0010878996225912828,0.0037751127725359065,0.0028936097739604887,2,3,5,positive
Ridge_RobustScaler_baseline,Alley__Grvl,-0.008618718711314777,0.005121488808963906,0.008618718711314777,0,5,5,negative
Ridge_RobustScaler_baseline,Alley__NoFeature,-0.003300886902765638,0.0036259114617682607,0.003676275622445396,1,4,5,negative
Ridge_RobustScaler_baseline,Alley__Pave,0.011919605614080614,0.002214501034042183,0.011919605614080614,5,0,5,positive
Ridge_RobustScaler_baseline,BasementFinishScore,0.007424928832824887,0.000366771434976616,0.007424928832824887,5,0,5,positive
Ridge_RobustScaler_baseline,BasementQualityScore,0.006378493906898652,0.0030196687258260543,0.006378493906898652,5,0,5,positive
Ridge_RobustScaler_baseline,BedroomAbvGr,-0.00974242093116509,0.0030455490266411327,0.00974242093116509,0,5,5,negative
Ridge_RobustScaler_baseline,BldgType__1Fam,0.015287891313839366,0.004497694963313918,0.015287891313839366,5,0,5,positive
Ridge_RobustScaler_baseline,BldgType__2fmCon,-0.004486717670043544,0.0023054779630727698,0.004486717670043544,0,5,5,negative
Ridge_RobustScaler_baseline,BldgType__Duplex,-0.016139757806497644,0.003111065004849346,0.016139757806497644,0,5,5,negative
Ridge_RobustScaler_baseline,BldgType__Twnhs,-0.0018006149406768215,0.0016924138728972046,0.001907560748000384,1,4,5,negative
Ridge_RobustScaler_baseline,BldgType__TwnhsE,0.007139199103379919,0.002854013090615328,0.007139199103379919,5,0,5,positive
Ridge_RobustScaler_baseline,BsmtCond_Ord,-0.008320010804841202,0.004885661708461632,0.008320010804841202,0,5,5,negative
Ridge_RobustScaler_baseline,BsmtCond__Fa,-0.01851246056689591,0.005734960084709547,0.01851246056689591,0,5,5,negative
