model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
ElasticNet_RobustScaler_baseline,1stFlrSF,0.007458824357360093,0.00814688705586043,0.007458824357360093,4,0,4,positive
ElasticNet_RobustScaler_baseline,2ndFlrSF,0.000726759103794305,0.0016250827593508913,0.000726759103794305,1,0,1,positive
ElasticNet_RobustScaler_baseline,3SsnPorch,0.0009066538334801319,0.0037579006557514755,0.002911680628969434,2,3,5,positive
ElasticNet_RobustScaler_baseline,Alley__Grvl,-0.006133975601521627,0.00866841147878137,0.006133975601521627,0,2,2,negative
ElasticNet_RobustScaler_baseline,Alley__NoFeature,-0.0011725741157692132,0.002621955431516669,0.0011725741157692132,0,1,1,negative
ElasticNet_RobustScaler_baseline,Alley__Pave,0.012634404549132167,0.006251352040614405,0.012634404549132167,5,0,5,positive
ElasticNet_RobustScaler_baseline,BasementFinishScore,0.0029064745142657325,0.004600165224917775,0.0029064745142657325,3,0,3,positive
ElasticNet_RobustScaler_baseline,BasementQualityScore,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,BedroomAbvGr,-0.009290934859632703,0.0022678243249617527,0.009290934859632703,0,5,5,negative
ElasticNet_RobustScaler_baseline,BldgType__1Fam,0.01211365790340416,0.007484047978082784,0.01211365790340416,5,0,5,positive
ElasticNet_RobustScaler_baseline,BldgType__2fmCon,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,BldgType__Duplex,-0.013471620112735259,0.006723559381375021,0.013471620112735259,0,5,5,negative
ElasticNet_RobustScaler_baseline,BldgType__Twnhs,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,BldgType__TwnhsE,0.0020961711112752516,0.0021217339753576126,0.0020961711112752516,3,0,3,positive
ElasticNet_RobustScaler_baseline,BsmtCond_Ord,-0.0005445865236207026,0.00076351773237204,0.0005445865236207026,0,2,2,negative
