model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
Ridge_RobustScaler_baseline,MSZoning__C (all),-0.07600941177267242,0.01825468416937637,0.07600941177267242,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__Edwards,-0.04115318954612855,0.005513771342464729,0.04115318954612855,0,5,5,negative
Ridge_RobustScaler_baseline,SaleCondition__Abnorml,-0.037194742655221893,0.0076267176546736155,0.037194742655221893,0,5,5,negative
Ridge_RobustScaler_baseline,KitchenAbvGr,-0.03606533372485809,0.003903357606067454,0.03606533372485809,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__IDOTRR,-0.03457844217474714,0.00858200832020099,0.03457844217474714,0,5,5,negative
Ridge_RobustScaler_baseline,HouseAge,-0.03401406740420189,0.0035697160124130906,0.03401406740420189,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__Mitchel,-0.030931914882639057,0.004274741666204187,0.030931914882639057,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__NWAmes,-0.02893472638250292,0.003499377531625266,0.02893472638250292,0,5,5,negative
Ridge_RobustScaler_baseline,Condition1__RRAe,-0.028170316135173006,0.006097219878699487,0.028170316135173006,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__Gilbert,-0.025921450474048403,0.008315840376977583,0.025921450474048403,0,5,5,negative
Ridge_RobustScaler_baseline,KitchenQual__Gd,-0.025714479950796752,0.002278925869355676,0.025714479950796752,0,5,5,negative
Ridge_RobustScaler_baseline,Condition1__Artery,-0.025257394007714713,0.004864114851886736,0.025257394007714713,0,5,5,negative
Ridge_RobustScaler_baseline,Exterior1st__Wd Sdng,-0.02333735111886394,0.00528807094664863,0.02333735111886394,0,5,5,negative
Ridge_RobustScaler_baseline,HasOpenPorch,-0.02286020809427326,0.0037031081407920734,0.02286020809427326,0,5,5,negative
Ridge_RobustScaler_baseline,SaleType__WD,-0.021316311600386186,0.0056541921402498635,0.021316311600386186,0,5,5,negative
Ridge_RobustScaler_baseline,LotConfig__FR2,-0.020931028856655515,0.0017520281717529093,0.020931028856655515,0,5,5,negative
Ridge_RobustScaler_baseline,CentralAir__N,-0.020607211768099334,0.0027204620962897785,0.020607211768099334,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__OldTown,-0.020501143444561797,0.0027236392362213918,0.020501143444561797,0,5,5,negative
Ridge_RobustScaler_baseline,Neighborhood__MeadowV,-0.0191140119673729,0.0029291158259876215,0.0191140119673729,0,5,5,negative
Ridge_RobustScaler_baseline,BsmtCond__Fa,-0.01851246056689591,0.005734960084709547,0.01851246056689591,0,5,5,negative
Ridge_RobustScaler_baseline,MSZoning__RL,0.0270038176264678,0.008198742596656414,0.0270038176264678,5,0,5,positive
Ridge_RobustScaler_baseline,SaleCondition__Normal,0.028855647178442127,0.00621472976353625,0.028855647178442127,5,0,5,positive
Ridge_RobustScaler_baseline,GarageCars,0.030549343351498576,0.0036668563041516453,0.030549343351498576,5,0,5,positive
Ridge_RobustScaler_baseline,BsmtFinSF1,0.03078909440793149,0.003475682765962338,0.03078909440793149,5,0,5,positive
Ridge_RobustScaler_baseline,OverallQual_x_TotalSF,0.030986115580724023,0.004449493403917395,0.030986115580724023,5,0,5,positive
Ridge_RobustScaler_baseline,Functional_Ord,0.03148092710571123,0.0037745710839845524,0.03148092710571123,5,0,5,positive
Ridge_RobustScaler_baseline,YearBuilt,0.03389272719819299,0.003771882451942353,0.03389272719819299,5,0,5,positive
Ridge_RobustScaler_baseline,MSZoning__FV,0.03493516270104539,0.004812873268756174,0.03493516270104539,5,0,5,positive
Ridge_RobustScaler_baseline,LotArea,0.03571107574221817,0.00408982607630444,0.03571107574221817,5,0,5,positive
Ridge_RobustScaler_baseline,Neighborhood__BrkSide,0.03606425948327407,0.00823567790970577,0.03606425948327407,5,0,5,positive
Ridge_RobustScaler_baseline,GrLivArea,0.036887084942734044,0.003875355018628612,0.036887084942734044,5,0,5,positive
Ridge_RobustScaler_baseline,Condition1__Norm,0.041202827964707534,0.0039529042526353884,0.041202827964707534,5,0,5,positive
Ridge_RobustScaler_baseline,OverallCond,0.0413031387665974,0.0029721452616124204,0.0413031387665974,5,0,5,positive
Ridge_RobustScaler_baseline,Exterior1st__BrkFace,0.04238900702869921,0.005656192318708181,0.04238900702869921,5,0,5,positive
Ridge_RobustScaler_baseline,Neighborhood__NoRidge,0.04271737919330503,0.0014341145937447756,0.04271737919330503,5,0,5,positive
Ridge_RobustScaler_baseline,TotalSF,0.04574915933716747,0.0034602249840343063,0.04574915933716747,5,0,5,positive
Ridge_RobustScaler_baseline,LivingPlusBasementSF,0.048679549355148115,0.003272472888140534,0.048679549355148115,5,0,5,positive
Ridge_RobustScaler_baseline,Neighborhood__StoneBr,0.048921371353555496,0.009931328566147549,0.048921371353555496,5,0,5,positive
Ridge_RobustScaler_baseline,OverallQual,0.05902477243030454,0.006139241034442654,0.05902477243030454,5,0,5,positive
Ridge_RobustScaler_baseline,Neighborhood__Crawfor,0.06461684642486251,0.004904091169389652,0.06461684642486251,5,0,5,positive
