feature,importance,fold,model_name
LotFrontage,0.08308846427198666,0,CatBoost_research_v1
LotArea,1.8713193493737807,0,CatBoost_research_v1
OverallQual,3.283557869890604,0,CatBoost_research_v1
OverallCond,2.0180155093724235,0,CatBoost_research_v1
YearBuilt,0.765786691700997,0,CatBoost_research_v1
YearRemodAdd,0.6895273592522149,0,CatBoost_research_v1
MasVnrArea,0.2476386145130464,0,CatBoost_research_v1
BsmtFinSF1,0.8023938156367392,0,CatBoost_research_v1
BsmtFinSF2,0.030088136914233385,0,CatBoost_research_v1
BsmtUnfSF,0.4708893831373257,0,CatBoost_research_v1
TotalBsmtSF,0.6943747022184286,0,CatBoost_research_v1
1stFlrSF,0.6590449398986264,0,CatBoost_research_v1
2ndFlrSF,0.16346749440836947,0,CatBoost_research_v1
LowQualFinSF,0.002013927842694661,0,CatBoost_research_v1
GrLivArea,0.2507663762273601,0,CatBoost_research_v1
BsmtFullBath,0.08998505190811856,0,CatBoost_research_v1
BsmtHalfBath,2.9756592261254774e-05,0,CatBoost_research_v1
FullBath,0.03952348381326978,0,CatBoost_research_v1
HalfBath,0.06317750918904859,0,CatBoost_research_v1
BedroomAbvGr,0.10741841711591504,0,CatBoost_research_v1
KitchenAbvGr,0.09266076981697585,0,CatBoost_research_v1
TotRmsAbvGrd,0.051817611735648195,0,CatBoost_research_v1
Fireplaces,0.14419785842925284,0,CatBoost_research_v1
GarageYrBlt,0.47316992581201095,0,CatBoost_research_v1
GarageCars,0.46907456285053034,0,CatBoost_research_v1
GarageArea,0.5855957468410881,0,CatBoost_research_v1
WoodDeckSF,0.0758407258025336,0,CatBoost_research_v1
OpenPorchSF,0.10513498877411387,0,CatBoost_research_v1
EnclosedPorch,0.08708478364801017,0,CatBoost_research_v1
3SsnPorch,0.0002605282442370382,0,CatBoost_research_v1
ScreenPorch,0.019573684336762855,0,CatBoost_research_v1
PoolArea,0.023534552665276206,0,CatBoost_research_v1
MiscVal,9.646347152680645e-06,0,CatBoost_research_v1
MoSold,0.11641637141102827,0,CatBoost_research_v1
YrSold,0.18732164772242413,0,CatBoost_research_v1
TotalSF,5.7689514088883085,0,CatBoost_research_v1
LivingPlusBasementSF,4.211422372318275,0,CatBoost_research_v1
TotalPorchSF,0.2701676837442454,0,CatBoost_research_v1
OutdoorSF,0.3942525267695307,0,CatBoost_research_v1
TotalBath,1.2187994752269293,0,CatBoost_research_v1
HouseAge,0.761390423308878,0,CatBoost_research_v1
RemodAge,1.384629109833402,0,CatBoost_research_v1
IsNewHouse,0.1549995296927338,0,CatBoost_research_v1
IsRemodeled,0.0,0,CatBoost_research_v1
HasGarageYrBlt,0.1377741400453003,0,CatBoost_research_v1
GarageAge,0.1400303728994979,0,CatBoost_research_v1
HasGarage,0.05222666383758997,0,CatBoost_research_v1
HasBasement,0.0,0,CatBoost_research_v1
HasFireplace,0.0,0,CatBoost_research_v1
HasPool,5.5620347000447696e-05,0,CatBoost_research_v1
HasMasVnr,0.0008913754339666611,0,CatBoost_research_v1
HasWoodDeck,0.01844049654859549,0,CatBoost_research_v1
HasOpenPorch,0.0,0,CatBoost_research_v1
HasScreenPorch,0.0,0,CatBoost_research_v1
Has3SsnPorch,0.0,0,CatBoost_research_v1
HasMiscFeature,0.0009402029748721146,0,CatBoost_research_v1
HasFence,0.0006751543173178393,0,CatBoost_research_v1
HasAlley,0.0,0,CatBoost_research_v1
ExteriorMatched,0.004829569116715505,0,CatBoost_research_v1
