model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,47,robust,0.0007,0.7,0.10964336076655293,0.007747978979906658,"[np.float64(0.10695), np.float64(0.10961), np.float64(0.11886), np.float64(0.11607), np.float64(0.09673)]",0.6880640983581543,1
ElasticNet,61,robust,0.001,0.5,0.10976874354391801,0.007839519028869832,"[np.float64(0.10721), np.float64(0.10954), np.float64(0.11911), np.float64(0.11628), np.float64(0.09669)]",0.6295266151428223,2
ElasticNet,31,robust,0.0005,0.7,0.10981084981867328,0.007733042540576681,"[np.float64(0.10714), np.float64(0.11058), np.float64(0.11794), np.float64(0.11685), np.float64(0.09656)]",0.7552003860473633,3
ElasticNet,59,robust,0.001,0.4,0.10981336019986923,0.007878203533738715,"[np.float64(0.10749), np.float64(0.10981), np.float64(0.11855), np.float64(0.11681), np.float64(0.09641)]",0.7084269523620605,4
ElasticNet,45,robust,0.0007,0.5,0.10984718717005956,0.007796438202247277,"[np.float64(0.10736), np.float64(0.11033), np.float64(0.11807), np.float64(0.11699), np.float64(0.09648)]",0.7997651100158691,5
ElasticNet,73,robust,0.0015,0.3,0.10996772826807337,0.007976920079125966,"[np.float64(0.1079), np.float64(0.10951), np.float64(0.1191), np.float64(0.11688), np.float64(0.09645)]",0.5931556224822998,6
ElasticNet,57,robust,0.001,0.3,0.1101274404318254,0.007919442017806784,"[np.float64(0.10803), np.float64(0.11054), np.float64(0.11798), np.float64(0.11773), np.float64(0.09636)]",0.8522508144378662,7
ElasticNet,43,robust,0.0007,0.4,0.11019260728721199,0.00784054102899327,"[np.float64(0.1079), np.float64(0.11097), np.float64(0.11771), np.float64(0.11785), np.float64(0.09654)]",0.9594674110412598,8
ElasticNet,87,robust,0.002,0.2,0.11020590061195959,0.00808965126313452,"[np.float64(0.10855), np.float64(0.10956), np.float64(0.11906), np.float64(0.11752), np.float64(0.09634)]",0.6091194152832031,9
ElasticNet,75,robust,0.0015,0.4,0.11021656656432532,0.007962357386847158,"[np.float64(0.10789), np.float64(0.10955), np.float64(0.12009), np.float64(0.11653), np.float64(0.09703)]",0.572514533996582,10
ElasticNet,71,robust,0.0015,0.2,0.11027203204270855,0.008038803609015679,"[np.float64(0.10861), np.float64(0.11025), np.float64(0.11823), np.float64(0.11803), np.float64(0.09624)]",0.7509496212005615,11
ElasticNet,85,robust,0.002,0.15,0.1103874800103877,0.008133576794853683,"[np.float64(0.10905), np.float64(0.10997), np.float64(0.11841), np.float64(0.11832), np.float64(0.09619)]",0.8899979591369629,12
ElasticNet,63,robust,0.001,0.7,0.11039076396854101,0.007902304440460296,"[np.float64(0.10791), np.float64(0.10975), np.float64(0.12054), np.float64(0.11631), np.float64(0.09745)]",0.562006950378418,13
ElasticNet,29,robust,0.0005,0.5,0.11039163609491218,0.007801934367113215,"[np.float64(0.10809), np.float64(0.11146), np.float64(0.11743), np.float64(0.11825), np.float64(0.09673)]",1.0276873111724854,14
ElasticNet,89,robust,0.002,0.3,0.11040549621111884,0.00806498554236528,"[np.float64(0.10835), np.float64(0.10953), np.float64(0.12033), np.float64(0.11684), np.float64(0.09698)]",0.5136046409606934,15
ElasticNet,101,robust,0.003,0.15,0.11043952700665265,0.008215768965031664,"[np.float64(0.10905), np.float64(0.10929), np.float64(0.11964), np.float64(0.11778), np.float64(0.09645)]",0.6864063739776611,16
ElasticNet,99,robust,0.003,0.1,0.11048598648931436,0.008205739310131722,"[np.float64(0.10962), np.float64(0.10955), np.float64(0.11849), np.float64(0.1186), np.float64(0.09616)]",0.7390909194946289,17
ElasticNet,69,robust,0.0015,0.15,0.11058308930837871,0.008160685151298133,"[np.float64(0.1093), np.float64(0.11056), np.float64(0.11777), np.float64(0.1191), np.float64(0.09619)]",0.911564826965332,18
ElasticNet,83,robust,0.002,0.1,0.11064574779343431,0.008240509456556452,"[np.float64(0.10979), np.float64(0.11029), np.float64(0.11754), np.float64(0.11953), np.float64(0.09608)]",0.9742262363433838,19
