meta_name,mean_log_rmse,std_log_rmse,oof_log_rmse,fold_scores
Ridge_meta_alpha_0.3,0.10694724369909803,0.008552976897110837,0.10729264249217377,"[np.float64(0.10731), np.float64(0.10609), np.float64(0.11399), np.float64(0.11579), np.float64(0.09155)]"
ElasticNet_meta_a_0.0003_l1_0.05,0.1069815782691634,0.008625202072937951,0.10733259271806064,"[np.float64(0.10747), np.float64(0.10596), np.float64(0.114), np.float64(0.116), np.float64(0.09148)]"
ElasticNet_meta_a_0.0001_l1_0.05,0.10702248200141859,0.008370209127141036,0.1073533400200718,"[np.float64(0.10715), np.float64(0.10641), np.float64(0.11416), np.float64(0.11546), np.float64(0.09193)]"
Ridge_meta_alpha_0.1,0.10703102672959788,0.008320417847062495,0.10735801312812476,"[np.float64(0.10708), np.float64(0.1065), np.float64(0.11419), np.float64(0.11536), np.float64(0.09202)]"
ElasticNet_meta_a_0.0001_l1_0.1,0.10703115758408095,0.008385534628788913,0.10736316452806337,"[np.float64(0.10719), np.float64(0.10637), np.float64(0.11416), np.float64(0.11552), np.float64(0.09192)]"
ElasticNet_meta_a_0.0003_l1_0.1,0.1070369294015497,0.008672133207091986,0.1073915152896795,"[np.float64(0.10762), np.float64(0.1059), np.float64(0.11405), np.float64(0.11615), np.float64(0.09147)]"
ElasticNet_meta_a_0.0001_l1_0.2,0.10706110002465155,0.008426146757557002,0.10739615945490012,"[np.float64(0.10731), np.float64(0.10629), np.float64(0.11418), np.float64(0.11564), np.float64(0.09189)]"
Ridge_meta_alpha_0.05,0.107101276626177,0.008186157028423936,0.10741774552562373,"[np.float64(0.107), np.float64(0.10666), np.float64(0.1143), np.float64(0.11519), np.float64(0.09235)]"
ElasticNet_meta_a_0.001_l1_0.5,0.10709405214730708,0.008693087579198362,0.1074499986248406,"[np.float64(0.10778), np.float64(0.10564), np.float64(0.11411), np.float64(0.11636), np.float64(0.09159)]"
Ridge_meta_alpha_1.0,0.10709043998934346,0.00875138408481563,0.10745110364281825,"[np.float64(0.10762), np.float64(0.10577), np.float64(0.11409), np.float64(0.11648), np.float64(0.09148)]"
ElasticNet_meta_a_0.001_l1_0.2,0.10711128422203879,0.00873615123015857,0.10747061802109105,"[np.float64(0.10771), np.float64(0.10571), np.float64(0.1141), np.float64(0.1165), np.float64(0.09154)]"
ElasticNet_meta_a_0.001_l1_0.1,0.10711107995479634,0.00874092713496045,0.10747079461972137,"[np.float64(0.10765), np.float64(0.10574), np.float64(0.11412), np.float64(0.11651), np.float64(0.09154)]"
ElasticNet_meta_a_0.001_l1_0.05,0.10712413703805004,0.008755062104036818,0.10748495112648511,"[np.float64(0.10767), np.float64(0.10575), np.float64(0.11412), np.float64(0.11656), np.float64(0.09153)]"
ElasticNet_meta_a_0.0003_l1_0.2,0.10713825731962352,0.008754548867508104,0.10749916463521299,"[np.float64(0.10791), np.float64(0.10578), np.float64(0.11415), np.float64(0.11639), np.float64(0.09146)]"
ElasticNet_meta_a_0.0001_l1_0.5,0.10716694460067418,0.00854902413857876,0.10751127983185688,"[np.float64(0.1077), np.float64(0.10606), np.float64(0.11421), np.float64(0.11605), np.float64(0.09182)]"
Ridge_meta_alpha_0.01,0.10722848760261243,0.007929043697518415,0.10752522762382936,"[np.float64(0.10696), np.float64(0.10676), np.float64(0.11443), np.float64(0.11499), np.float64(0.09301)]"
ElasticNet_meta_a_0.0003_l1_0.5,0.10718826764857983,0.00879186405574835,0.10755208296714433,"[np.float64(0.10809), np.float64(0.1056), np.float64(0.11434), np.float64(0.11643), np.float64(0.09148)]"
Ridge_meta_alpha_0.001,0.10728938316765142,0.007850474035614119,0.10758016593060474,"[np.float64(0.10694), np.float64(0.10674), np.float64(0.11458), np.float64(0.11491), np.float64(0.09327)]"
LinearRegression_positive_meta,0.10725237288110252,0.008812826469117725,0.10761772283316866,"[np.float64(0.10824), np.float64(0.10558), np.float64(0.11445), np.float64(0.11647), np.float64(0.09152)]"
ElasticNet_meta_a_0.003_l1_0.5,0.10742270445439614,0.008623320782376764,0.10777163159727103,"[np.float64(0.10821), np.float64(0.10569), np.float64(0.11411), np.float64(0.11694), np.float64(0.09216)]"
Ridge_meta_alpha_3.0,0.10755531030414253,0.008779748763585863,0.10791654195640324,"[np.float64(0.10803), np.float64(0.10594), np.float64(0.11461), np.float64(0.11715), np.float64(0.09204)]"
ElasticNet_meta_a_0.003_l1_0.2,0.10756272850219614,0.008723116304165751,0.1079192754323808,"[np.float64(0.10817), np.float64(0.10586), np.float64(0.11447), np.float64(0.11716), np.float64(0.09215)]"
ElasticNet_meta_a_0.003_l1_0.1,0.1076039330611704,0.008749844011083334,0.10796253084759537,"[np.float64(0.10815), np.float64(0.10593), np.float64(0.11459), np.float64(0.1172), np.float64(0.09215)]"
ElasticNet_meta_a_0.003_l1_0.05,0.10762285701872576,0.008759022374487299,0.10798214704535557,"[np.float64(0.10813), np.float64(0.10596), np.float64(0.11465), np.float64(0.11722), np.float64(0.09216)]"
Ridge_meta_alpha_10.0,0.1082486794564039,0.00867262612005587,0.10859886638818952,"[np.float64(0.10879), np.float64(0.10642), np.float64(0.1152), np.float64(0.11782), np.float64(0.093)]"
ElasticNet_meta_a_0.01_l1_0.05,0.108362150646754,0.008606280855161687,0.10870662351462836,"[np.float64(0.10902), np.float64(0.10644), np.float64(0.11517), np.float64(0.11793), np.float64(0.09325)]"
ElasticNet_meta_a_0.01_l1_0.1,0.10839965041060524,0.008563132362150156,0.10874054269523516,"[np.float64(0.10915), np.float64(0.10642), np.float64(0.11509), np.float64(0.11797), np.float64(0.09337)]"
ElasticNet_meta_a_0.01_l1_0.2,0.10850549279235358,0.008478061859308694,0.10883927998565705,"[np.float64(0.10942), np.float64(0.1064), np.float64(0.11496), np.float64(0.11809), np.float64(0.09365)]"
ElasticNet_meta_a_0.01_l1_0.5,0.10905643942209638,0.008237499866778398,0.10936979745562864,"[np.float64(0.11051), np.float64(0.10657), np.float64(0.11477), np.float64(0.1187), np.float64(0.09473)]"
