search_type,oof_log_rmse,weights
random_dirichlet,0.12700503932507004,0.61406 | 0.03233 | 0.12931 | 0.05386 | 0.16296 | 0.00748
random_dirichlet,0.12700532145256702,0.57931 | 0.00896 | 0.16277 | 0.06736 | 0.16301 | 0.01859
random_dirichlet,0.12701095686516123,0.57874 | 0.03662 | 0.12344 | 0.06354 | 0.19754 | 0.00012
random_dirichlet,0.12701107356587843,0.62599 | 0.02612 | 0.05805 | 0.10311 | 0.13478 | 0.05195
random_dirichlet,0.12701240559410004,0.56767 | 0.04400 | 0.14706 | 0.06601 | 0.16788 | 0.00739
random_dirichlet,0.1270128714945394,0.58162 | 0.03049 | 0.06540 | 0.09223 | 0.20131 | 0.02895
random_dirichlet,0.12701292414796947,0.56880 | 0.00330 | 0.14594 | 0.05910 | 0.21091 | 0.01195
random_dirichlet,0.12701477895834826,0.60811 | 0.03716 | 0.08717 | 0.04924 | 0.18428 | 0.03405
random_dirichlet,0.12701528317406452,0.57548 | 0.03591 | 0.15440 | 0.03064 | 0.17510 | 0.02847
random_dirichlet,0.12701578960565124,0.59535 | 0.06122 | 0.05457 | 0.11735 | 0.13652 | 0.03499
random_dirichlet,0.12701581059135136,0.62666 | 0.06119 | 0.02506 | 0.09992 | 0.18450 | 0.00266
random_dirichlet,0.12701727424489442,0.64845 | 0.02211 | 0.07751 | 0.15031 | 0.09313 | 0.00849
random_dirichlet,0.12701832722491602,0.59645 | 0.08673 | 0.00556 | 0.10005 | 0.16968 | 0.04153
random_dirichlet,0.12701837077426056,0.57727 | 0.00890 | 0.12182 | 0.06892 | 0.15544 | 0.06764
random_dirichlet,0.12701884773088584,0.60653 | 0.09876 | 0.02336 | 0.09164 | 0.14909 | 0.03062
random_dirichlet,0.12701887964024985,0.67531 | 0.02344 | 0.05236 | 0.10963 | 0.12360 | 0.01566
random_dirichlet,0.127019591142272,0.58485 | 0.00835 | 0.12752 | 0.03360 | 0.16430 | 0.08138
random_dirichlet,0.1270201367263211,0.59936 | 0.08620 | 0.06238 | 0.11460 | 0.12342 | 0.01405
random_dirichlet,0.12702041807179484,0.59691 | 0.05887 | 0.15860 | 0.02576 | 0.13492 | 0.02495
random_dirichlet,0.12702067136271927,0.64692 | 0.00642 | 0.00088 | 0.09277 | 0.16057 | 0.09243
random_dirichlet,0.12702104008607926,0.65227 | 0.07212 | 0.07845 | 0.07306 | 0.11770 | 0.00641
random_dirichlet,0.12702186057059317,0.53635 | 0.01787 | 0.00058 | 0.19768 | 0.21212 | 0.03540
random_dirichlet,0.12702298758679756,0.60338 | 0.01652 | 0.12331 | 0.13882 | 0.10103 | 0.01694
random_dirichlet,0.12702352482229753,0.54295 | 0.00835 | 0.17145 | 0.05242 | 0.19035 | 0.03448
random_dirichlet,0.12702359832393662,0.64604 | 0.06074 | 0.00142 | 0.08493 | 0.16266 | 0.04422
random_dirichlet,0.12702576660806936,0.66096 | 0.00335 | 0.03521 | 0.06629 | 0.14758 | 0.08661
random_dirichlet,0.12702594677699647,0.65168 | 0.00459 | 0.05299 | 0.19576 | 0.07840 | 0.01658
random_dirichlet,0.12702632915780654,0.60535 | 0.10103 | 0.02540 | 0.05275 | 0.16937 | 0.04609
random_dirichlet,0.12702762193376715,0.58278 | 0.00709 | 0.12598 | 0.17962 | 0.10207 | 0.00245
random_dirichlet,0.1270278712529655,0.56432 | 0.01506 | 0.07552 | 0.07845 | 0.22977 | 0.03688
random_dirichlet,0.12702854121273585,0.67534 | 0.01460 | 0.11554 | 0.05972 | 0.10473 | 0.03007
